escopo,hora_brt,apostas_unicas,dias,r_soma,r_medio,acertos,com_r,mercados
os_16,4,1,1,-1.104113,-1.104113,0,1,1
os_16,8,1,1,1.515413,1.515413,1,1,1
os_16,10,1,1,0.949688,0.949688,1,1,1
os_16,12,2,2,-1.053169,-0.526584,1,2,2
os_16,14,1,1,-1.100330,-1.100330,0,1,1
os_16,15,1,1,-1.123389,-1.123389,0,1,1
os_16,16,3,2,-0.159952,-0.079976,1,2,2
os_16,17,7,2,-1.705257,-0.341051,2,5,5
os_16,18,4,1,-2.641465,-0.880488,0,3,2
os_16,23,1,1,-1.134085,-1.134085,0,1,1
todos,0,7,2,3.087479,0.441068,5,7,7
todos,1,1,1,-1.115328,-1.115328,0,1,1
todos,2,3,2,3.136496,1.045499,3,3,3
todos,4,4,2,-3.975308,-0.993827,0,4,4
todos,5,5,2,0.103623,0.020725,2,5,5
todos,6,4,2,-2.359247,-0.786416,0,3,4
todos,7,6,2,2.106518,0.351086,5,6,6
todos,8,7,2,1.227307,0.175330,4,7,7
todos,9,9,1,-1.366453,-0.151828,3,9,9
todos,10,7,2,-2.109959,-0.301423,2,7,7
todos,11,4,2,2.487264,0.621816,3,4,4
todos,12,17,2,4.066653,0.239215,11,17,16
todos,13,7,2,-1.050968,-0.150138,3,7,7
todos,14,7,3,-2.967907,-0.494651,2,6,7
todos,15,15,3,-5.565912,-0.371061,5,15,15
todos,16,12,3,-1.107858,-0.100714,4,11,11
todos,17,18,2,2.521091,0.157568,9,16,15
todos,18,24,3,-9.016929,-0.409860,6,22,18
todos,19,18,3,-6.654623,-0.369701,6,18,18
todos,20,6,3,1.677191,0.335438,3,5,6
todos,21,4,2,-1.225977,-0.306494,2,4,4
todos,22,2,1,-0.315864,-0.157932,1,2,2
todos,23,4,2,0.228563,0.057141,2,4,4
