universo,participacao,equity_brl,mercados,apostas_dia,teto_brl_dia,esperado_brl_dia,r_brl_mediano,falta_para_9000,r_brl_necessario_por_aposta,notional_necessario_usdt,volume_do_minuto_necessario_usdt,equity_necessario_brl_teto_moeda,mercados_com_esse_minuto
16_perpetuos,0.01,100000,16,6.3333,393.60,-310.58,53.57,8606.40,1421.06,13128.58,1312857.83,672156.95,2
16_perpetuos,0.01,400000,16,6.3333,701.08,-602.74,53.57,8298.92,1421.06,13128.58,1312857.83,672156.95,2
16_perpetuos,0.02,100000,16,6.3333,485.17,-346.06,106.22,8514.83,1421.06,13128.58,656428.91,672156.95,2
16_perpetuos,0.02,400000,16,6.3333,1369.49,-1172.98,107.13,7630.51,1421.06,13128.58,656428.91,672156.95,2
16_perpetuos,0.05,100000,16,6.3333,734.91,-434.76,165.63,8265.09,1421.06,13128.58,262571.57,672156.95,5
16_perpetuos,0.05,400000,16,6.3333,1666.00,-1277.78,267.83,7334.00,1421.06,13128.58,262571.57,672156.95,5
16_spot,0.01,100000,13,0.9999,31.58,-3.13,18.14,8968.42,9000.90,83155.54,8315554.04,4257397.36,0
16_spot,0.01,400000,13,0.9999,31.58,-3.13,18.14,8968.42,9000.90,83155.54,8315554.04,4257397.36,0
16_spot,0.02,100000,13,0.9999,63.17,-6.28,36.29,8936.83,9000.90,83155.54,4157777.02,4257397.36,0
16_spot,0.02,400000,13,0.9999,63.17,-6.28,36.29,8936.83,9000.90,83155.54,4157777.02,4257397.36,0
16_spot,0.05,100000,13,0.9999,97.05,-9.64,84.01,8902.95,9000.90,83155.54,1663110.81,4257397.36,0
16_spot,0.05,400000,13,0.9999,157.92,-15.69,90.71,8842.08,9000.90,83155.54,1663110.81,4257397.36,0
16_spot_executando_sinal_do_perp,0.01,100000,13,5.3333,157.41,-137.56,18.14,8842.59,1687.51,15590.20,1559020.21,798187.17,0
16_spot_executando_sinal_do_perp,0.01,400000,13,5.3333,157.41,-137.56,18.14,8842.59,1687.51,15590.20,1559020.21,798187.17,0
16_spot_executando_sinal_do_perp,0.02,100000,13,5.3333,314.79,-275.13,36.29,8685.21,1687.51,15590.20,779510.11,798187.17,0
16_spot_executando_sinal_do_perp,0.02,400000,13,5.3333,314.79,-275.13,36.29,8685.21,1687.51,15590.20,779510.11,798187.17,0
16_spot_executando_sinal_do_perp,0.05,100000,13,5.3333,469.35,-382.29,84.01,8530.65,1687.51,15590.20,311804.04,798187.17,1
16_spot_executando_sinal_do_perp,0.05,400000,13,5.3333,787.01,-687.84,90.71,8212.99,1687.51,15590.20,311804.04,798187.17,1
