symbol,tipo,notional_alvo_usdt,adv_usdt,impacto_bps_k0_1,impacto_bps_k0_3,impacto_bps_k1_0,custo_do_lab_bps,max_slippage_pct_bps
ARBUSDT,perpetual,13857.87,141335443.99,9.90,29.71,99.02,20.00,10.00
BNBUSDT,perpetual,13857.87,387311909.19,5.98,17.94,59.82,20.00,10.00
BTCUSDT,perpetual,13857.87,11508496255.18,1.10,3.29,10.97,20.00,10.00
DASHUSDT,perpetual,13857.87,93926483.28,12.15,36.44,121.47,20.00,10.00
DOGEUSDT,perpetual,13857.87,488897782.74,5.32,15.97,53.24,20.00,10.00
ETHUSDT,perpetual,13857.87,8810051149.66,1.25,3.76,12.54,20.00,10.00
LINKUSDT,perpetual,13857.87,181130670.96,8.75,26.24,87.47,20.00,10.00
NEARUSDT,perpetual,13857.87,177720223.55,8.83,26.49,88.30,20.00,10.00
PROMUSDT,perpetual,13857.87,106061520.23,11.43,34.29,114.31,20.00,10.00
SAHARAUSDT,perpetual,13857.87,5444972.61,50.45,151.35,504.49,20.00,10.00
SOLUSDT,perpetual,13857.87,1992716957.90,2.64,7.91,26.37,20.00,10.00
SUIUSDT,perpetual,13857.87,245769841.56,7.51,22.53,75.09,20.00,10.00
TAOUSDT,perpetual,13857.87,124067289.26,10.57,31.71,105.69,20.00,10.00
UNIUSDT,perpetual,13857.87,201427708.83,8.29,24.88,82.94,20.00,10.00
XRPUSDT,perpetual,13857.87,1231082686.39,3.36,10.07,33.55,20.00,10.00
ZECUSDT,perpetual,13857.87,1516752627.37,3.02,9.07,30.23,20.00,10.00
ARBUSDT,spot,13857.87,45619207.86,17.43,52.29,174.29,20.00,10.00
BNBUSDT,spot,13857.87,116869020.66,10.89,32.67,108.89,20.00,10.00
BTCUSDT,spot,13857.87,1150395738.69,3.47,10.41,34.71,20.00,10.00
DOGEUSDT,spot,13857.87,70721391.22,14.00,41.99,139.98,20.00,10.00
ETHUSDT,spot,13857.87,702590491.03,4.44,13.32,44.41,20.00,10.00
NEARUSDT,spot,13857.87,73031303.01,13.78,41.33,137.75,20.00,10.00
PROMUSDT,spot,13857.87,112270265.75,11.11,33.33,111.10,20.00,10.00
SAHARAUSDT,spot,13857.87,83770711.97,12.86,38.59,128.62,20.00,10.00
SOLUSDT,spot,13857.87,205648202.13,8.21,24.63,82.09,20.00,10.00
SUIUSDT,spot,13857.87,62107752.55,14.94,44.81,149.37,20.00,10.00
UNIUSDT,spot,13857.87,53210640.83,16.14,48.41,161.38,20.00,10.00
XRPUSDT,spot,13857.87,179901027.76,8.78,26.33,87.77,20.00,10.00
ZECUSDT,spot,13857.87,276416891.19,7.08,21.24,70.81,20.00,10.00
