tipo,participacao,r_medio_hipotetico,entradas_dia,r_brl_necessario,notional_necessario_usdt,volume_do_minuto_necessario_usdt,equity_necessario_brl,mercados_com_esse_minuto
perpetual,0.01,0.05,30,6000.00,55431.48,5543148.32,2837981.08,0
perpetual,0.01,0.10,30,3000.00,27715.74,2771574.16,1418990.54,0
perpetual,0.01,0.20,30,1500.00,13857.87,1385787.08,709495.27,2
perpetual,0.01,0.40,30,750.00,6928.94,692893.54,354747.63,2
perpetual,0.01,1.00,30,300.00,2771.57,277157.42,141899.05,5
perpetual,0.02,0.05,30,6000.00,55431.48,2771574.16,2837981.08,0
perpetual,0.02,0.10,30,3000.00,27715.74,1385787.08,1418990.54,2
perpetual,0.02,0.20,30,1500.00,13857.87,692893.54,709495.27,2
perpetual,0.02,0.40,30,750.00,6928.94,346446.77,354747.63,4
perpetual,0.02,1.00,30,300.00,2771.57,138578.71,141899.05,5
perpetual,0.05,0.05,30,6000.00,55431.48,1108629.66,2837981.08,2
perpetual,0.05,0.10,30,3000.00,27715.74,554314.83,1418990.54,2
perpetual,0.05,0.20,30,1500.00,13857.87,277157.42,709495.27,5
perpetual,0.05,0.40,30,750.00,6928.94,138578.71,354747.63,5
perpetual,0.05,1.00,30,300.00,2771.57,55431.48,141899.05,8
spot,0.01,0.05,30,6000.00,55431.48,5543148.32,2837981.08,0
spot,0.01,0.10,30,3000.00,27715.74,2771574.16,1418990.54,0
spot,0.01,0.20,30,1500.00,13857.87,1385787.08,709495.27,0
spot,0.01,0.40,30,750.00,6928.94,692893.54,354747.63,0
spot,0.01,1.00,30,300.00,2771.57,277157.42,141899.05,1
spot,0.02,0.05,30,6000.00,55431.48,2771574.16,2837981.08,0
spot,0.02,0.10,30,3000.00,27715.74,1385787.08,1418990.54,0
spot,0.02,0.20,30,1500.00,13857.87,692893.54,709495.27,0
spot,0.02,0.40,30,750.00,6928.94,346446.77,354747.63,0
spot,0.02,1.00,30,300.00,2771.57,138578.71,141899.05,2
spot,0.05,0.05,30,6000.00,55431.48,1108629.66,2837981.08,0
spot,0.05,0.10,30,3000.00,27715.74,554314.83,1418990.54,0
spot,0.05,0.20,30,1500.00,13857.87,277157.42,709495.27,1
spot,0.05,0.40,30,750.00,6928.94,138578.71,354747.63,2
spot,0.05,1.00,30,300.00,2771.57,55431.48,141899.05,3
