symbol,tipo,nos_16,participacao,equity_brl,ref_p50_usdt,adv_usdt,passa_piso_50m,d_stop,fonte_d_stop,n_desfechos,notional_usdt,binding,cap_risk,cap_participacao,cap_moeda,r_brl,apostas_dia,r_medio,fonte_r,teto_brl_dia,esperado_brl_dia,apostas_dia_sinal,r_medio_sinal,teto_brl_dia_sinal,esperado_brl_dia_sinal,impacto_raiz_bps_k0_1,impacto_raiz_bps_k0_3,impacto_raiz_bps_k1_0
ARBUSDT,perpetual,True,0.01,100000,11867.24,141335443.99,True,0.02114179,mediana_da_familia,0,118.67,market_participation,2110.04,118.67,1953.20,12.85,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,0.92,2.75,9.16
ARBUSDT,perpetual,True,0.01,400000,11867.24,141335443.99,True,0.02114179,mediana_da_familia,0,118.67,market_participation,8440.15,118.67,7812.81,12.85,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,0.92,2.75,9.16
ARBUSDT,perpetual,True,0.02,100000,11867.24,141335443.99,True,0.02114179,mediana_da_familia,0,237.34,market_participation,2110.04,237.34,1953.20,25.69,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,1.30,3.89,12.96
ARBUSDT,perpetual,True,0.02,400000,11867.24,141335443.99,True,0.02114179,mediana_da_familia,0,237.34,market_participation,8440.15,237.34,7812.81,25.69,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,1.30,3.89,12.96
ARBUSDT,perpetual,True,0.05,100000,11867.24,141335443.99,True,0.02114179,mediana_da_familia,0,593.36,market_participation,2110.04,593.36,1953.20,64.23,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,2.05,6.15,20.49
ARBUSDT,perpetual,True,0.05,400000,11867.24,141335443.99,True,0.02114179,mediana_da_familia,0,593.36,market_participation,8440.15,593.36,7812.81,64.23,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,2.05,6.15,20.49
ARBUSDT,spot,True,0.01,100000,8102.86,45619207.86,False,0.02114179,mediana_da_familia,0,81.03,market_participation,2110.04,81.03,1953.20,8.77,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,1.33,4.00,13.33
ARBUSDT,spot,True,0.01,400000,8102.86,45619207.86,False,0.02114179,mediana_da_familia,0,81.03,market_participation,8440.15,81.03,7812.81,8.77,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,1.33,4.00,13.33
ARBUSDT,spot,True,0.02,100000,8102.86,45619207.86,False,0.02114179,mediana_da_familia,0,162.06,market_participation,2110.04,162.06,1953.20,17.54,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,1.88,5.65,18.85
ARBUSDT,spot,True,0.02,400000,8102.86,45619207.86,False,0.02114179,mediana_da_familia,0,162.06,market_participation,8440.15,162.06,7812.81,17.54,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,1.88,5.65,18.85
ARBUSDT,spot,True,0.05,100000,8102.86,45619207.86,False,0.02114179,mediana_da_familia,0,405.14,market_participation,2110.04,405.14,1953.20,43.85,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,2.98,8.94,29.80
ARBUSDT,spot,True,0.05,400000,8102.86,45619207.86,False,0.02114179,mediana_da_familia,0,405.14,market_participation,8440.15,405.14,7812.81,43.85,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,2.98,8.94,29.80
BNBUSDT,perpetual,True,0.01,100000,94441.73,387311909.19,True,0.02114179,mediana_da_familia,0,944.42,market_participation,2110.04,944.42,1953.20,102.23,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,1.56,4.68,15.62
BNBUSDT,perpetual,True,0.01,400000,94441.73,387311909.19,True,0.02114179,mediana_da_familia,0,944.42,market_participation,8440.15,944.42,7812.81,102.23,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,1.56,4.68,15.62
BNBUSDT,perpetual,True,0.02,100000,94441.73,387311909.19,True,0.02114179,mediana_da_familia,0,1888.83,market_participation,2110.04,1888.83,1953.20,204.45,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,2.21,6.63,22.08
BNBUSDT,perpetual,True,0.02,400000,94441.73,387311909.19,True,0.02114179,mediana_da_familia,0,1888.83,market_participation,8440.15,1888.83,7812.81,204.45,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,2.21,6.63,22.08
BNBUSDT,perpetual,True,0.05,100000,94441.73,387311909.19,True,0.02114179,mediana_da_familia,0,1953.20,asset_exposure,2110.04,4722.09,1953.20,211.42,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,2.25,6.74,22.46
BNBUSDT,perpetual,True,0.05,400000,94441.73,387311909.19,True,0.02114179,mediana_da_familia,0,4722.09,market_participation,8440.15,4722.09,7812.81,511.13,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,3.49,10.48,34.92
BNBUSDT,spot,True,0.01,100000,36262.76,116869020.66,True,0.02114179,mediana_da_familia,0,362.63,market_participation,2110.04,362.63,1953.20,39.25,0.0000,-0.0994,familia,0.00,-0.00,0.0000,-0.0994,0.00,-0.00,1.76,5.28,17.61
