escopo,symbol,tipo,n_desfechos,d_stop_p10,d_stop_p50,d_stop_p90,apostas_unicas,dias_com_aposta,r_soma,r_medio,acertos,com_r
FAMILIA,todos,todos,859,0.01048303,0.02114179,0.04537941,191,3,-18.190147,-0.099400,81,183
mercado,1000PEPEUSDT,perpetual,1,0.00924374,0.00924374,0.00924374,1,1,0.777284,0.777284,1,1
mercado,AAVEUSDT,perpetual,3,0.01050930,0.01349037,0.01671676,1,1,0.763903,0.763903,1,1
mercado,ACEUSDT,perpetual,12,0.00856116,0.01328909,0.02181257,2,1,-0.795995,-0.397998,1,2
mercado,ACUUSDT,perpetual,1,0.01233311,0.01233311,0.01233311,1,1,-1.112496,-1.112496,0,1
mercado,ADAUSDT,perpetual,1,0.01041012,0.01041012,0.01041012,1,1,-1.133462,-1.133462,0,1
mercado,AEROUSDT,perpetual,1,0.02054601,0.02054601,0.02054601,1,1,-0.629691,-0.629691,0,1
mercado,AIOUSDT,perpetual,1,0.02305631,0.02305631,0.02305631,1,1,1.924625,1.924625,1,1
mercado,AKEUSDT,perpetual,16,0.01904265,0.02829687,0.04529010,2,1,2.452084,1.226042,2,2
mercado,ALGOUSDT,perpetual,10,0.01038298,0.01346047,0.02216668,3,2,-1.362572,-0.454191,1,3
mercado,ANIMEUSDT,perpetual,8,0.02860897,0.04294423,0.05953236,1,1,-0.795060,-0.795060,0,1
mercado,APTUSDT,perpetual,12,0.01285616,0.01699085,0.02789835,3,2,-0.038789,-0.012930,1,3
mercado,ARKUSDT,perpetual,8,0.03424881,0.04728632,0.05722555,1,1,-1.039871,-1.039871,0,1
mercado,ARXUSDT,perpetual,10,0.02315549,0.04628315,0.06529955,3,2,2.084597,0.694866,2,3
mercado,ATOMUSDT,perpetual,8,0.01554377,0.02301583,0.03320457,1,1,-0.266706,-0.266706,0,1
mercado,B2USDT,perpetual,8,0.02664841,0.03573814,0.04499510,1,1,-0.016146,-0.016146,0,1
mercado,BCHUSDT,perpetual,2,0.01686380,0.01713777,0.01741174,2,1,-0.807873,-0.403936,1,2
mercado,BICOUSDT,perpetual,1,0.01495383,0.01495383,0.01495383,1,1,-1.092606,-1.092606,0,1
mercado,BIRBUSDT,perpetual,16,0.01684072,0.03631167,0.06855428,3,1,-1.763528,-0.587843,0,3
mercado,BLESSUSDT,perpetual,2,0.01247744,0.01247744,0.01247744,1,1,-1.111184,-1.111184,0,1
mercado,BLUAIUSDT,perpetual,7,0.01200923,0.01789012,0.03535137,1,1,1.310053,1.310053,1,1
mercado,BOMEUSDT,perpetual,1,0.00684858,0.00684858,0.00684858,1,1,-1.210658,-1.210658,0,1
mercado,BRUSDT,perpetual,9,0.02803385,0.03825207,0.04874024,2,2,-0.262483,-0.131242,1,2
mercado,BTRUSDT,perpetual,9,0.04035994,0.06468490,0.07654715,2,2,2.508699,1.254349,2,2
mercado,BTWUSDT,perpetual,19,0.00460777,0.01079505,0.02191266,3,2,1.525692,0.508564,2,3
mercado,BULLAUSDT,perpetual,1,0.01893355,0.01893355,0.01893355,1,1,1.416072,1.416072,1,1
mercado,CAKEUSDT,perpetual,3,0.01087765,0.01391798,0.01905700,1,1,0.740290,0.740290,1,1
mercado,CAPUSDT,perpetual,1,0.00715036,0.00715036,0.00715036,1,1,0.942865,0.942865,1,1
mercado,CCUSDT,perpetual,3,0.00742163,0.00993600,0.01884314,1,1,-1.212415,-1.212415,0,1
mercado,CFGUSDT,perpetual,8,0.02197741,0.02843872,0.03773369,1,1,0.405827,0.405827,1,1
mercado,CHIPUSDT,perpetual,8,0.02394015,0.03424021,0.04574040,1,1,-1.057469,-1.057469,0,1
mercado,CKBUSDT,perpetual,8,0.01882231,0.02780345,0.03937139,1,1,-1.073367,-1.073367,0,1
mercado,COMPUSDT,perpetual,3,0.00849539,0.01118676,0.01828416,1,1,-1.177939,-1.177939,0,1
mercado,COTIUSDT,perpetual,1,0.01356710,0.01356710,0.01356710,1,1,1.188329,1.188329,1,1
mercado,DASHUSDT,perpetual,7,0.01128137,0.01724048,0.02700657,1,1,1.515413,1.515413,1,1
mercado,DODOXUSDT,perpetual,8,0.01185845,0.01723135,0.03250881,1,1,0.489917,0.489917,1,1
mercado,DOGSUSDT,perpetual,4,0.04753869,0.05593788,0.06433707,1,1,0.657946,0.657946,1,1
mercado,DOTUSDT,perpetual,7,0.01069510,0.01801908,0.02163908,2,2,-2.201898,-1.100949,0,2
mercado,EDENUSDT,perpetual,7,0.01021812,0.01549367,0.02297915,1,1,-1.135988,-1.135988,0,1
mercado,EDGEUSDT,perpetual,6,0.00941478,0.01408194,0.02488131,1,1,-1.147677,-1.147677,0,1
mercado,EGLDUSDT,perpetual,28,0.01325889,0.02024271,0.03940644,5,2,2.087350,0.417470,3,5
mercado,EIGENUSDT,perpetual,8,0.01312066,0.01819873,0.02440959,1,1,0.823711,0.823711,1,1
mercado,ENSUSDT,perpetual,1,0.01110539,0.01110539,0.01110539,1,1,-1.125044,-1.125044,0,1
mercado,EPICUSDT,perpetual,2,0.01680887,0.02207176,0.02733465,2,2,0.470196,0.235098,1,2
mercado,ESPUSDT,perpetual,2,0.01198147,0.01198147,0.01198147,1,1,0.572985,0.572985,1,1
mercado,ETCUSDT,perpetual,8,0.01203290,0.01607436,0.02903919,2,2,-0.022677,-0.011338,1,2
mercado,ETHFIUSDT,perpetual,24,0.01233756,0.02486572,0.03625309,5,3,-2.435563,-0.487113,1,5
mercado,FFUSDT,perpetual,24,0.00994779,0.01659495,0.03559959,4,2,3.563785,0.890946,4,4
mercado,FLOCKUSDT,perpetual,14,0.02084456,0.03012898,0.05003345,3,2,0.041686,0.013895,1,3
mercado,FORMUSDT,perpetual,1,0.02449288,0.02449288,0.02449288,1,1,1.481271,1.481271,1,1
mercado,GRASSUSDT,perpetual,8,0.01563567,0.01974580,0.03212794,2,2,0.799976,0.399988,1,2
mercado,HEIUSDT,perpetual,3,0.00746820,0.00996586,0.02108818,1,1,1.075144,1.075144,1,1
mercado,HOLOUSDT,perpetual,6,0.00941083,0.01469645,0.02073101,2,1,-2.301620,-1.150810,0,2
mercado,HOLOUSDT,spot,3,0.00628759,0.00890909,0.01709106,1,1,,,0,0
mercado,HYPEUSDT,perpetual,4,0.00898865,0.01270934,0.01404630,2,1,1.354305,0.677152,2,2
mercado,INJUSDT,perpetual,4,0.00982190,0.00982190,0.01719458,2,2,0.364951,0.182476,1,2
mercado,KAITOUSDT,perpetual,1,0.01260559,0.01260559,0.01260559,1,1,-1.110043,-1.110043,0,1
mercado,KASUSDT,perpetual,30,0.01464854,0.02123036,0.03101958,4,2,0.054232,0.013558,2,4
mercado,KATUSDT,perpetual,7,0.04149623,0.06419430,0.07327353,1,1,-1.032732,-1.032732,0,1
mercado,KAVAUSDT,perpetual,7,0.01030575,0.01475234,0.01875192,1,1,1.015498,1.015498,1,1
mercado,KSMUSDT,perpetual,10,0.01214914,0.01735807,0.02444595,2,1,0.334001,0.167001,1,2
mercado,LITUSDT,perpetual,24,0.01338967,0.01944467,0.03392106,5,2,1.736614,0.347323,3,5
mercado,LTCUSDT,perpetual,3,0.00932024,0.01195097,0.01498257,1,1,0.729075,0.729075,1,1
mercado,MAGMAUSDT,perpetual,9,0.00955232,0.02718450,0.05648601,2,2,-1.052308,-1.052308,0,1
mercado,MEGAUSDT,perpetual,8,0.01245474,0.01850146,0.02753999,1,1,-1.111044,-1.111044,0,1
mercado,METUSDT,perpetual,10,0.00868954,0.01156030,0.01792589,2,1,0.170540,0.085270,1,2
mercado,MINAUSDT,perpetual,8,0.01659863,0.02386444,0.03835304,1,1,1.103158,1.103158,1,1
mercado,MIRAUSDT,perpetual,1,0.00930013,0.00930013,0.00930013,1,1,0.912249,0.912249,1,1
mercado,NEARUSDT,perpetual,15,0.01036209,0.01502549,0.02798914,5,3,-3.564559,-0.712912,1,5
mercado,NEARUSDT,spot,4,0.01235247,0.01235247,0.01674805,1,1,,,0,0
mercado,NEIROUSDT,perpetual,2,0.00852592,0.00852592,0.00852592,1,1,-1.169012,-1.169012,0,1
mercado,NOMUSDT,perpetual,8,0.02565936,0.03598735,0.03960016,1,1,-1.053552,-1.053552,0,1
mercado,ORDERUSDT,perpetual,8,0.02292894,0.03340662,0.05096588,1,1,-1.062215,-1.062215,0,1
mercado,PENDLEUSDT,perpetual,3,0.00879921,0.01181716,0.02264995,1,1,-1.172997,-1.172997,0,1
