hora_brt,tipo,participacao,equity_brl,mercados,soma_1r_brl,mediana_1r_brl,apostas_dia_nessa_hora,r_medio_nessa_hora,n_apostas,teto_brl_hora,esperado_brl_hora
0,perpetual,0.01,100000,16,1310.97,57.17,0.0000,-0.0994,0,0.00,-0.00
0,perpetual,0.01,400000,16,3025.38,57.17,0.0000,-0.0994,0,0.00,-0.00
0,perpetual,0.02,100000,16,1770.18,97.78,0.0000,-0.0994,0,0.00,-0.00
0,perpetual,0.02,400000,16,4129.34,114.33,0.0000,-0.0994,0,0.00,-0.00
0,perpetual,0.05,100000,16,2357.90,150.25,0.0000,-0.0994,0,0.00,-0.00
0,perpetual,0.05,400000,16,5710.81,282.00,0.0000,-0.0994,0,0.00,-0.00
1,perpetual,0.01,100000,16,1263.32,52.67,0.0000,-0.0994,0,0.00,-0.00
1,perpetual,0.01,400000,16,2902.56,52.67,0.0000,-0.0994,0,0.00,-0.00
1,perpetual,0.02,100000,16,1682.60,82.96,0.0000,-0.0994,0,0.00,-0.00
1,perpetual,0.02,400000,16,3967.35,105.35,0.0000,-0.0994,0,0.00,-0.00
1,perpetual,0.05,100000,16,2302.09,139.28,0.0000,-0.0994,0,0.00,-0.00
1,perpetual,0.05,400000,16,5472.55,263.37,0.0000,-0.0994,0,0.00,-0.00
2,perpetual,0.01,100000,16,1309.29,51.52,0.0000,-0.0994,0,0.00,-0.00
2,perpetual,0.01,400000,16,3032.82,51.52,0.0000,-0.0994,0,0.00,-0.00
2,perpetual,0.02,100000,16,1770.35,96.87,0.0000,-0.0994,0,0.00,-0.00
2,perpetual,0.02,400000,16,4158.06,103.04,0.0000,-0.0994,0,0.00,-0.00
2,perpetual,0.05,100000,16,2344.16,145.85,0.0000,-0.0994,0,0.00,-0.00
2,perpetual,0.05,400000,16,5702.40,257.59,0.0000,-0.0994,0,0.00,-0.00
3,perpetual,0.01,100000,16,1315.99,48.94,0.0000,-0.0994,0,0.00,-0.00
3,perpetual,0.01,400000,16,3032.52,48.94,0.0000,-0.0994,0,0.00,-0.00
3,perpetual,0.02,100000,16,1768.42,95.52,0.0000,-0.0994,0,0.00,-0.00
3,perpetual,0.02,400000,16,4165.82,97.89,0.0000,-0.0994,0,0.00,-0.00
