symbol,tipo,hora_brt,participacao,d_stop,fonte_d_stop,ref_p10,ref_p50,ref_p90,notional_p10,notional_p50,notional_p90,r_brl_p10,r_brl_p50,r_brl_p90
ARBUSDT,perpetual,0,0.01,0.02114179,mediana_da_familia,2536.26,12517.74,157244.57,25.36,125.18,1572.45,2.75,13.55,170.20
ARBUSDT,perpetual,0,0.02,0.02114179,mediana_da_familia,2536.26,12517.74,157244.57,50.73,250.35,3144.89,5.49,27.10,340.41
ARBUSDT,perpetual,0,0.05,0.02114179,mediana_da_familia,2536.26,12517.74,157244.57,126.81,625.89,7862.23,13.73,67.75,851.02
ARBUSDT,perpetual,1,0.01,0.02114179,mediana_da_familia,2407.17,9826.85,173153.37,24.07,98.27,1731.53,2.61,10.64,187.42
ARBUSDT,perpetual,1,0.02,0.02114179,mediana_da_familia,2407.17,9826.85,173153.37,48.14,196.54,3463.07,5.21,21.27,374.85
ARBUSDT,perpetual,1,0.05,0.02114179,mediana_da_familia,2407.17,9826.85,173153.37,120.36,491.34,8657.67,13.03,53.18,937.12
ARBUSDT,perpetual,2,0.01,0.02114179,mediana_da_familia,2376.56,10293.12,171201.50,23.77,102.93,1712.02,2.57,11.14,185.31
ARBUSDT,perpetual,2,0.02,0.02114179,mediana_da_familia,2376.56,10293.12,171201.50,47.53,205.86,3424.03,5.14,22.28,370.62
ARBUSDT,perpetual,2,0.05,0.02114179,mediana_da_familia,2376.56,10293.12,171201.50,118.83,514.66,8560.08,12.86,55.71,926.56
ARBUSDT,perpetual,3,0.01,0.02114179,mediana_da_familia,2664.23,10132.01,177402.86,26.64,101.32,1774.03,2.88,10.97,192.02
ARBUSDT,perpetual,3,0.02,0.02114179,mediana_da_familia,2664.23,10132.01,177402.86,53.28,202.64,3548.06,5.77,21.93,384.05
ARBUSDT,perpetual,3,0.05,0.02114179,mediana_da_familia,2664.23,10132.01,177402.86,133.21,506.60,8870.14,14.42,54.84,960.12
ARBUSDT,perpetual,4,0.01,0.02114179,mediana_da_familia,2343.68,9971.63,154631.50,23.44,99.72,1546.32,2.54,10.79,167.38
ARBUSDT,perpetual,4,0.02,0.02114179,mediana_da_familia,2343.68,9971.63,154631.50,46.87,199.43,3092.63,5.07,21.59,334.75
ARBUSDT,perpetual,4,0.05,0.02114179,mediana_da_familia,2343.68,9971.63,154631.50,117.18,498.58,7731.58,12.68,53.97,836.88
ARBUSDT,perpetual,5,0.01,0.02114179,mediana_da_familia,3415.52,13912.68,249638.20,34.16,139.13,2496.38,3.70,15.06,270.21
ARBUSDT,perpetual,5,0.02,0.02114179,mediana_da_familia,3415.52,13912.68,249638.20,68.31,278.25,4992.76,7.39,30.12,540.43
ARBUSDT,perpetual,5,0.05,0.02114179,mediana_da_familia,3415.52,13912.68,249638.20,170.78,695.63,12481.91,18.49,75.30,1351.06
ARBUSDT,perpetual,6,0.01,0.02114179,mediana_da_familia,2773.39,11440.76,185450.94,27.73,114.41,1854.51,3.00,12.38,200.74
