symbol,tipo,hora_brt,n_min,qv_p10,qv_p50,qv_p90,n_ref,ref_p10,ref_p50,ref_p90
ARBUSDT,perpetual,0,1800,2679.92,17562.82,250875.02,1800,2536.26,12517.74,157244.57
ARBUSDT,perpetual,1,1800,2573.70,15984.24,240597.84,1800,2407.17,9826.85,173153.37
ARBUSDT,perpetual,2,1800,2552.56,15132.13,244415.14,1800,2376.56,10293.12,171201.50
ARBUSDT,perpetual,3,1800,2781.44,17282.48,254192.31,1800,2664.23,10132.01,177402.86
ARBUSDT,perpetual,4,1800,2530.93,18588.44,237414.41,1800,2343.68,9971.63,154631.50
ARBUSDT,perpetual,5,1800,3580.43,21404.60,342106.76,1771,3415.52,13912.68,249638.20
ARBUSDT,perpetual,6,1800,2825.86,18186.14,274108.23,1800,2773.39,11440.76,185450.94
ARBUSDT,perpetual,7,1800,2837.81,17356.00,249657.91,1800,2620.07,10273.26,174306.98
ARBUSDT,perpetual,8,1800,2144.01,15136.51,223319.57,1800,2144.01,8808.41,172507.47
ARBUSDT,perpetual,9,1800,2770.78,17001.97,247386.44,1800,2637.82,10071.61,165791.27
ARBUSDT,perpetual,10,1800,3368.58,22053.23,288650.35,1800,3030.87,12631.31,209087.14
ARBUSDT,perpetual,11,1800,3870.66,24193.54,283401.76,1800,3253.52,15056.36,215247.80
ARBUSDT,perpetual,12,1800,3974.44,25055.90,310968.75,1800,3553.77,17196.41,230295.39
ARBUSDT,perpetual,13,1800,4962.37,24261.09,265866.40,1800,4417.24,17034.65,194289.50
ARBUSDT,perpetual,14,1800,3151.62,19661.02,234542.76,1800,2913.01,13242.40,137326.57
ARBUSDT,perpetual,15,1800,2500.52,16796.23,217424.23,1800,2396.59,10570.68,167728.96
ARBUSDT,perpetual,16,1800,2356.95,15810.84,192388.68,1800,2133.25,9768.36,124306.09
ARBUSDT,perpetual,17,1800,2188.12,16934.67,192993.88,1800,1947.26,10590.23,123547.34
ARBUSDT,perpetual,18,1800,2174.85,17083.02,189367.53,1800,1915.55,10553.51,129173.01
ARBUSDT,perpetual,19,1800,2685.50,18578.78,231844.15,1800,2248.42,10781.84,159959.10
ARBUSDT,perpetual,20,1800,3000.71,22120.28,199849.33,1800,2813.04,12556.65,103916.98
ARBUSDT,perpetual,21,1800,3651.10,21577.25,248145.94,1800,3439.20,14029.85,145489.22
ARBUSDT,perpetual,22,1800,3509.33,20448.03,362279.91,1800,3266.38,12620.68,219320.58
ARBUSDT,perpetual,23,1800,3461.61,18765.02,273078.09,1800,3373.85,12179.87,180365.60
ARBUSDT,spot,0,180,1114.56,7383.66,32744.97,180,1114.56,5224.76,8745.34
ARBUSDT,spot,1,229,1300.00,9740.15,95099.52,200,1100.22,4702.79,12726.87
ARBUSDT,spot,2,240,2287.45,21118.65,174851.64,240,2287.45,9918.50,139831.74
ARBUSDT,spot,3,240,2709.95,13791.63,59702.41,240,2709.95,9631.49,30988.34
ARBUSDT,spot,4,240,2737.98,12477.58,57176.96,240,2737.98,8076.92,25766.10
ARBUSDT,spot,5,240,2674.95,13652.59,92727.64,240,2674.95,10292.09,31823.09
ARBUSDT,spot,6,214,2509.37,14651.99,126046.41,214,2509.37,6666.37,53729.44
ARBUSDT,spot,7,180,3075.72,17436.42,97991.30,180,3075.72,12892.98,71087.04
ARBUSDT,spot,8,180,2252.71,9768.24,43694.25,180,2252.71,7297.91,18622.00
ARBUSDT,spot,9,180,2158.65,16943.09,66613.52,180,2158.65,8726.59,27884.96
ARBUSDT,spot,10,180,3657.11,21235.04,72567.44,180,3657.11,12859.51,29800.48
ARBUSDT,spot,11,180,5849.13,21900.59,72144.44,180,5849.13,19036.49,27588.92
ARBUSDT,spot,12,180,6800.12,26146.46,117841.60,180,6800.12,18807.29,44688.37
ARBUSDT,spot,13,144,5535.78,33873.53,206362.61,144,5535.78,18488.74,105659.80
ARBUSDT,spot,14,120,5324.15,19900.62,82975.85,120,5324.15,13118.38,71069.71
ARBUSDT,spot,15,120,2549.97,11670.81,37463.19,120,2549.97,9944.56,14242.77
ARBUSDT,spot,16,174,1379.97,9257.82,45823.61,145,1879.63,6603.99,20014.45
ARBUSDT,spot,17,180,2049.42,9383.03,34037.01,180,2049.42,6607.87,15123.19
ARBUSDT,spot,18,180,1182.36,6571.80,34919.59,180,1182.36,4831.07,11912.79
ARBUSDT,spot,19,180,1371.70,6846.06,30145.05,180,1371.70,4566.70,10974.54
ARBUSDT,spot,20,180,993.39,6088.60,24980.90,180,993.39,3603.63,11340.48
ARBUSDT,spot,21,180,1888.40,8102.86,43000.44,180,1888.40,5223.98,11419.48
ARBUSDT,spot,22,180,1533.14,11859.83,74426.53,180,1533.14,9237.19,24912.35
ARBUSDT,spot,23,180,1227.28,5956.30,26812.92,180,1227.28,4848.00,15480.29
BNBUSDT,perpetual,0,1800,31790.37,113076.15,467643.25,1800,31790.37,85352.05,221918.53
BNBUSDT,perpetual,1,1800,32018.60,108079.36,431640.99,1800,31993.84,76840.63,213974.06
BNBUSDT,perpetual,2,1800,29553.43,113895.19,498925.13,1800,29077.40,87637.05,237616.66
BNBUSDT,perpetual,3,1800,38289.35,128330.12,481743.23,1800,36939.70,93151.66,256345.65
BNBUSDT,perpetual,4,1800,29707.24,144896.49,718597.74,1800,29001.47,103672.05,369689.05
BNBUSDT,perpetual,5,1800,44535.97,165492.78,963209.84,1771,43318.10,117932.06,636838.21
BNBUSDT,perpetual,6,1800,39190.86,149546.85,738704.03,1800,37335.30,108991.53,424834.96
BNBUSDT,perpetual,7,1800,37047.67,139603.53,570386.70,1800,33652.95,102387.20,317763.64
BNBUSDT,perpetual,8,1800,30482.43,131066.48,600854.22,1800,28401.56,95358.17,309548.45
BNBUSDT,perpetual,9,1800,38690.47,163483.92,703009.96,1800,35521.09,109609.22,338477.68
BNBUSDT,perpetual,10,1800,52393.33,210319.40,803045.67,1800,45780.13,146530.34,439302.48
BNBUSDT,perpetual,11,1800,58324.39,229377.98,880304.91,1800,51533.26,181276.13,459605.17
BNBUSDT,perpetual,12,1800,54011.92,205245.69,845749.10,1800,50452.80,160493.87,517990.16
BNBUSDT,perpetual,13,1800,52250.55,172272.76,696126.61,1800,49099.83,130476.44,439331.92
BNBUSDT,perpetual,14,1800,34871.46,118951.47,459807.45,1800,33488.89,92417.55,231402.89
BNBUSDT,perpetual,15,1800,29033.73,102347.27,393750.54,1800,28854.90,79841.41,200461.73
BNBUSDT,perpetual,16,1800,26042.03,85372.05,345876.36,1800,25661.31,64158.77,156151.87
BNBUSDT,perpetual,17,1800,18943.56,75691.35,346100.42,1800,18420.76,55912.62,154400.92
BNBUSDT,perpetual,18,1800,14903.06,87063.32,487867.00,1800,13808.14,53539.66,209450.95
BNBUSDT,perpetual,19,1800,18619.70,100061.53,481494.49,1800,17923.98,66804.03,261304.70
BNBUSDT,perpetual,20,1800,25466.58,102227.40,402460.55,1800,23712.80,72749.68,214570.30
BNBUSDT,perpetual,21,1800,39154.72,147413.31,496793.89,1800,36969.15,102991.76,264622.76
BNBUSDT,perpetual,22,1800,33924.28,141151.65,538023.71,1800,33101.45,100848.95,282711.86
BNBUSDT,perpetual,23,1800,35118.78,126175.91,547795.11,1800,33298.07,89920.79,264636.79
BNBUSDT,spot,0,240,17949.40,41910.96,126572.74,240,17949.40,35366.60,55518.99
BNBUSDT,spot,1,289,18478.99,47944.05,147790.96,260,18818.92,38003.07,67203.95
BNBUSDT,spot,2,300,18045.04,55003.51,203990.36,300,18045.04,37142.11,137595.25
BNBUSDT,spot,3,300,17365.12,52399.28,129895.18,300,17365.12,37138.24,77409.86
BNBUSDT,spot,4,300,27215.43,66639.33,186309.38,300,23921.79,47783.72,86759.29
BNBUSDT,spot,5,248,24696.80,63180.18,249811.23,248,24696.80,46066.93,188496.59
BNBUSDT,spot,6,240,23307.26,61760.66,170239.59,240,23307.26,46430.97,91042.29
BNBUSDT,spot,7,240,19856.39,54803.86,156070.85,240,19856.39,45963.01,84693.21
BNBUSDT,spot,8,240,21801.28,60314.08,164632.29,240,21801.28,41894.07,100112.53
BNBUSDT,spot,9,240,31132.00,68693.65,294752.61,240,31132.00,51949.99,103157.14
BNBUSDT,spot,10,240,37832.29,98646.03,284443.57,240,37832.29,71792.74,132859.78
BNBUSDT,spot,11,240,34208.36,73924.61,213941.48,240,34208.36,61552.13,116186.25
BNBUSDT,spot,12,240,41297.11,96111.63,269725.43,240,40820.17,72183.76,134841.53
BNBUSDT,spot,13,240,19007.70,49130.54,162473.61,240,19007.70,44036.36,88648.91
BNBUSDT,spot,14,240,11190.98,35242.58,130275.64,240,11190.98,30244.81,68918.29
BNBUSDT,spot,15,240,8696.59,26913.90,74768.51,240,8696.59,20449.51,45405.43
BNBUSDT,spot,16,240,7116.58,25764.73,88778.41,240,7116.58,21101.66,40191.35
BNBUSDT,spot,17,240,8198.91,25250.45,113905.95,240,8198.91,20652.96,48375.14
BNBUSDT,spot,18,240,5913.59,29606.45,127141.72,240,5913.59,18524.04,62920.14
BNBUSDT,spot,19,240,6786.17,28398.68,155429.92,240,6786.17,18478.20,100601.95
BNBUSDT,spot,20,240,5243.09,24002.45,91494.43,240,5243.09,14626.63,46849.54
BNBUSDT,spot,21,240,11686.68,38402.13,121089.24,240,11686.68,24719.12,57766.44
BNBUSDT,spot,22,240,10941.62,37578.39,136441.46,240,10941.62,28217.19,56837.67
BNBUSDT,spot,23,240,13030.87,34512.09,114765.90,240,13030.87,26650.72,52511.60
BTCUSDT,perpetual,0,1800,761855.43,3196087.23,12040021.85,1800,679788.74,2371645.72,6432480.88
BTCUSDT,perpetual,1,1800,601639.76,2712603.00,9661328.42,1800,488318.49,2168822.62,4927112.33
BTCUSDT,perpetual,2,1800,711504.17,3503254.42,15294604.26,1800,552930.41,2536055.65,8487653.95
BTCUSDT,perpetual,3,1800,857824.76,3417382.96,11363097.70,1800,681589.42,2575399.58,6359797.44
BTCUSDT,perpetual,4,1800,935662.42,3458806.15,12821228.60,1800,833431.63,2636779.71,6812518.33
BTCUSDT,perpetual,5,1800,869897.51,4265641.97,23738450.50,1771,760441.14,3216589.05,11481304.11
BTCUSDT,perpetual,6,1800,827413.94,3903487.09,18445947.91,1800,759910.30,2741104.59,9430442.06
BTCUSDT,perpetual,7,1800,638656.19,3861836.67,15255201.20,1800,591996.19,2947682.81,8680119.83
BTCUSDT,perpetual,8,1800,672744.14,3492428.64,14081873.15,1800,555801.29,2716347.11,6941595.46
BTCUSDT,perpetual,9,1800,846317.12,4968434.82,24833104.80,1800,696532.17,3683659.03,11429522.53
BTCUSDT,perpetual,10,1800,1333436.58,8006917.22,33144697.92,1800,1108302.60,5588074.61,17173120.52
BTCUSDT,perpetual,11,1800,1504502.04,9422522.68,37098805.48,1800,990742.69,7148138.58,20616077.43
BTCUSDT,perpetual,12,1800,1515767.10,7095192.00,33856778.92,1800,1152248.56,5941693.21,18797690.09
BTCUSDT,perpetual,13,1800,1710786.67,5739965.12,23102410.34,1800,1542043.57,4582120.89,12550492.63
BTCUSDT,perpetual,14,1800,1112609.38,4194356.35,16776696.07,1800,1068755.43,3349135.58,9485707.48
BTCUSDT,perpetual,15,1800,893746.35,3267949.50,13072620.18,1800,796254.63,2310912.99,6724319.56
BTCUSDT,perpetual,16,1800,794486.96,2987008.35,10446562.66,1800,734188.92,2266358.29,5200523.06
BTCUSDT,perpetual,17,1800,607586.21,2219853.91,8536115.88,1800,568780.61,1682003.26,4819130.41
BTCUSDT,perpetual,18,1800,518433.76,2279474.38,12045858.05,1800,497752.81,1498985.10,6106385.29
BTCUSDT,perpetual,19,1800,669200.73,2894443.38,11165974.95,1800,570441.13,2198538.00,5873520.70
BTCUSDT,perpetual,20,1800,634633.25,2820153.06,10244049.19,1800,574426.55,1922055.31,5521492.81
BTCUSDT,perpetual,21,1800,945959.78,3329138.83,11933722.75,1800,817919.08,2504509.24,6625044.80
BTCUSDT,perpetual,22,1800,943421.03,3605326.15,14362457.05,1800,807590.74,2737357.14,6946448.18
BTCUSDT,perpetual,23,1800,768678.07,3187828.80,14419470.09,1800,707374.47,2295906.18,7384441.28
BTCUSDT,spot,0,240,139446.42,407199.54,1776438.62,240,139446.42,253246.79,651275.07
BTCUSDT,spot,1,289,131990.99,391757.53,1277233.59,260,131990.99,280261.59,589631.50
BTCUSDT,spot,2,300,153272.44,508525.95,1297971.16,300,153272.44,393822.91,721265.44
BTCUSDT,spot,3,300,140355.47,505385.49,2584481.49,300,140355.47,391103.30,1860213.61
BTCUSDT,spot,4,300,209924.50,641897.40,4192640.35,300,158944.57,413971.67,3618318.69
BTCUSDT,spot,5,248,172772.75,465406.57,1481557.87,248,172772.75,394124.97,954813.94
BTCUSDT,spot,6,240,160657.03,491048.40,1596079.54,240,160657.03,334385.82,647920.06
BTCUSDT,spot,7,240,135054.31,422187.63,1179325.95,240,135054.31,336681.95,554037.58
BTCUSDT,spot,8,240,197469.67,514077.98,1618207.96,240,197469.67,394364.30,670819.10
BTCUSDT,spot,9,240,233175.62,812491.30,3597243.96,240,233175.62,605312.00,1637906.55
BTCUSDT,spot,10,240,343795.00,981447.78,2946626.10,240,340023.52,763140.14,1730193.69
BTCUSDT,spot,11,240,398612.72,874415.23,2291877.14,240,398612.72,746059.34,1364335.63
BTCUSDT,spot,12,240,330633.97,761538.71,2362817.41,240,330633.97,606825.37,1322559.37
