BEGIN
SET
Output format is unaligned.
Field separator is ",".
coorte,versao,decisao,mercado,direcao,dia,entrada_utc,horizonte_s,saida_real,no_recorte_par,no_recorte_mercado_dia,entry_open,atr,horizonte_min,preco,ret_atr
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,d4dc6276-6d58-529e-9eee-129827871378,NEARUSDT,long,2026-06-12,2026-06-12 10:46:00,4800,expired,t,t,2.0970000000,0.01628863954920198116811075808,5,2.1050000000,0.49113985
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,d4dc6276-6d58-529e-9eee-129827871378,NEARUSDT,long,2026-06-12,2026-06-12 10:46:00,4800,expired,t,t,2.0970000000,0.01628863954920198116811075808,10,2.1030000000,0.36835489
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,d4dc6276-6d58-529e-9eee-129827871378,NEARUSDT,long,2026-06-12,2026-06-12 10:46:00,4800,expired,t,t,2.0970000000,0.01628863954920198116811075808,15,2.0970000000,0.00000000
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,d4dc6276-6d58-529e-9eee-129827871378,NEARUSDT,long,2026-06-12,2026-06-12 10:46:00,4800,expired,t,t,2.0970000000,0.01628863954920198116811075808,30,2.1070000000,0.61392481
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,d4dc6276-6d58-529e-9eee-129827871378,NEARUSDT,long,2026-06-12,2026-06-12 10:46:00,4800,expired,t,t,2.0970000000,0.01628863954920198116811075808,60,2.0990000000,0.12278496
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,d4dc6276-6d58-529e-9eee-129827871378,NEARUSDT,long,2026-06-12,2026-06-12 10:46:00,4800,expired,t,t,2.0970000000,0.01628863954920198116811075808,80,2.0980000000,0.06139248
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,572f19f8-a7b0-5489-b94f-443a13684d42,DOGEUSDT,long,2026-06-12,2026-06-12 16:16:00,4800,expired,t,t,0.0882600000,0.0007015672145136449133554692754,5,0.0878300000,-0.61291348
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,572f19f8-a7b0-5489-b94f-443a13684d42,DOGEUSDT,long,2026-06-12,2026-06-12 16:16:00,4800,expired,t,t,0.0882600000,0.0007015672145136449133554692754,10,0.0881600000,-0.14253802
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,572f19f8-a7b0-5489-b94f-443a13684d42,DOGEUSDT,long,2026-06-12,2026-06-12 16:16:00,4800,expired,t,t,0.0882600000,0.0007015672145136449133554692754,15,0.0881500000,-0.15679182
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,572f19f8-a7b0-5489-b94f-443a13684d42,DOGEUSDT,long,2026-06-12,2026-06-12 16:16:00,4800,expired,t,t,0.0882600000,0.0007015672145136449133554692754,30,0.0884000000,0.19955322
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,572f19f8-a7b0-5489-b94f-443a13684d42,DOGEUSDT,long,2026-06-12,2026-06-12 16:16:00,4800,expired,t,t,0.0882600000,0.0007015672145136449133554692754,60,0.0884300000,0.24231463
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,572f19f8-a7b0-5489-b94f-443a13684d42,DOGEUSDT,long,2026-06-12,2026-06-12 16:16:00,4800,expired,t,t,0.0882600000,0.0007015672145136449133554692754,80,0.0882700000,0.01425380
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,01a1db47-b5c5-5bb9-aabe-16d7b1e3bf43,TAOUSDT,long,2026-06-13,2026-06-13 18:01:00,4800,stop,t,t,261.1300000000,3.67905754117012283591319375,5,259.4100000000,-0.46751104
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,01a1db47-b5c5-5bb9-aabe-16d7b1e3bf43,TAOUSDT,long,2026-06-13,2026-06-13 18:01:00,4800,stop,t,t,261.1300000000,3.67905754117012283591319375,10,259.8000000000,-0.36150563
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,01a1db47-b5c5-5bb9-aabe-16d7b1e3bf43,TAOUSDT,long,2026-06-13,2026-06-13 18:01:00,4800,stop,t,t,261.1300000000,3.67905754117012283591319375,15,259.5100000000,-0.44033016
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,01a1db47-b5c5-5bb9-aabe-16d7b1e3bf43,TAOUSDT,long,2026-06-13,2026-06-13 18:01:00,4800,stop,t,t,261.1300000000,3.67905754117012283591319375,30,258.9200000000,-0.60069732
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,01a1db47-b5c5-5bb9-aabe-16d7b1e3bf43,TAOUSDT,long,2026-06-13,2026-06-13 18:01:00,4800,stop,t,t,261.1300000000,3.67905754117012283591319375,60,255.9100000000,-1.41884163
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,01a1db47-b5c5-5bb9-aabe-16d7b1e3bf43,TAOUSDT,long,2026-06-13,2026-06-13 18:01:00,4800,stop,t,t,261.1300000000,3.67905754117012283591319375,80,252.2600000000,-2.41094354
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,7c0de5f3-0621-5b61-bbcd-63f1a2ce278f,SAHARAUSDT,long,2026-06-14,2026-06-14 01:36:00,4800,target,t,t,0.0152000000,0.0001162616022517740428765188984,5,0.0152400000,0.34405168
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,7c0de5f3-0621-5b61-bbcd-63f1a2ce278f,SAHARAUSDT,long,2026-06-14,2026-06-14 01:36:00,4800,target,t,t,0.0152000000,0.0001162616022517740428765188984,10,0.0152400000,0.34405168
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,7c0de5f3-0621-5b61-bbcd-63f1a2ce278f,SAHARAUSDT,long,2026-06-14,2026-06-14 01:36:00,4800,target,t,t,0.0152000000,0.0001162616022517740428765188984,15,0.0152300000,0.25803876
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,7c0de5f3-0621-5b61-bbcd-63f1a2ce278f,SAHARAUSDT,long,2026-06-14,2026-06-14 01:36:00,4800,target,t,t,0.0152000000,0.0001162616022517740428765188984,30,0.0153500000,1.29019381
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,7c0de5f3-0621-5b61-bbcd-63f1a2ce278f,SAHARAUSDT,long,2026-06-14,2026-06-14 01:36:00,4800,target,t,t,0.0152000000,0.0001162616022517740428765188984,60,0.0156000000,3.44051684
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,7c0de5f3-0621-5b61-bbcd-63f1a2ce278f,SAHARAUSDT,long,2026-06-14,2026-06-14 01:36:00,4800,target,t,t,0.0152000000,0.0001162616022517740428765188984,80,0.0154700000,2.32234886
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,efb65c1b-ed99-595a-b147-9c1cb086b763,NEARUSDT,long,2026-06-14,2026-06-14 02:56:00,4800,expired,t,t,2.1320000000,0.01334078176214112812789106194,5,2.1320000000,0.00000000
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,efb65c1b-ed99-595a-b147-9c1cb086b763,NEARUSDT,long,2026-06-14,2026-06-14 02:56:00,4800,expired,t,t,2.1320000000,0.01334078176214112812789106194,10,2.1380000000,0.44974876
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,efb65c1b-ed99-595a-b147-9c1cb086b763,NEARUSDT,long,2026-06-14,2026-06-14 02:56:00,4800,expired,t,t,2.1320000000,0.01334078176214112812789106194,15,2.1380000000,0.44974876
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,efb65c1b-ed99-595a-b147-9c1cb086b763,NEARUSDT,long,2026-06-14,2026-06-14 02:56:00,4800,expired,t,t,2.1320000000,0.01334078176214112812789106194,30,2.1410000000,0.67462313
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,efb65c1b-ed99-595a-b147-9c1cb086b763,NEARUSDT,long,2026-06-14,2026-06-14 02:56:00,4800,expired,t,t,2.1320000000,0.01334078176214112812789106194,60,2.1300000000,-0.14991625
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,efb65c1b-ed99-595a-b147-9c1cb086b763,NEARUSDT,long,2026-06-14,2026-06-14 02:56:00,4800,expired,t,t,2.1320000000,0.01334078176214112812789106194,80,2.1350000000,0.22487438
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,3a139f13-7aaa-5017-bfd2-389f20ee35b2,SAHARAUSDT,long,2026-06-14,2026-06-14 04:46:00,4800,stop,t,t,0.0153800000,0.00009773573622725266134448234764,5,0.0153800000,0.00000000
replay:92c8d080-6009-4a59-9868-31282b1bd493,mean_reversion_m5 v1,3a139f13-7aaa-5017-bfd2-389f20ee35b2,SAHARAUSDT,long,2026-06-14,2026-06-14 04:46:00,4800,stop,t,t,0.0153800000,0.00009773573622725266134448234764,10,0.0153600000,-0.20463344
