versao,coorte,dimensao,celula,n,dias,exp_liq,exp_resto,delta,ic_lo,ic_hi,p,holm,julgavel,pf,acerto_pct,pedagio_medio,exp_bruta,soma_r,n_resto,dias_resto
volume_anomaly (familia),prospective,mercado,ARXUSDT,30,3,-0.317795,-0.314953,-0.002842,nan,nan,nan,0,0,0.529758,23.33,0.208583,-0.109399,-9.5338,2824,3
volume_anomaly (familia),prospective,mercado,DOTUSDT,34,3,-0.382277,-0.314172,-0.068105,nan,nan,nan,0,0,0.419850,29.41,0.251541,-0.130683,-12.9974,2820,3
volume_anomaly (familia),prospective,mercado,FORMUSDT,33,3,-0.407880,-0.313896,-0.093983,nan,nan,nan,0,0,0.378619,18.18,0.156796,-0.251260,-13.4600,2821,3
volume_anomaly (familia),prospective,mercado,ORCAUSDT,30,3,-0.171693,-0.316505,0.144812,nan,nan,nan,0,0,0.744632,23.33,0.245435,0.054285,-5.1508,2824,3
volume_anomaly (familia),prospective,mercado,SOLVUSDT,32,3,0.054797,-0.319176,0.373973,nan,nan,nan,0,0,1.081669,34.38,0.250277,0.305877,1.7535,2822,3
volume_anomaly (familia),prospective,mercado,SOPHUSDT,36,2,0.051315,-0.319662,0.370977,nan,nan,nan,0,0,1.102546,33.33,0.119959,0.171781,1.8473,2818,3
volume_anomaly (familia),prospective,mercado,VETUSDT,35,3,-0.547305,-0.312098,-0.235207,nan,nan,nan,0,0,0.363709,25.71,0.423685,-0.123999,-19.1557,2819,3
volume_anomaly (familia),prospective,mercado,VVVUSDT,37,3,0.122738,-0.320732,0.443470,nan,nan,nan,0,0,1.256750,48.65,0.234429,0.359189,4.5413,2817,3
volume_anomaly (familia),prospective,hora,00h BRT (03h UTC),95,3,-0.434175,-0.310879,-0.123296,nan,nan,nan,0,0,0.381842,23.16,0.290966,-0.147325,-41.2466,2759,3
volume_anomaly (familia),prospective,hora,01h BRT (04h UTC),100,3,-0.161983,-0.320538,0.158555,nan,nan,nan,0,0,0.741472,30.00,0.268211,0.105193,-16.1983,2754,3
volume_anomaly (familia),prospective,hora,10h BRT (13h UTC),217,3,-0.263499,-0.319220,0.055720,nan,nan,nan,0,0,0.615487,34.56,0.346862,0.083238,-57.1793,2637,3
volume_anomaly (familia),prospective,hora,11h BRT (14h UTC),176,3,-0.471558,-0.304693,-0.166865,nan,nan,nan,0,0,0.373570,21.59,0.300678,-0.170916,-82.9942,2678,3
volume_anomaly (familia),prospective,hora,12h BRT (15h UTC),243,3,-0.361910,-0.310616,-0.051295,nan,nan,nan,0,0,0.527261,19.34,0.350842,-0.009796,-87.9441,2611,3
volume_anomaly (familia),prospective,hora,13h BRT (16h UTC),168,3,-0.097609,-0.328579,0.230970,nan,nan,nan,0,0,0.829817,28.57,0.266927,0.169327,-16.3982,2686,3
volume_anomaly (familia),prospective,hora,14h BRT (17h UTC),90,3,-0.473395,-0.309825,-0.163570,nan,nan,nan,0,0,0.442069,11.11,0.368657,-0.105064,-42.6056,2764,3
volume_anomaly (familia),prospective,hora,15h BRT (18h UTC),76,3,-0.242514,-0.316966,0.074452,nan,nan,nan,0,0,0.621939,25.00,0.286131,0.043733,-18.4311,2778,3
volume_anomaly (familia),prospective,hora,16h BRT (19h UTC),58,3,-0.027636,-0.320944,0.293308,nan,nan,nan,0,0,0.953101,31.03,0.260667,0.235877,-1.6029,2796,3
volume_anomaly (familia),prospective,hora,17h BRT (20h UTC),64,3,-0.230286,-0.316926,0.086639,nan,nan,nan,0,0,0.639129,29.69,0.324453,0.094066,-14.7383,2790,3
volume_anomaly (familia),prospective,hora,18h BRT (21h UTC),69,3,-0.438796,-0.311915,-0.126881,nan,nan,nan,0,0,0.365383,15.94,0.267784,-0.171344,-30.2769,2785,3
volume_anomaly (familia),prospective,hora,19h BRT (22h UTC),50,3,-0.462448,-0.312353,-0.150094,nan,nan,nan,0,0,0.404576,28.00,0.462544,-0.000075,-23.1224,2804,3
volume_anomaly (familia),prospective,hora,02h BRT (05h UTC),140,3,-0.355699,-0.312883,-0.042816,nan,nan,nan,0,0,0.463009,32.14,0.331393,-0.024530,-49.7979,2714,3
volume_anomaly (familia),prospective,hora,20h BRT (23h UTC),53,3,-0.492447,-0.311625,-0.180822,nan,nan,nan,0,0,0.353259,26.42,0.541944,0.053230,-26.0997,2801,3
volume_anomaly (familia),prospective,hora,21h BRT (00h UTC),108,3,-0.431758,-0.310390,-0.121367,nan,nan,nan,0,0,0.390285,26.85,0.316668,-0.115395,-46.6298,2746,3
volume_anomaly (familia),prospective,hora,22h BRT (01h UTC),79,3,-0.548883,-0.308324,-0.240559,nan,nan,nan,0,0,0.354468,27.85,0.543023,-0.012407,-43.3618,2775,3
volume_anomaly (familia),prospective,hora,23h BRT (02h UTC),86,3,-0.600628,-0.306108,-0.294520,nan,nan,nan,0,0,0.231998,15.12,0.307853,-0.293486,-51.6540,2768,3
volume_anomaly (familia),prospective,hora,03h BRT (06h UTC),114,3,-0.522518,-0.306348,-0.216170,nan,nan,nan,0,0,0.327040,20.18,0.309429,-0.213692,-59.5671,2740,3
volume_anomaly (familia),prospective,hora,04h BRT (07h UTC),181,3,-0.110955,-0.328799,0.217844,nan,nan,nan,0,0,0.785996,38.12,0.259134,0.148981,-20.0828,2673,3
volume_anomaly (familia),prospective,hora,05h BRT (08h UTC),106,3,-0.178158,-0.320261,0.142103,nan,nan,nan,0,0,0.731615,29.25,0.279497,0.101273,-18.8847,2748,3
volume_anomaly (familia),prospective,hora,06h BRT (09h UTC),160,3,-0.210206,-0.321206,0.111000,nan,nan,nan,0,0,0.660938,26.88,0.285271,0.074969,-33.6329,2694,3
volume_anomaly (familia),prospective,hora,07h BRT (10h UTC),143,3,-0.430037,-0.308914,-0.121123,nan,nan,nan,0,0,0.501801,30.77,0.589227,0.159408,-61.4953,2711,3
volume_anomaly (familia),prospective,hora,08h BRT (11h UTC),121,3,-0.183241,-0.320816,0.137575,nan,nan,nan,0,0,0.748117,25.62,0.340530,0.158816,-22.1722,2733,3
volume_anomaly (familia),prospective,hora,09h BRT (12h UTC),157,3,-0.209205,-0.321141,0.111936,nan,nan,nan,0,0,0.657140,33.12,0.283207,0.073907,-32.8451,2697,3
volume_anomaly (familia),prospective,dia_semana,seg (BRT),1104,1,-0.323062,-0.309886,-0.013176,nan,nan,nan,0,0,0.540063,26.45,0.343360,0.019735,-356.6605,1750,2
volume_anomaly (familia),prospective,dia_semana,ter (BRT),815,1,-0.267845,-0.333824,0.065979,nan,nan,nan,0,0,0.590166,27.85,0.313092,0.045865,-218.2937,2039,2
volume_anomaly (familia),prospective,dia_semana,dom (BRT),935,1,-0.346532,-0.299611,-0.046920,nan,nan,nan,0,0,0.519788,26.52,0.339027,-0.007700,-324.0070,1919,2
volume_anomaly (familia),prospective,regime+trend_x_vol,BTC_BULL = up/low,66,1,-0.149666,-0.318896,0.169231,nan,nan,nan,0,0,0.768785,31.82,0.305445,0.156288,-9.8779,2788,3
volume_anomaly (familia),prospective,regime+trend_x_vol,LOW_VOLATILITY = flat/low,813,1,-0.354926,-0.299072,-0.055854,nan,nan,nan,0,0,0.512551,26.45,0.344848,-0.010296,-288.5548,2041,3
volume_anomaly (familia),prospective,regime+trend_x_vol,SIDEWAYS = flat/normal,1975,3,-0.304065,-0.339514,0.035449,nan,nan,nan,0,0,0.554544,26.89,0.329473,0.025329,-600.5285,879,1
volume_anomaly (familia),prospective,pedagio,"pedagio < 0,10 R",378,3,-0.069178,-0.352509,0.283331,nan,nan,nan,0,0,0.838738,37.83,0.071517,0.001752,-26.1493,2476,3
volume_anomaly (familia),prospective,pedagio,"pedagio 0,10-0,20 R",862,3,-0.142134,-0.389780,0.247646,nan,nan,nan,0,0,0.729706,32.02,0.150863,0.008461,-122.5195,1992,3
volume_anomaly (familia),prospective,pedagio,"pedagio > 0,20 R",1614,3,-0.464865,-0.119894,-0.344971,nan,nan,nan,0,0,0.451290,21.56,0.492040,0.027269,-750.2925,1240,3
volume_anomaly (familia),prospective,mercado,0GUSDT,8,2,-0.446397,-0.314614,-0.131784,nan,nan,nan,0,0,0.413511,25.00,0.316034,-0.130136,-3.5712,2846,3
volume_anomaly (familia),prospective,mercado,1000000BOBUSDT,5,2,-0.688976,-0.314327,-0.374650,nan,nan,nan,0,0,0.134698,20.00,0.171383,-0.518214,-3.4449,2849,3
volume_anomaly (familia),prospective,mercado,1000BONKUSDT,6,2,0.068566,-0.315791,0.384357,nan,nan,nan,0,0,1.362054,50.00,0.127613,0.196835,0.4114,2848,3
volume_anomaly (familia),prospective,mercado,1000CATUSDT,3,2,-0.805348,-0.314467,-0.490881,nan,nan,nan,0,0,0.000000,0.00,0.119954,-0.686152,-2.4160,2851,3
volume_anomaly (familia),prospective,mercado,1000FLOKIUSDT,18,3,-0.194232,-0.315749,0.121517,nan,nan,nan,0,0,0.743397,33.33,0.502063,0.311545,-3.4962,2836,3
volume_anomaly (familia),prospective,mercado,1000LUNCUSDT,15,2,-0.663007,-0.313144,-0.349863,nan,nan,nan,0,0,0.210273,20.00,0.550445,-0.111522,-9.9451,2839,3
volume_anomaly (familia),prospective,mercado,1000PEPEUSDT,7,3,-0.849765,-0.313668,-0.536097,nan,nan,nan,0,0,0.114112,14.29,0.338077,-0.510767,-5.9484,2847,3
volume_anomaly (familia),prospective,mercado,1000SHIBUSDT,12,3,-0.413840,-0.314566,-0.099275,nan,nan,nan,0,0,0.387750,33.33,0.388249,-0.024849,-4.9661,2842,3
volume_anomaly (familia),prospective,mercado,4USDT,5,2,-0.185052,-0.315211,0.130159,nan,nan,nan,0,0,0.619988,20.00,0.059919,-0.125294,-0.9253,2849,3
volume_anomaly (familia),prospective,mercado,AAVEUSDT,10,3,-0.702107,-0.313622,-0.388485,nan,nan,nan,0,0,0.154541,20.00,0.497603,-0.203411,-7.0211,2844,3
volume_anomaly (familia),prospective,mercado,ACEUSDT,15,2,-0.015051,-0.316568,0.301517,nan,nan,nan,0,0,0.969971,40.00,0.173088,0.148276,-0.2258,2839,3
volume_anomaly (familia),prospective,mercado,ACUUSDT,8,2,-0.293834,-0.315042,0.021209,nan,nan,nan,0,0,0.366055,25.00,0.203933,-0.084115,-2.3507,2846,3
volume_anomaly (familia),prospective,mercado,ADAUSDT,12,3,-0.422112,-0.314531,-0.107581,nan,nan,nan,0,0,0.379159,25.00,0.372664,-0.049365,-5.0653,2842,3
volume_anomaly (familia),prospective,mercado,AEROUSDT,25,3,0.056356,-0.318264,0.374620,nan,nan,nan,0,0,1.086535,24.00,0.229790,0.286661,1.4089,2829,3
volume_anomaly (familia),prospective,mercado,AIAUSDT,5,1,-0.816206,-0.314103,-0.502103,nan,nan,nan,0,0,0.000000,0.00,0.154004,-0.659172,-4.0810,2849,3
volume_anomaly (familia),prospective,mercado,AIOUSDT,3,1,-0.423564,-0.314869,-0.108695,nan,nan,nan,0,0,0.502274,33.33,0.290663,-0.133209,-1.2707,2851,3
volume_anomaly (familia),prospective,mercado,AIXBTUSDT,1,1,0.576274,-0.315295,0.891569,nan,nan,nan,0,0,inf,100.00,0.255581,0.838932,0.5763,2853,3
volume_anomaly (familia),prospective,mercado,AKEUSDT,15,3,0.218593,-0.317802,0.536395,nan,nan,nan,0,0,1.576865,40.00,0.118472,0.328208,3.2789,2839,3
volume_anomaly (familia),prospective,mercado,ALGOUSDT,20,3,-0.384787,-0.314490,-0.070296,nan,nan,nan,0,0,0.468654,30.00,0.330624,-0.053745,-7.6957,2834,3
volume_anomaly (familia),prospective,mercado,ALLOUSDT,4,2,-0.401192,-0.314862,-0.086330,nan,nan,nan,0,0,0.648972,50.00,1.168046,0.769684,-1.6048,2850,3
volume_anomaly (familia),prospective,mercado,APRUSDT,13,3,-0.509227,-0.314094,-0.195133,nan,nan,nan,0,0,0.176996,23.08,0.151191,-0.358485,-6.6199,2841,3
volume_anomaly (familia),prospective,mercado,APTUSDT,13,3,-0.438397,-0.314418,-0.123979,nan,nan,nan,0,0,0.375756,23.08,0.321148,-0.115434,-5.6992,2841,3
volume_anomaly (familia),prospective,mercado,ARBUSDT,4,2,0.274303,-0.315810,0.590113,nan,nan,nan,0,0,1.571775,50.00,0.089218,0.364435,1.0972,2850,3
volume_anomaly (familia),prospective,mercado,ARCUSDT,2,1,0.796316,-0.315762,1.112079,nan,nan,nan,0,0,4.353003,50.00,0.295642,1.092874,1.5926,2852,3
volume_anomaly (familia),prospective,mercado,ARKMUSDT,11,2,-0.398381,-0.314660,-0.083721,nan,nan,nan,0,0,0.572131,27.27,0.463837,0.065243,-4.3822,2843,3
volume_anomaly (familia),prospective,mercado,ARUSDT,6,2,-0.469794,-0.314657,-0.155138,nan,nan,nan,0,0,0.158935,16.67,0.199304,-0.267772,-2.8188,2848,3
volume_anomaly (familia),prospective,mercado,ASTERUSDT,7,2,0.003820,-0.315767,0.319587,nan,nan,nan,0,0,1.007581,42.86,0.402368,0.406353,0.0267,2847,3
volume_anomaly (familia),prospective,mercado,ASTRUSDT,2,1,-0.553284,-0.314816,-0.238469,nan,nan,nan,0,0,0.000000,0.00,0.190017,-0.363745,-1.1066,2852,3
volume_anomaly (familia),prospective,mercado,ATOMUSDT,28,3,-0.642588,-0.311737,-0.330851,nan,nan,nan,0,0,0.253243,25.00,0.435890,-0.206292,-17.9925,2826,3
volume_anomaly (familia),prospective,mercado,AVAAIUSDT,6,2,-0.050999,-0.315539,0.264540,nan,nan,nan,0,0,0.932856,33.33,0.295290,0.245463,-0.3060,2848,3
volume_anomaly (familia),prospective,mercado,AVAXUSDT,5,3,0.078026,-0.315673,0.393699,nan,nan,nan,0,0,1.175006,40.00,0.456072,0.536730,0.3901,2849,3
volume_anomaly (familia),prospective,mercado,AVNTUSDT,6,1,0.327662,-0.316337,0.643999,nan,nan,nan,0,0,1.669068,50.00,0.214974,0.544658,1.9660,2848,3
volume_anomaly (familia),prospective,mercado,AXSUSDT,3,2,0.475035,-0.315814,0.790849,nan,nan,nan,0,0,3.195880,66.67,0.302579,0.781545,1.4251,2851,3
volume_anomaly (familia),prospective,mercado,BANKUSDT,8,2,0.114828,-0.316191,0.431019,nan,nan,nan,0,0,1.306385,50.00,0.484850,0.600622,0.9186,2846,3
volume_anomaly (familia),prospective,mercado,BCHUSDT,12,3,-0.332250,-0.314910,-0.017340,nan,nan,nan,0,0,0.574733,33.33,0.439379,0.106972,-3.9870,2842,3
volume_anomaly (familia),prospective,mercado,BEATUSDT,13,3,-0.750089,-0.312992,-0.437097,nan,nan,nan,0,0,0.156766,7.69,0.307812,-0.440589,-9.7512,2841,3
volume_anomaly (familia),prospective,mercado,BICOUSDT,12,3,-0.399670,-0.314625,-0.085045,nan,nan,nan,0,0,0.372728,25.00,0.206733,-0.197827,-4.7960,2842,3
volume_anomaly (familia),prospective,mercado,BIGTIMEUSDT,10,2,-0.720429,-0.313557,-0.406872,nan,nan,nan,0,0,0.198855,10.00,0.371850,-0.349151,-7.2043,2844,3
volume_anomaly (familia),prospective,mercado,BIOUSDT,4,1,-0.465207,-0.314772,-0.150435,nan,nan,nan,0,0,0.352676,25.00,0.309277,-0.154810,-1.8608,2850,3
volume_anomaly (familia),prospective,mercado,BLESSUSDT,8,3,-0.398150,-0.314749,-0.083401,nan,nan,nan,0,0,0.252016,12.50,0.157098,-0.239449,-3.1852,2846,3
volume_anomaly (familia),prospective,mercado,BLUAIUSDT,17,2,-0.034752,-0.316662,0.281910,nan,nan,nan,0,0,0.946586,23.53,0.198036,0.169824,-0.5908,2837,3
volume_anomaly (familia),prospective,mercado,BNBUSDT,10,3,-0.181462,-0.315452,0.133991,nan,nan,nan,0,0,0.632428,50.00,0.498095,0.317378,-1.8146,2844,3
volume_anomaly (familia),prospective,mercado,BOMEUSDT,12,2,0.077627,-0.316641,0.394268,nan,nan,nan,0,0,1.162919,41.67,0.186377,0.264982,0.9315,2842,3
volume_anomaly (familia),prospective,mercado,BROCCOLI714USDT,3,1,-0.699360,-0.314578,-0.384782,nan,nan,nan,0,0,0.000000,0.00,0.224386,-0.475584,-2.0981,2851,3
