symbol,tf,ts,n_linhas,dist_sup,dist_res
ARBUSDT,15m,2026-08-09T03:30:00+00:00,3,,0.134510
ARBUSDT,15m,2026-08-09T03:45:00+00:00,3,0.036824,0.833915
ARBUSDT,15m,2026-08-09T04:00:00+00:00,3,0.395455,1.040350
ARBUSDT,15m,2026-08-09T04:15:00+00:00,3,0.237194,0.419652
ARBUSDT,15m,2026-08-09T04:30:00+00:00,4,0.026750,0.294248
ARBUSDT,15m,2026-08-09T04:45:00+00:00,4,0.333553,0.991644
ARBUSDT,15m,2026-08-09T05:00:00+00:00,4,0.561074,1.306106
ARBUSDT,15m,2026-08-09T05:15:00+00:00,4,1.278192,1.387751
ARBUSDT,15m,2026-08-09T05:30:00+00:00,3,2.981623,2.204180
ARBUSDT,15m,2026-08-09T05:45:00+00:00,3,2.684418,2.954603
ARBUSDT,15m,2026-08-09T06:00:00+00:00,3,2.637443,2.841689
ARBUSDT,15m,2026-08-09T06:15:00+00:00,3,2.366077,2.277126
ARBUSDT,15m,2026-08-09T06:30:00+00:00,3,1.619199,1.592212
ARBUSDT,15m,2026-08-09T06:45:00+00:00,3,1.292845,1.516070
ARBUSDT,15m,2026-08-09T07:00:00+00:00,3,2.535306,1.737983
ARBUSDT,15m,2026-08-09T07:15:00+00:00,2,2.663484,2.286829
ARBUSDT,15m,2026-08-09T07:30:00+00:00,4,2.538578,0.139199
ARBUSDT,15m,2026-08-09T07:45:00+00:00,4,3.215033,0.772875
ARBUSDT,15m,2026-08-09T08:00:00+00:00,4,2.889899,0.097561
ARBUSDT,15m,2026-08-09T08:15:00+00:00,4,3.425868,0.189692
ARBUSDT,15m,2026-08-09T08:30:00+00:00,3,6.139363,0.658795
ARBUSDT,15m,2026-08-09T08:45:00+00:00,4,4.621936,2.007998
ARBUSDT,15m,2026-08-09T09:00:00+00:00,4,4.950430,1.919132
ARBUSDT,15m,2026-08-09T09:15:00+00:00,4,4.815868,1.494048
ARBUSDT,15m,2026-08-09T09:30:00+00:00,4,4.843400,1.733206
ARBUSDT,15m,2026-08-09T09:45:00+00:00,5,4.940425,1.003344
ARBUSDT,15m,2026-08-09T10:00:00+00:00,5,4.633751,0.776852
ARBUSDT,15m,2026-08-09T10:15:00+00:00,5,4.658396,0.465426
ARBUSDT,15m,2026-08-09T10:30:00+00:00,5,4.939497,0.528478
ARBUSDT,15m,2026-08-09T10:45:00+00:00,5,4.735424,0.157975
ARBUSDT,15m,2026-08-09T11:00:00+00:00,5,5.128790,0.297451
ARBUSDT,15m,2026-08-09T11:15:00+00:00,5,5.222991,0.032271
ARBUSDT,15m,2026-08-09T11:30:00+00:00,5,5.493341,0.166149
ARBUSDT,15m,2026-08-09T11:45:00+00:00,5,5.585574,0.182368
ARBUSDT,15m,2026-08-09T12:00:00+00:00,5,5.692134,0.409301
ARBUSDT,15m,2026-08-09T12:15:00+00:00,5,5.586587,0.185689
ARBUSDT,15m,2026-08-09T12:30:00+00:00,5,5.889760,0.428894
ARBUSDT,15m,2026-08-09T12:45:00+00:00,5,6.038393,0.017203
ARBUSDT,15m,2026-08-09T13:00:00+00:00,5,5.728328,0.476776
ARBUSDT,15m,2026-08-09T13:15:00+00:00,5,5.397850,1.114864
ARBUSDT,15m,2026-08-09T13:30:00+00:00,5,5.318170,1.721519
ARBUSDT,15m,2026-08-09T13:45:00+00:00,5,5.778969,1.414716
ARBUSDT,15m,2026-08-09T14:00:00+00:00,5,6.247789,0.926555
ARBUSDT,15m,2026-08-09T14:15:00+00:00,6,5.701636,0.423127
ARBUSDT,15m,2026-08-09T14:30:00+00:00,6,4.954758,1.116851
ARBUSDT,15m,2026-08-09T14:45:00+00:00,6,4.240299,1.337959
ARBUSDT,15m,2026-08-09T15:00:00+00:00,6,,0.598028
ARBUSDT,15m,2026-08-09T15:15:00+00:00,6,,0.674305
ARBUSDT,15m,2026-08-09T15:30:00+00:00,6,,0.315117
ARBUSDT,15m,2026-08-09T15:45:00+00:00,6,,0.821795
ARBUSDT,15m,2026-08-09T16:00:00+00:00,6,,1.351769
ARBUSDT,15m,2026-08-09T16:15:00+00:00,6,,0.578187
ARBUSDT,15m,2026-08-09T16:30:00+00:00,6,,0.154939
ARBUSDT,15m,2026-08-09T16:45:00+00:00,6,,0.584332
ARBUSDT,15m,2026-08-09T17:00:00+00:00,6,,0.209551
ARBUSDT,15m,2026-08-09T17:15:00+00:00,6,,0.168262
ARBUSDT,15m,2026-08-09T17:30:00+00:00,6,,0.509832
ARBUSDT,15m,2026-08-09T17:45:00+00:00,6,,0.420629
ARBUSDT,15m,2026-08-09T18:00:00+00:00,6,,0.446940
ARBUSDT,15m,2026-08-09T18:15:00+00:00,6,,0.297636
ARBUSDT,15m,2026-08-09T18:30:00+00:00,6,,0.470275
ARBUSDT,15m,2026-08-09T18:45:00+00:00,6,,0.388536
ARBUSDT,15m,2026-08-09T19:00:00+00:00,6,0.232417,0.297633
ARBUSDT,15m,2026-08-09T19:15:00+00:00,6,0.771049,1.979298
ARBUSDT,15m,2026-08-09T19:30:00+00:00,6,0.733893,0.311450
ARBUSDT,15m,2026-08-09T19:45:00+00:00,6,0.160160,0.169563
ARBUSDT,15m,2026-08-09T20:00:00+00:00,6,0.619918,0.566960
ARBUSDT,15m,2026-08-09T20:15:00+00:00,6,1.747149,2.678412
ARBUSDT,15m,2026-08-09T20:30:00+00:00,6,2.917632,2.270175
ARBUSDT,15m,2026-08-09T20:45:00+00:00,6,2.595314,2.408312
ARBUSDT,15m,2026-08-09T21:00:00+00:00,6,1.131719,1.471234
ARBUSDT,15m,2026-08-09T21:15:00+00:00,6,1.023672,0.916685
ARBUSDT,15m,2026-08-09T21:30:00+00:00,6,1.463121,3.378479
ARBUSDT,15m,2026-08-09T21:45:00+00:00,6,3.281340,3.329503
ARBUSDT,15m,2026-08-09T22:00:00+00:00,6,3.084310,3.694068
ARBUSDT,15m,2026-08-09T22:15:00+00:00,6,1.898653,2.956508
ARBUSDT,15m,2026-08-09T22:30:00+00:00,6,0.188124,1.150551
