symbol,tf,ts,n_linhas,dist_sup,dist_res
BNBUSDT,15m,2026-08-09T03:30:00+00:00,2,0.111331,0.286359
BNBUSDT,15m,2026-08-09T03:45:00+00:00,2,0.690336,0.722030
BNBUSDT,15m,2026-08-09T04:00:00+00:00,1,0.484486,
BNBUSDT,15m,2026-08-09T04:15:00+00:00,1,0.171694,
BNBUSDT,15m,2026-08-09T04:30:00+00:00,1,0.508858,
BNBUSDT,15m,2026-08-09T04:45:00+00:00,1,0.094917,
BNBUSDT,15m,2026-08-09T05:00:00+00:00,1,0.105434,
BNBUSDT,15m,2026-08-09T05:15:00+00:00,1,0.184153,
BNBUSDT,15m,2026-08-09T05:30:00+00:00,1,0.304941,
BNBUSDT,15m,2026-08-09T05:45:00+00:00,1,0.088936,
BNBUSDT,15m,2026-08-09T06:00:00+00:00,1,0.308006,
BNBUSDT,15m,2026-08-09T06:15:00+00:00,1,0.788386,
BNBUSDT,15m,2026-08-09T06:30:00+00:00,1,0.463857,
BNBUSDT,15m,2026-08-09T06:45:00+00:00,1,0.782777,
BNBUSDT,15m,2026-08-09T07:00:00+00:00,1,0.865535,
BNBUSDT,15m,2026-08-09T07:15:00+00:00,1,0.374154,
BNBUSDT,15m,2026-08-09T07:30:00+00:00,1,0.156057,
BNBUSDT,15m,2026-08-09T07:45:00+00:00,1,0.450718,
BNBUSDT,15m,2026-08-09T08:00:00+00:00,2,0.510253,
BNBUSDT,15m,2026-08-09T08:15:00+00:00,2,0.518022,
BNBUSDT,15m,2026-08-09T08:30:00+00:00,1,0.629171,
BNBUSDT,15m,2026-08-09T08:45:00+00:00,1,0.435529,
BNBUSDT,15m,2026-08-09T09:00:00+00:00,1,0.293426,
BNBUSDT,15m,2026-08-09T09:15:00+00:00,1,1.135267,
BNBUSDT,15m,2026-08-09T09:30:00+00:00,1,1.201467,
BNBUSDT,15m,2026-08-09T09:45:00+00:00,1,0.877709,
BNBUSDT,15m,2026-08-09T10:00:00+00:00,2,0.149097,
BNBUSDT,15m,2026-08-09T10:15:00+00:00,2,1.349276,
BNBUSDT,15m,2026-08-09T10:30:00+00:00,2,1.570316,
BNBUSDT,15m,2026-08-09T10:45:00+00:00,2,1.441857,
