symbol,tf,ts,n_linhas,dist_sup,dist_res
ARBUSDT,1h,2026-08-12T03:00:00+00:00,6,0.033542,1.267558
ARBUSDT,1h,2026-08-12T04:00:00+00:00,6,1.039584,1.513015
ARBUSDT,1h,2026-08-12T05:00:00+00:00,6,1.157463,2.237838
ARBUSDT,1h,2026-08-12T06:00:00+00:00,6,1.513360,2.422560
ARBUSDT,1h,2026-08-12T07:00:00+00:00,6,1.376133,5.843959
ARBUSDT,1h,2026-08-12T08:00:00+00:00,6,0.945541,6.294628
ARBUSDT,1h,2026-08-12T09:00:00+00:00,6,0.701462,3.146402
ARBUSDT,1h,2026-08-12T10:00:00+00:00,6,1.643713,3.086775
ARBUSDT,1h,2026-08-12T11:00:00+00:00,6,1.637207,6.268534
ARBUSDT,1h,2026-08-12T12:00:00+00:00,6,1.713072,5.465350
ARBUSDT,1h,2026-08-12T13:00:00+00:00,6,1.634499,6.270498
ARBUSDT,1h,2026-08-12T14:00:00+00:00,6,0.691779,6.761421
ARBUSDT,1h,2026-08-12T15:00:00+00:00,6,1.021243,6.871122
ARBUSDT,1h,2026-08-12T16:00:00+00:00,6,0.955154,6.672356
ARBUSDT,1h,2026-08-12T17:00:00+00:00,6,0.591889,3.482091
ARBUSDT,1h,2026-08-12T18:00:00+00:00,6,0.062972,7.748686
ARBUSDT,1h,2026-08-12T19:00:00+00:00,6,0.580074,4.364951
ARBUSDT,1h,2026-08-12T20:00:00+00:00,6,0.826356,8.203521
ARBUSDT,1h,2026-08-12T21:00:00+00:00,6,0.395486,7.922675
ARBUSDT,1h,2026-08-12T22:00:00+00:00,6,0.236658,9.729180
ARBUSDT,1h,2026-08-12T23:00:00+00:00,6,0.422954,7.999981
ARBUSDT,1h,2026-08-13T00:00:00+00:00,6,0.126763,10.554740
ARBUSDT,1h,2026-08-13T01:00:00+00:00,6,0.045969,7.929678
ARBUSDT,1h,2026-08-13T02:00:00+00:00,6,0.718887,10.484970
ARBUSDT,1h,2026-08-13T03:00:00+00:00,6,0.016712,4.951322
ARBUSDT,1h,2026-08-13T04:00:00+00:00,6,1.094790,8.847073
ARBUSDT,1h,2026-08-13T05:00:00+00:00,6,1.256450,8.933373
ARBUSDT,1h,2026-08-13T06:00:00+00:00,6,0.989485,9.139954
ARBUSDT,1h,2026-08-13T07:00:00+00:00,6,1.437737,8.754822
ARBUSDT,1h,2026-08-13T08:00:00+00:00,6,0.676798,9.906777
ARBUSDT,1h,2026-08-13T09:00:00+00:00,6,0.644847,6.880221
ARBUSDT,1h,2026-08-13T10:00:00+00:00,6,0.514938,7.115479
ARBUSDT,1h,2026-08-13T11:00:00+00:00,6,0.887071,7.325647
ARBUSDT,1h,2026-08-13T12:00:00+00:00,6,1.129736,7.482313
ARBUSDT,1h,2026-08-13T13:00:00+00:00,6,1.115931,6.550568
ARBUSDT,1h,2026-08-13T14:00:00+00:00,6,1.983921,6.510622
ARBUSDT,1h,2026-08-13T15:00:00+00:00,6,1.428209,6.262517
ARBUSDT,1h,2026-08-13T16:00:00+00:00,6,0.910709,6.633164
ARBUSDT,1h,2026-08-13T17:00:00+00:00,6,1.592906,7.320227
ARBUSDT,1h,2026-08-13T18:00:00+00:00,6,2.010238,0.222516
ARBUSDT,1h,2026-08-13T19:00:00+00:00,6,2.378408,0.164934
ARBUSDT,1h,2026-08-13T20:00:00+00:00,6,2.444491,0.137943
ARBUSDT,1h,2026-08-13T21:00:00+00:00,6,2.979122,0.632318
ARBUSDT,1h,2026-08-13T22:00:00+00:00,6,3.202661,1.613860
ARBUSDT,1h,2026-08-13T23:00:00+00:00,6,3.388453,1.473745
ARBUSDT,1h,2026-08-14T00:00:00+00:00,6,3.584141,1.388958
ARBUSDT,1h,2026-08-14T01:00:00+00:00,6,5.811238,0.312583
ARBUSDT,1h,2026-08-14T02:00:00+00:00,6,6.220848,0.446987
ARBUSDT,1h,2026-08-14T03:00:00+00:00,6,6.759979,0.289309
ARBUSDT,1h,2026-08-14T04:00:00+00:00,6,6.624601,0.022624
ARBUSDT,1h,2026-08-14T05:00:00+00:00,6,6.564798,0.543473
ARBUSDT,1h,2026-08-14T06:00:00+00:00,6,6.135416,0.944075
ARBUSDT,1h,2026-08-14T07:00:00+00:00,5,6.801519,0.722515
ARBUSDT,1h,2026-08-14T08:00:00+00:00,5,6.536469,1.379372
ARBUSDT,1h,2026-08-14T09:00:00+00:00,4,7.089716,1.379600
ARBUSDT,1h,2026-08-14T10:00:00+00:00,5,7.293969,0.142560
ARBUSDT,1h,2026-08-14T11:00:00+00:00,6,7.760154,0.103023
ARBUSDT,1h,2026-08-14T12:00:00+00:00,5,7.746601,0.147453
ARBUSDT,1h,2026-08-14T13:00:00+00:00,6,7.776490,0.790418
ARBUSDT,1h,2026-08-14T14:00:00+00:00,5,7.817400,0.751344
ARBUSDT,1h,2026-08-14T15:00:00+00:00,6,8.011166,0.993991
ARBUSDT,1h,2026-08-14T16:00:00+00:00,5,7.454929,0.826105
ARBUSDT,1h,2026-08-14T17:00:00+00:00,5,7.327793,0.500437
ARBUSDT,1h,2026-08-14T18:00:00+00:00,5,7.984676,0.682353
ARBUSDT,1h,2026-08-14T19:00:00+00:00,5,8.224275,0.987126
ARBUSDT,1h,2026-08-14T20:00:00+00:00,6,8.545778,0.403894
ARBUSDT,1h,2026-08-14T21:00:00+00:00,6,9.724696,0.554792
ARBUSDT,1h,2026-08-14T22:00:00+00:00,6,10.161890,0.354436
ARBUSDT,1h,2026-08-14T23:00:00+00:00,6,9.002157,0.044381
ARBUSDT,1h,2026-08-15T00:00:00+00:00,4,,0.213496
ARBUSDT,1h,2026-08-15T01:00:00+00:00,5,2.813349,0.458250
ARBUSDT,1h,2026-08-15T02:00:00+00:00,5,2.860653,0.206660
ARBUSDT,1h,2026-08-15T03:00:00+00:00,5,3.699898,0.362752
ARBUSDT,1h,2026-08-15T04:00:00+00:00,5,4.039568,0.364449
ARBUSDT,1h,2026-08-15T05:00:00+00:00,5,4.188822,0.318104
ARBUSDT,1h,2026-08-15T06:00:00+00:00,5,4.481436,0.367834
ARBUSDT,1h,2026-08-15T07:00:00+00:00,5,3.118528,0.323683
ARBUSDT,1h,2026-08-15T08:00:00+00:00,5,2.932985,0.700350
ARBUSDT,1h,2026-08-15T09:00:00+00:00,5,2.932178,0.801065
ARBUSDT,1h,2026-08-15T10:00:00+00:00,4,3.413705,0.782360
ARBUSDT,1h,2026-08-15T11:00:00+00:00,4,3.347412,0.920933
ARBUSDT,1h,2026-08-15T12:00:00+00:00,4,3.333329,1.004401
ARBUSDT,1h,2026-08-15T13:00:00+00:00,3,3.411265,0.883566
ARBUSDT,1h,2026-08-15T14:00:00+00:00,3,3.665410,1.218241
ARBUSDT,1h,2026-08-15T15:00:00+00:00,3,3.438973,1.213665
ARBUSDT,1h,2026-08-15T16:00:00+00:00,3,4.124360,0.968635
ARBUSDT,1h,2026-08-15T17:00:00+00:00,3,3.783693,1.158444
ARBUSDT,1h,2026-08-15T18:00:00+00:00,3,4.189421,1.413982
ARBUSDT,1h,2026-08-15T19:00:00+00:00,3,4.442332,1.700946
ARBUSDT,1h,2026-08-15T20:00:00+00:00,3,3.621722,1.713757
ARBUSDT,1h,2026-08-15T21:00:00+00:00,2,3.946812,2.056224
ARBUSDT,1h,2026-08-15T22:00:00+00:00,2,3.578354,2.078250
ARBUSDT,1h,2026-08-15T23:00:00+00:00,2,2.106292,2.472808
ARBUSDT,1h,2026-08-16T00:00:00+00:00,2,1.785461,3.229832
ARBUSDT,1h,2026-08-16T01:00:00+00:00,2,1.262622,3.485651
ARBUSDT,1h,2026-08-16T02:00:00+00:00,2,1.671009,2.962759
ARBUSDT,1h,2026-08-16T03:00:00+00:00,2,2.746991,2.558041
ARBUSDT,1h,2026-08-16T04:00:00+00:00,4,1.268483,2.707677
ARBUSDT,1h,2026-08-16T05:00:00+00:00,4,1.243286,2.805828
ARBUSDT,1h,2026-08-16T06:00:00+00:00,4,1.075879,2.426479
ARBUSDT,1h,2026-08-16T07:00:00+00:00,4,2.004062,1.537101
ARBUSDT,1h,2026-08-16T08:00:00+00:00,3,3.171621,0.627941
ARBUSDT,1h,2026-08-16T09:00:00+00:00,3,3.926393,0.478581
ARBUSDT,1h,2026-08-16T10:00:00+00:00,3,3.019788,0.563694
ARBUSDT,1h,2026-08-16T11:00:00+00:00,3,2.893296,0.543738
ARBUSDT,1h,2026-08-16T12:00:00+00:00,3,3.359819,0.067709
ARBUSDT,1h,2026-08-16T13:00:00+00:00,3,4.431292,0.519642
ARBUSDT,1h,2026-08-16T14:00:00+00:00,4,0.902121,0.555579
ARBUSDT,1h,2026-08-16T15:00:00+00:00,4,1.096551,1.805859
ARBUSDT,1h,2026-08-16T16:00:00+00:00,3,1.478249,
ARBUSDT,1h,2026-08-16T17:00:00+00:00,4,0.848360,2.174369
ARBUSDT,1h,2026-08-16T18:00:00+00:00,3,0.381466,
ARBUSDT,1h,2026-08-16T19:00:00+00:00,2,0.229041,1.000978
ARBUSDT,1h,2026-08-16T20:00:00+00:00,2,0.851481,1.260582
ARBUSDT,1h,2026-08-16T21:00:00+00:00,2,3.031696,1.918661
ARBUSDT,1h,2026-08-16T22:00:00+00:00,2,3.055278,2.763207
ARBUSDT,1h,2026-08-16T23:00:00+00:00,2,2.187488,2.182737
ARBUSDT,1h,2026-08-17T00:00:00+00:00,2,2.390967,1.767080
ARBUSDT,1h,2026-08-17T01:00:00+00:00,2,1.721367,0.042273
ARBUSDT,1h,2026-08-17T02:00:00+00:00,2,1.473493,0.115893
ARBUSDT,1h,2026-08-17T03:00:00+00:00,2,1.005463,0.058457
