symbol,tf,ts,dia,hora,nome,direcao,barras,entrada,stop,stop_atr,risco_frac,atr_pct,r1,r4,r16
ARBUSDT,15m,2026-08-08T10:00:00+00:00,2026-08-08,10,a_doji_baixa,short,1,0.0789000000,0.0789900000,0.465557,0.0011406844,0.0024199867,0.62847971,3.09002526,4.55647792
ARBUSDT,15m,2026-08-08T11:00:00+00:00,2026-08-08,11,a_doji_baixa,short,1,0.0794900000,0.0798600000,1.618083,0.0046546735,0.0031114904,0.24258855,0.32345140,1.73855126
ARBUSDT,15m,2026-08-08T11:00:00+00:00,2026-08-08,11,a_harami_baixa,short,2,0.0794900000,0.0796900000,0.958943,0.0025160398,0.0031114904,0.24258855,0.32345140,1.73855126
ARBUSDT,15m,2026-08-08T11:45:00+00:00,2026-08-08,11,a_estrela_cadente,short,1,0.0796000000,0.0798000000,0.783700,0.0025125628,0.0031744419,-0.11872463,0.35617388,0.47489850
ARBUSDT,15m,2026-08-08T13:00:00+00:00,2026-08-08,13,a_doji_baixa,short,1,0.0796600000,0.0798900000,0.861869,0.0028872709,0.0033797270,-0.14857238,0.40857404,0.26000166
ARBUSDT,15m,2026-08-08T13:45:00+00:00,2026-08-08,13,a_doji_baixa,short,1,0.0796500000,0.0797700000,0.460637,0.0015065913,0.0031895017,0.47235947,0.19681644,-1.02344551
ARBUSDT,15m,2026-08-08T14:30:00+00:00,2026-08-08,14,a_engolfo_baixa,short,2,0.0795700000,0.0800300000,1.748779,0.0057810733,0.0035678940,0.45791203,0.21134401,-1.23284008
ARBUSDT,15m,2026-08-08T20:00:00+00:00,2026-08-08,20,a_martelo,long,1,0.0788200000,0.0785500000,1.322038,0.0034255265,0.0026597607,0.33390202,0.04770029,-2.90971759
ARBUSDT,15m,2026-08-09T00:00:00+00:00,2026-08-09,0,a_doji_alta,long,1,0.0782100000,0.0780100000,0.925887,0.0025572177,0.0027929548,-0.27467874,0.09155958,-0.27467874
ARBUSDT,15m,2026-08-09T01:00:00+00:00,2026-08-09,1,a_doji_alta,long,1,0.0782300000,0.0781300000,0.487696,0.0012782820,0.0026621111,-1.10440490,-0.14405281,-0.81629928
ARBUSDT,15m,2026-08-09T01:30:00+00:00,2026-08-09,1,a_doji_alta,long,1,0.0779700000,0.0778400000,0.615418,0.0016673079,0.0027905438,0.68940572,1.05708877,-1.97629640
ARBUSDT,15m,2026-08-09T01:45:00+00:00,2026-08-09,1,a_engolfo_alta,long,2,0.0781200000,0.0778400000,1.325515,0.0035842294,0.0028879774,0.35459611,-0.17729805,-1.90595409
ARBUSDT,15m,2026-08-09T01:45:00+00:00,2026-08-09,1,a_estrela_manha,long,3,0.0781200000,0.0778400000,1.344493,0.0035842294,0.0028879774,0.35459611,-0.17729805,-1.90595409
ARBUSDT,15m,2026-08-09T05:15:00+00:00,2026-08-09,5,a_marubozu_baixa,short,1,0.0778300000,0.0780600000,1.057775,0.0029551587,0.0028144565,-1.32390377,0.13695556,-3.01302238
ARBUSDT,15m,2026-08-09T05:45:00+00:00,2026-08-09,5,a_harami_alta,long,2,0.0776900000,0.0774300000,1.186948,0.0033466341,0.0029545280,-0.17426363,1.35054315,-1.39410905
ARBUSDT,15m,2026-08-09T07:45:00+00:00,2026-08-09,7,a_doji_alta,long,1,0.0777300000,0.0775900000,0.632277,0.0018011064,0.0028013484,0.13777343,-2.47992165,-1.01033845
ARBUSDT,15m,2026-08-09T09:45:00+00:00,2026-08-09,9,a_engolfo_alta,long,2,0.0773700000,0.0771300000,0.877190,0.0031019775,0.0034098365,-0.07580954,0.68228584,1.21295260
ARBUSDT,15m,2026-08-09T11:00:00+00:00,2026-08-09,11,a_engolfo_baixa,short,2,0.0774000000,0.0775700000,0.713021,0.0021963824,0.0030324413,0.21302798,0.68168952,3.49365879
ARBUSDT,15m,2026-08-09T13:45:00+00:00,2026-08-09,13,a_engolfo_baixa,short,2,0.0776900000,0.0779200000,1.234218,0.0029604840,0.0024767209,0.20788244,1.92291257,5.35297284
ARBUSDT,15m,2026-08-09T14:00:00+00:00,2026-08-09,14,a_enforcado,short,1,0.0777300000,0.0777400000,0.051971,0.0001286505,0.0024916044,0.36143506,2.53004542,3.71761776
ARBUSDT,15m,2026-08-09T14:45:00+00:00,2026-08-09,14,a_doji_baixa,short,1,0.0780600000,0.0781300000,0.355250,0.0008967461,0.0024903672,0.82305346,2.93212795,2.31483786
ARBUSDT,15m,2026-08-09T15:30:00+00:00,2026-08-09,15,a_estrela_cadente,short,1,0.0783400000,0.0785200000,0.905468,0.0022976768,0.0025933647,1.42741688,0.39377017,1.32897434
ARBUSDT,15m,2026-08-09T15:45:00+00:00,2026-08-09,15,a_marubozu_alta,long,1,0.0786300000,0.0783500000,1.378196,0.0035609818,0.0026626828,-1.00302459,-0.14328923,0.90749844
ARBUSDT,15m,2026-08-09T17:15:00+00:00,2026-08-09,17,a_doji_baixa,short,1,0.0785000000,0.0785100000,0.041154,0.0001273885,0.0030289843,0.00000000,0.12616956,4.03742586
