symbol,tf,ts,dia,hora,nome,direcao,barras,entrada,stop,stop_atr,risco_frac,atr_pct,r1,r4,r16
ARBUSDT,15m,2026-08-08T10:00:00+00:00,2026-08-08,10,doji,neutro,1,0.0789000000,0.0789900000,0.465557,0.0011406844,0.0024199867,0.62847971,3.09002526,4.55647792
ARBUSDT,15m,2026-08-08T11:00:00+00:00,2026-08-08,11,doji,neutro,1,0.0794900000,0.0798600000,1.618083,0.0046546735,0.0031114904,0.24258855,0.32345140,1.73855126
ARBUSDT,15m,2026-08-08T11:00:00+00:00,2026-08-08,11,harami_baixa,short,2,0.0794900000,0.0798600000,1.774044,0.0046546735,0.0031114904,0.24258855,0.32345140,1.73855126
ARBUSDT,15m,2026-08-08T11:45:00+00:00,2026-08-08,11,estrela_cadente,short,1,0.0796000000,0.0798000000,0.783700,0.0025125628,0.0031744419,-0.11872463,0.35617388,0.47489850
ARBUSDT,15m,2026-08-08T13:00:00+00:00,2026-08-08,13,doji,neutro,1,0.0796600000,0.0798900000,0.861869,0.0028872709,0.0033797270,-0.14857238,0.40857404,0.26000166
ARBUSDT,15m,2026-08-08T13:00:00+00:00,2026-08-08,13,harami_baixa,short,2,0.0796600000,0.0798900000,0.921114,0.0028872709,0.0033797270,-0.14857238,0.40857404,0.26000166
ARBUSDT,15m,2026-08-08T13:45:00+00:00,2026-08-08,13,doji,neutro,1,0.0796500000,0.0797700000,0.460637,0.0015065913,0.0031895017,0.47235947,0.19681644,-1.02344551
ARBUSDT,15m,2026-08-08T18:15:00+00:00,2026-08-08,18,martelo,long,1,0.0791800000,0.0790700000,0.464379,0.0013892397,0.0029132366,0.17340784,-1.25720687,-2.47106178
ARBUSDT,15m,2026-08-08T18:30:00+00:00,2026-08-08,18,martelo,long,1,0.0792200000,0.0790900000,0.563575,0.0016409997,0.0028300131,-0.84748167,-1.60575475,-3.25611379
ARBUSDT,15m,2026-08-08T18:45:00+00:00,2026-08-08,18,marubozu_baixa,short,1,0.0790300000,0.0792200000,0.847482,0.0024041503,0.0028149503,-0.13485236,-1.25862200,-3.46121050
ARBUSDT,15m,2026-08-08T20:00:00+00:00,2026-08-08,20,martelo,long,1,0.0788200000,0.0785500000,1.322038,0.0034255265,0.0026597607,0.33390202,0.04770029,-2.90971759
ARBUSDT,15m,2026-08-08T22:00:00+00:00,2026-08-08,22,martelo,long,1,0.0785900000,0.0784400000,0.838595,0.0019086398,0.0023406438,0.10872449,-3.58790814,-2.12012754
ARBUSDT,15m,2026-08-09T00:00:00+00:00,2026-08-09,0,doji,neutro,1,0.0782100000,0.0780100000,0.925887,0.0025572177,0.0027929548,-0.27467874,0.09155958,-0.27467874
ARBUSDT,15m,2026-08-09T01:00:00+00:00,2026-08-09,1,doji,neutro,1,0.0782300000,0.0783800000,0.731543,0.0019174230,0.0026621111,-1.10440490,-0.14405281,-0.81629928
ARBUSDT,15m,2026-08-09T01:30:00+00:00,2026-08-09,1,doji,neutro,1,0.0779700000,0.0781400000,0.804777,0.0021803258,0.0027905438,0.68940572,1.05708877,-1.97629640
ARBUSDT,15m,2026-08-09T01:45:00+00:00,2026-08-09,1,engolfo_alta,long,2,0.0781200000,0.0778400000,1.325515,0.0035842294,0.0028879774,0.35459611,-0.17729805,-1.90595409
ARBUSDT,15m,2026-08-09T01:45:00+00:00,2026-08-09,1,estrela_manha,long,3,0.0781200000,0.0778400000,1.344493,0.0035842294,0.0028879774,0.35459611,-0.17729805,-1.90595409
ARBUSDT,15m,2026-08-09T05:15:00+00:00,2026-08-09,5,marubozu_baixa,short,1,0.0778300000,0.0780700000,1.103765,0.0030836438,0.0028144565,-1.32390377,0.13695556,-3.01302238
ARBUSDT,15m,2026-08-09T05:45:00+00:00,2026-08-09,5,harami_alta,long,2,0.0776900000,0.0774300000,1.186948,0.0033466341,0.0029545280,-0.17426363,1.35054315,-1.39410905
ARBUSDT,15m,2026-08-09T06:15:00+00:00,2026-08-09,6,marubozu_alta,long,1,0.0778600000,0.0776500000,0.932154,0.0026971487,0.0028886096,0.71140470,0.04446279,-2.00082572
ARBUSDT,15m,2026-08-09T07:15:00+00:00,2026-08-09,7,martelo,long,1,0.0778700000,0.0776600000,0.940415,0.0026968024,0.0028646415,-0.58277767,-1.12072629,-1.88282017
ARBUSDT,15m,2026-08-09T07:45:00+00:00,2026-08-09,7,doji,neutro,1,0.0777300000,0.0775900000,0.632277,0.0018011064,0.0028013484,0.13777343,-2.47992165,-1.01033845
ARBUSDT,15m,2026-08-09T07:45:00+00:00,2026-08-09,7,martelo,long,1,0.0777300000,0.0775900000,0.632277,0.0018011064,0.0028013484,0.13777343,-2.47992165,-1.01033845
ARBUSDT,15m,2026-08-09T09:45:00+00:00,2026-08-09,9,engolfo_alta,long,2,0.0773700000,0.0771300000,0.877190,0.0031019775,0.0034098365,-0.07580954,0.68228584,1.21295260
