rotulos medidos: 84 (14 x 2 tf x 3 horizontes) | raros (n < 30 ou dias < 10): 12 | familia de Holm: 72
padrao             tf   h      n  dias     bruto     delta  IC95 baixo  IC95 alto        p     Holm   Holm/h
engolfo_alta      15m   1    666    31   -0.0479   -0.0472     -0.1278     0.0312   0.2460    1.000    1.000
engolfo_alta      15m   4    666    31   -0.1164   -0.1148     -0.2370     0.0152   0.0836    1.000    1.000
engolfo_alta      15m  16    666    31   -0.2296   -0.2264     -0.6111     0.1296   0.2326    1.000    1.000
engolfo_baixa     15m   1    740    31   -0.0011   -0.0011     -0.0644     0.0642   0.9628    1.000    1.000
engolfo_baixa     15m   4    740    31    0.0021    0.0021     -0.1350     0.1390   0.9724    1.000    1.000
engolfo_baixa     15m  16    740    31    0.0348    0.0342     -0.2097     0.2981   0.7782    1.000    1.000
martelo           15m   1    689    31   -0.0086   -0.0085     -0.0820     0.0654   0.8520    1.000    1.000
martelo           15m   4    689    31   -0.0164   -0.0161     -0.1673     0.1241   0.8428    1.000    1.000
martelo           15m  16    689    31   -0.0706   -0.0696     -0.4452     0.2611   0.7586    1.000    1.000
enforcado         15m   1    549    31   -0.0123   -0.0122     -0.0649     0.0380   0.6792    1.000    1.000
enforcado         15m   4    549    31   -0.1611   -0.1592     -0.3138    -0.0212   0.0202    1.000    0.485
enforcado         15m  16    549    31   -0.3163   -0.3126     -0.7432     0.1302   0.1746    1.000    1.000
estrela_cadente   15m   1    655    31    0.0047    0.0047     -0.0500     0.0553   0.8170    1.000    1.000
estrela_cadente   15m   4    655    31    0.0615    0.0606     -0.0904     0.2106   0.4092    1.000    1.000
estrela_cadente   15m  16    655    31   -0.1178   -0.1162     -0.5560     0.3262   0.6594    1.000    1.000
doji              15m   1   4220    31   -0.0267   -0.0243     -0.0472    -0.0017   0.0362    1.000    0.833
doji              15m   4   4220    31   -0.0528   -0.0480     -0.1016     0.0062   0.0848    1.000    1.000
doji              15m  16   4220    31   -0.0480   -0.0436     -0.1547     0.0679   0.4392    1.000    1.000
marubozu_alta     15m   1    683    31   -0.0456   -0.0449     -0.1281     0.0386   0.2870    1.000    1.000
marubozu_alta     15m   4    683    31    0.0498    0.0490     -0.0839     0.1785   0.4826    1.000    1.000
marubozu_alta     15m  16    683    31   -0.0374   -0.0369     -0.4660     0.4980   0.7986    1.000    1.000
marubozu_baixa    15m   1    531    31   -0.0094   -0.0093     -0.0811     0.0685   0.8026    1.000    1.000
marubozu_baixa    15m   4    531    31   -0.1275   -0.1261     -0.2569     0.0223   0.0924    1.000    1.000
marubozu_baixa    15m  16    531    31   -0.1357   -0.1342     -0.4571     0.2020   0.4294    1.000    1.000
harami_alta       15m   1    219    31    0.0329    0.0328     -0.0568     0.1399   0.4810    1.000    1.000
harami_alta       15m   4    219    31    0.0055    0.0055     -0.1498     0.1645   0.9074    1.000    1.000
harami_alta       15m  16    219    31   -0.3238   -0.3223     -0.8773     0.1901   0.2480    1.000    1.000
harami_baixa      15m   1    374    31    0.0694    0.0689     -0.0293     0.1628   0.1554    1.000    1.000
harami_baixa      15m   4    374    31   -0.1050   -0.1042     -0.4505     0.1798   0.5798    1.000    1.000
harami_baixa      15m  16    374    31   -0.1580   -0.1567     -0.7681     0.4384   0.6710    1.000    1.000
estrela_manha     15m   1     53    31   -0.0304   -0.0303     -0.1963     0.1525   0.7460    1.000    1.000
estrela_manha     15m   4     53    31    0.1760    0.1758     -0.1240     0.5094   0.2676    1.000    1.000
estrela_manha     15m  16     53    31    0.5672    0.5666     -0.1351     1.2566   0.1106    1.000    1.000
estrela_noite     15m   1     77    31   -0.1114   -0.1112     -0.3029     0.0664   0.2260    1.000    1.000
estrela_noite     15m   4     77    31   -0.2167   -0.2164     -0.7647     0.1531   0.3442    1.000    1.000
estrela_noite     15m  16     77    31   -0.3399   -0.3393     -1.4465     0.5528   0.5082    1.000    1.000
tres_soldados     15m   1     91    31    0.0751    0.0749     -0.2408     0.3563   0.6788    1.000    1.000
tres_soldados     15m   4     91    31    0.1847    0.1844     -0.2173     0.4857   0.3356    1.000    1.000
tres_soldados     15m  16     91    31    0.3091    0.3085     -0.4276     0.8116   0.3744    1.000    1.000
tres_corvos       15m   1     59    31    0.0907    0.0906     -0.2391     0.3339   0.6570    1.000    1.000
tres_corvos       15m   4     59    31    0.3094    0.3090     -0.0117     0.6578   0.0572    1.000    1.000
tres_corvos       15m  16     59    31    0.2660    0.2657     -0.5892     1.1659   0.5254    1.000    1.000
engolfo_alta       1h   1    135    31    0.0795    0.0786     -0.0413     0.2047   0.1862    1.000    1.000
