corridas 32 | barras usaveis 58224 | ocorrencias 10867
sinais declarados: 14 padroes
rotulos medidos: 108 (18 x 2 tf x 3 horizontes) | raros (n < 30 ou dias < 10): 36 | familia de Holm: 72
padrao             tf   h      n  dias     bruto     delta  IC95 baixo  IC95 alto        p     Holm   Holm/h
a_martelo         15m   1    502    31   -0.0451   -0.0446     -0.1561     0.0578   0.4356    1.000    1.000
a_martelo         15m   4    502    31   -0.0004   -0.0003     -0.1905     0.1934   0.9960    1.000    1.000
a_martelo         15m  16    502    31   -0.0468   -0.0463     -0.4827     0.4015   0.8536    1.000    1.000
a_enforcado       15m   1    303    31    0.0119    0.0118     -0.0738     0.0966   0.7766    1.000    1.000
a_enforcado       15m   4    303    31    0.0237    0.0236     -0.2082     0.2681   0.8574    1.000    1.000
a_enforcado       15m  16    303    31    0.1587    0.1577     -0.3385     0.6936   0.5232    1.000    1.000
a_estrela_cadente  15m   1    424    31   -0.0524   -0.0519     -0.1170     0.0091   0.0998    1.000    1.000
a_estrela_cadente  15m   4    424    31    0.0171    0.0170     -0.1315     0.1596   0.7562    1.000    1.000
a_estrela_cadente  15m  16    424    31   -0.6004   -0.5950     -1.0523    -0.0692   0.0274    1.000    0.630
a_martelo_invertido  15m   1    248    31    0.0553    0.0550     -0.0809     0.2213   0.5280    1.000    1.000
a_martelo_invertido  15m   4    248    31   -0.1327   -0.1320     -0.3579     0.0995   0.2830    1.000    1.000
a_martelo_invertido  15m  16    248    31   -0.6070   -0.6038     -1.1181    -0.0938   0.0174    1.000    0.418
a_doji_alta       15m   1   1685    31    0.0089    0.0085     -0.0311     0.0490   0.6670    1.000    1.000
a_doji_alta       15m   4   1685    31   -0.0185   -0.0179     -0.1188     0.0841   0.7606    1.000    1.000
a_doji_alta       15m  16   1685    31   -0.0553   -0.0533     -0.3712     0.2229   0.7942    1.000    1.000
a_doji_baixa      15m   1   1931    31    0.0550    0.0527      0.0232     0.0843   0.0006    0.043    0.014
a_doji_baixa      15m   4   1931    31    0.0400    0.0383     -0.0522     0.1402   0.4090    1.000    1.000
a_doji_baixa      15m  16   1931    31   -0.1456   -0.1396     -0.4591     0.1849   0.4494    1.000    1.000
a_marubozu_alta   15m   1    758    31   -0.0575   -0.0566     -0.1373     0.0292   0.1806    1.000    1.000
a_marubozu_alta   15m   4    758    31    0.0103    0.0102     -0.1872     0.1957   0.9278    1.000    1.000
a_marubozu_alta   15m  16    758    31    0.0669    0.0658     -0.4666     0.7249   0.9204    1.000    1.000
a_marubozu_baixa  15m   1    514    31   -0.0140   -0.0139     -0.1102     0.1014   0.7564    1.000    1.000
a_marubozu_baixa  15m   4    514    31   -0.0371   -0.0367     -0.2078     0.1554   0.6554    1.000    1.000
a_marubozu_baixa  15m  16    514    31   -0.1191   -0.1178     -0.4549     0.2338   0.4900    1.000    1.000
a_engolfo_alta    15m   1   1013    31   -0.0261   -0.0256     -0.0855     0.0315   0.3980    1.000    1.000
a_engolfo_alta    15m   4   1013    31   -0.0657   -0.0643     -0.1737     0.0482   0.2702    1.000    1.000
a_engolfo_alta    15m  16   1013    31   -0.1189   -0.1163     -0.4532     0.1888   0.4912    1.000    1.000
a_engolfo_baixa   15m   1   1110    31   -0.0015   -0.0014     -0.0652     0.0630   0.9460    1.000    1.000
a_engolfo_baixa   15m   4   1110    31    0.0003    0.0003     -0.0975     0.0951   0.9842    1.000    1.000
a_engolfo_baixa   15m  16   1110    31    0.0618    0.0604     -0.1926     0.3068   0.6022    1.000    1.000
a_harami_alta     15m   1    100    31    0.1212    0.1209     -0.0568     0.3146   0.1854    1.000    1.000
a_harami_alta     15m   4    100    31    0.1059    0.1057     -0.1453     0.3298   0.3644    1.000    1.000
a_harami_alta     15m  16    100    31    0.2746    0.2740     -0.3610     0.8877   0.3894    1.000    1.000
a_harami_baixa    15m   1    140    31    0.1362    0.1358     -0.0379     0.3153   0.1344    1.000    1.000
a_harami_baixa    15m   4    140    31    0.0119    0.0118     -0.3062     0.3084   0.9430    1.000    1.000
a_harami_baixa    15m  16    140    31   -0.4130   -0.4118     -1.3765     0.5019   0.3874    1.000    1.000
a_estrela_manha   15m   1     15    31   -0.0591   -0.0591     -0.3213     0.1753   0.6198     raro     raro
