custo assumido 20 bps ida-e-volta | saida por horizonte 4 barras | sem caminho intrabarra
padrao             tf     n  deg  stop ATR   risco%  custo_R  R bruto   R liq.  IC baixo  IC alto  acerto%
a_martelo         15m   502    0      1.01    0.534    0.375    0.065   -0.504    -0.795   -0.243     54.6
a_enforcado       15m   270   33      0.19    0.093    2.162    2.849   -7.463   -18.542    0.854     48.9
a_estrela_cadente  15m   424    0      0.95    0.483    0.414   -0.062   -0.643    -0.856   -0.424     51.9
a_martelo_invertido  15m   229   19      0.20    0.070    2.861   -0.985  -10.878   -15.996   -5.967     44.5
a_doji_alta       15m  1673   12      0.41    0.200    0.999    0.335   -1.980    -2.901   -1.107     55.5
a_doji_baixa      15m  1919   12      0.42    0.213    0.941   -0.466   -2.251    -2.997   -1.501     53.2
a_marubozu_alta   15m   758    0      1.50    0.777    0.257    0.086   -0.306    -0.504   -0.116     45.0
a_marubozu_baixa  15m   514    0      1.34    0.587    0.341   -0.092   -0.579    -0.770   -0.374     44.0
a_engolfo_alta    15m  1013    0      1.19    0.568    0.352    0.056   -0.425    -0.536   -0.308     48.7
a_engolfo_baixa   15m  1110    0      1.19    0.556    0.360   -0.089   -0.582    -0.700   -0.461     45.4
a_harami_alta     15m   100    0      0.68    0.353    0.567    0.338   -0.752    -1.558   -0.123     63.0
a_harami_baixa    15m   140    0      0.72    0.387    0.516    1.218    0.203    -1.092    1.464     52.1
a_estrela_manha   15m    15    0      1.74    0.651    0.307    0.199   -0.165    -0.734    0.495     33.3
a_estrela_noite   15m    19    0      2.06    1.181    0.169   -0.296   -0.567    -1.261   -0.126     47.4
a_tres_soldados   15m    21    0      2.83    1.249    0.160    0.091   -0.138    -0.337    0.105     52.4
a_tres_corvos     15m    22    0      3.82    2.505    0.080    0.058   -0.055    -0.440    0.055     54.5
a_tres_dentro_alta  15m    11    0      2.07    0.605    0.331   -0.119   -0.421    -0.817    0.046     27.3
a_tres_dentro_baixa  15m     8    0      2.47    1.051    0.191   -0.303   -0.443    -0.780   -0.198     12.5
a_martelo          1h    68    0      0.93    1.061    0.189   -0.048   -0.299    -0.772    0.262     52.9
a_enforcado        1h    77    2      0.17    0.210    0.954   -1.760   -4.180   -10.971    2.445     46.8
a_estrela_cadente   1h   104    0      0.92    1.227    0.163    0.032   -0.181    -0.585    0.235     49.0
a_martelo_invertido   1h    47    0      0.23    0.121    1.657  -10.255  -39.129  -132.757    3.036     48.9
a_doji_alta        1h   366    0      0.39    0.396    0.505    0.660   -0.585    -1.569    0.343     53.8
a_doji_baixa       1h   542    0      0.42    0.461    0.434   -0.935   -1.792    -3.768   -0.121     50.4
a_marubozu_alta    1h   144    0      1.83    2.379    0.084    0.275    0.152    -0.147    0.422     52.1
a_marubozu_baixa   1h    90    0      1.30    1.294    0.155   -0.142   -0.319    -0.541   -0.061     30.0
a_engolfo_alta     1h   224    0      1.09    1.052    0.190    0.117   -0.137    -0.298    0.030     53.6
a_engolfo_baixa    1h   295    0      1.25    1.412    0.142   -0.061   -0.255    -0.566    0.072     48.1
a_harami_alta      1h    31    0      0.64    0.777    0.258    0.517    0.118    -0.403    0.583     67.7
a_harami_baixa     1h    39    0      0.84    0.855    0.234   -0.721   -1.050    -2.270    0.453     53.8
a_estrela_manha    1h     1    0      2.82    2.403    0.083    0.425    0.341     0.341    0.341    100.0
a_estrela_noite    1h     7    0      1.95    1.727    0.116    0.189    0.069    -0.611    0.952     42.9
a_tres_soldados    1h     3    0      2.76    5.948    0.034    0.128    0.073    -0.605    0.771     66.7
a_tres_corvos      1h     0    -         -        -        -        -        -         -        -        -
a_tres_dentro_alta   1h     1    0      2.12    1.642    0.122    0.006   -0.115    -0.115   -0.115    100.0
a_tres_dentro_baixa   1h     2    0      4.43    5.281    0.092   -0.277   -0.369    -0.483   -0.255      0.0
