custo assumido 20 bps ida-e-volta | saida por horizonte 4 barras | sem caminho intrabarra
padrao             tf     n  deg  stop ATR   risco%  custo_R  R bruto   R liq.  IC baixo  IC alto  acerto%
engolfo_alta      15m   666    0      1.25    0.598    0.335   -0.007   -0.473    -0.587   -0.350     46.2
engolfo_baixa     15m   740    0      1.21    0.581    0.344   -0.083   -0.579    -0.746   -0.417     47.7
martelo           15m   689    0      0.81    0.437    0.457    0.135   -0.526    -0.785   -0.279     53.7
enforcado         15m   511   38      0.13    0.072    2.779    2.162   -8.811   -18.340    3.612     44.6
estrela_cadente   15m   655    0      0.82    0.424    0.471    0.015   -0.665    -0.900   -0.426     50.8
doji              15m  4220    0      0.56    0.300    0.667    0.057   -0.853    -1.126   -0.582     50.3
marubozu_alta     15m   683    0      1.34    0.636    0.314    0.096   -0.423    -0.635   -0.229     46.7
marubozu_baixa    15m   531    0      1.16    0.465    0.430   -0.196   -0.803    -1.004   -0.586     43.1
harami_alta       15m   219    0      0.73    0.339    0.590    0.291   -0.767    -1.298   -0.312     56.6
harami_baixa      15m   374    0      0.80    0.425    0.470   -0.290   -0.967    -1.547   -0.492     51.6
estrela_manha     15m    53    0      1.35    0.697    0.287    0.269   -0.101    -0.334    0.122     52.8
estrela_noite     15m    77    0      1.55    0.802    0.249   -0.197   -0.551    -1.003   -0.240     48.1
tres_soldados     15m    91    0      2.78    1.277    0.157    0.101   -0.233    -0.554    0.038     53.8
tres_corvos       15m    59    0      2.43    1.460    0.137    0.152   -0.123    -0.343    0.060     50.8
engolfo_alta       1h   135    0      1.09    1.142    0.175    0.282    0.049    -0.133    0.251     58.5
engolfo_baixa      1h   214    0      1.24    1.490    0.134   -0.131   -0.309    -0.684    0.142     44.9
martelo            1h   132    0      0.74    0.775    0.258    0.209   -0.134    -0.662    0.564     52.3
enforcado          1h   149    3      0.15    0.183    1.095   -2.980   -5.261   -12.999    2.119     48.3
estrela_cadente    1h   166    0      0.82    1.001    0.200    0.012   -0.246    -0.718    0.272     50.0
doji               1h  1048    0      0.55    0.633    0.316    0.405   -0.021    -0.473    0.466     51.0
marubozu_alta      1h   101    0      1.81    1.842    0.109    0.110   -0.035    -0.387    0.237     51.5
marubozu_baixa     1h    87    0      1.16    1.070    0.187    0.060   -0.167    -0.432    0.098     37.9
harami_alta        1h    49    0      0.70    0.889    0.225    0.417    0.074    -0.357    0.459     71.4
harami_baixa       1h    84    0      0.96    1.164    0.172   -0.744   -1.051    -2.124   -0.013     44.0
estrela_manha      1h     9    0      1.00    1.009    0.198    0.130   -0.168    -0.890    0.257     77.8
estrela_noite      1h    22    0      1.68    2.361    0.085    0.090   -0.032    -0.440    0.369     50.0
tres_soldados      1h    11    0      4.75    5.948    0.034    0.074    0.026    -0.361    0.302     45.5
tres_corvos        1h     0    -         -        -        -        -        -         -        -        -
