coorte,risco_pct,agregado_pct,vagas,candidatas,aprovadas,fechadas,ops_dia,r_total,r_dia_medio,r_p10,r_p50,r_p90,pior_dia,usdt_por_r_p50,pnl_usdt,dd_usdt,dd_pct,latch,recusas,limitantes
prospectiva,0.0025,0.01,5,91,27,27,13.5,4.8316872038,2.4158436019,1.1193589111,1.1193589111,3.7123282927,1.1193589111,6.666825603341600000000000000,41.44786620800226121708113000,27.65132245571878073865500,0.001429778251303182041400842851,None,liquidity_24h=55;stop_distance=5;concurrent_positions=4,market_participation=24;asset_exposure=3
prospectiva,0.0025,0.01,10,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.0025,0.01,20,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.0025,0.02,5,91,27,27,13.5,4.8316872038,2.4158436019,1.1193589111,1.1193589111,3.7123282927,1.1193589111,6.666825603341600000000000000,41.44786620800226121708113000,27.65132245571878073865500,0.001429778251303182041400842851,None,liquidity_24h=55;stop_distance=5;concurrent_positions=4,market_participation=24;asset_exposure=3
prospectiva,0.0025,0.02,10,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.0025,0.02,20,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.0025,0.04,5,91,27,27,13.5,4.8316872038,2.4158436019,1.1193589111,1.1193589111,3.7123282927,1.1193589111,6.666825603341600000000000000,41.44786620800226121708113000,27.65132245571878073865500,0.001429778251303182041400842851,None,liquidity_24h=55;stop_distance=5;concurrent_positions=4,market_participation=24;asset_exposure=3
prospectiva,0.0025,0.04,10,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.0025,0.04,20,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.005,0.01,5,91,27,27,13.5,4.8316872038,2.4158436019,1.1193589111,1.1193589111,3.7123282927,1.1193589111,6.666825603341600000000000000,41.44786620800226121708113000,27.65132245571878073865500,0.001429778251303182041400842851,None,liquidity_24h=55;stop_distance=5;concurrent_positions=4,market_participation=24;asset_exposure=3
prospectiva,0.005,0.01,10,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.005,0.01,20,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.005,0.02,5,91,27,27,13.5,4.8316872038,2.4158436019,1.1193589111,1.1193589111,3.7123282927,1.1193589111,6.666825603341600000000000000,41.44786620800226121708113000,27.65132245571878073865500,0.001429778251303182041400842851,None,liquidity_24h=55;stop_distance=5;concurrent_positions=4,market_participation=24;asset_exposure=3
prospectiva,0.005,0.02,10,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.005,0.02,20,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.005,0.04,5,91,27,27,13.5,4.8316872038,2.4158436019,1.1193589111,1.1193589111,3.7123282927,1.1193589111,6.666825603341600000000000000,41.44786620800226121708113000,27.65132245571878073865500,0.001429778251303182041400842851,None,liquidity_24h=55;stop_distance=5;concurrent_positions=4,market_participation=24;asset_exposure=3
prospectiva,0.005,0.04,10,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.005,0.04,20,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.01,0.01,5,91,27,27,13.5,4.8316872038,2.4158436019,1.1193589111,1.1193589111,3.7123282927,1.1193589111,6.666825603341600000000000000,41.44786620800226121708113000,27.65132245571878073865500,0.001429778251303182041400842851,None,liquidity_24h=55;stop_distance=5;concurrent_positions=4,market_participation=24;asset_exposure=3
prospectiva,0.01,0.01,10,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.01,0.01,20,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.01,0.02,5,91,27,27,13.5,4.8316872038,2.4158436019,1.1193589111,1.1193589111,3.7123282927,1.1193589111,6.666825603341600000000000000,41.44786620800226121708113000,27.65132245571878073865500,0.001429778251303182041400842851,None,liquidity_24h=55;stop_distance=5;concurrent_positions=4,market_participation=24;asset_exposure=3
prospectiva,0.01,0.02,10,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.01,0.02,20,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.01,0.04,5,91,27,27,13.5,4.8316872038,2.4158436019,1.1193589111,1.1193589111,3.7123282927,1.1193589111,6.666825603341600000000000000,41.44786620800226121708113000,27.65132245571878073865500,0.001429778251303182041400842851,None,liquidity_24h=55;stop_distance=5;concurrent_positions=4,market_participation=24;asset_exposure=3
prospectiva,0.01,0.04,10,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
prospectiva,0.01,0.04,20,91,30,30,15,3.6376338546,1.8188169273,-0.0746944381,-0.0746944381,3.7123282927,-0.0746944381,5.468206389986080000000000000,19.54368179615779589519813000,49.53135814696360159286100,0.002561138214978598596089983751,None,liquidity_24h=55;stop_distance=5;duplicate_position=1,market_participation=27;asset_exposure=3
replay,0.0025,0.01,5,64,61,61,4.692307692307692307692307692,9.0736562602,0.6979735584769230769230769231,-3.4256500944,0.0328681549,5.9477391068,-4.6209681617,20.44794999225000000000000000,274.8338710166698457407272500,120.42382433303446700864244,0.006111425682581783780232586529,None,duplicate_position=2;stop_distance=1,asset_exposure=50;market_participation=8;risk_per_trade=3
