versao,dia,mercado,original,janela,r_exf,r_net,r_bruto,risco_pct,atr_pct
v1,2026-06-12,ARBUSDT,f,J1,0.406888,,0.667208,0.007698,0.006628
v1,2026-06-13,PROMUSDT,f,J1,-1.201047,,-0.913445,0.006928,0.006332
v1,2026-06-13,ZECUSDT,f,J1,-1.148604,,-0.935912,0.009356,0.007840
v1,2026-06-13,TAOUSDT,f,J1,-1.074374,,-0.967711,0.018571,0.021080
v1,2026-06-13,TAOUSDT,f,J1,1.409992,,1.521479,0.018176,0.018094
v1,2026-06-13,NEARUSDT,f,J1,1.558290,,1.738837,0.011178,0.011997
v1,2026-06-14,NEARUSDT,f,J1,-1.136639,,-0.941037,0.010170,0.008640
v1,2026-06-14,SAHARAUSDT,f,J1,-1.150739,,-0.934997,0.009225,0.009930
v1,2026-06-14,DASHUSDT,f,J1,1.485212,,1.785711,0.006691,0.007212
v1,2026-06-14,TAOUSDT,f,J1,-1.110451,,-0.952256,0.012559,0.014461
v1,2026-06-15,TAOUSDT,f,J1,1.754481,,1.850028,0.021333,0.024014
v1,2026-06-15,SAHARAUSDT,f,J1,1.043967,,1.241506,0.010183,0.008901
v1,2026-06-15,DASHUSDT,f,J1,-1.177171,,-0.923674,0.007856,0.008774
v1,2026-06-15,ZECUSDT,f,J1,-1.111008,,-0.952017,0.012497,0.011848
v1,2026-06-15,SUIUSDT,f,J1,-1.164060,,-0.929290,0.008480,0.007397
v1,2026-06-15,SUIUSDT,f,J1,-1.213230,,-0.908227,0.006534,0.007421
v1,2026-06-15,DASHUSDT,f,J1,-1.180498,,-0.922249,0.007712,0.008903
v1,2026-06-15,UNIUSDT,f,J1,1.355923,,1.630975,0.007310,0.007452
v1,2026-06-15,ARBUSDT,f,J1,-1.231228,,-0.900516,0.006028,0.007699
v1,2026-06-15,ZECUSDT,f,J1,-1.137469,,-0.940682,0.010109,0.011252
v1,2026-06-15,PROMUSDT,f,J1,0.753122,,0.955555,0.009921,0.007538
v1,2026-06-15,LINKUSDT,f,J1,-1.202842,,-0.912677,0.006867,0.006507
v1,2026-06-15,SAHARAUSDT,f,J1,-1.126546,,-0.945361,0.010975,0.011045
v1,2026-06-15,SOLUSDT,t,J1,-1.215563,,-0.907227,0.006464,0.006398
v1,2026-06-15,ZECUSDT,f,J1,-1.126938,,-0.945193,0.010941,0.010614
v1,2026-06-15,NEARUSDT,f,J1,-1.124799,,-0.946109,0.011127,0.009732
v1,2026-06-15,SAHARAUSDT,f,J1,-1.120389,,-0.947998,0.011531,0.010268
v1,2026-06-15,XRPUSDT,t,J1,-1.198701,,-0.914451,0.007009,0.007842
v1,2026-06-15,SOLUSDT,t,J1,-1.234820,,-0.898978,0.005936,0.006282
v1,2026-06-15,SAHARAUSDT,f,J1,1.764898,,2.004780,0.008403,0.009845
v1,2026-06-15,XRPUSDT,t,J1,-1.189546,,-0.918373,0.007346,0.006911
v1,2026-06-15,ZECUSDT,f,J1,-1.133923,,-0.942201,0.010375,0.010070
v1,2026-06-16,PROMUSDT,f,J1,1.640797,,1.830187,0.010657,0.011811
v1,2026-06-16,PROMUSDT,f,J1,-1.130949,,-0.943475,0.010608,0.010015
v1,2026-06-16,TAOUSDT,f,J1,-1.141150,,-0.939105,0.009847,0.008505
v1,2026-06-16,ARBUSDT,f,J1,-1.218431,,-0.905999,0.006379,0.006822
v1,2026-06-16,SUIUSDT,f,J1,-1.215506,,-0.907252,0.006465,0.006372
v1,2026-06-16,ETHUSDT,t,J1,0.669222,,0.878902,0.009573,0.006973
v1,2026-06-16,UNIUSDT,f,J1,1.110646,,1.221109,0.018297,0.016053
v1,2026-06-17,PROMUSDT,f,J1,-1.202135,,-0.912980,0.006891,0.006295
v1,2026-06-17,DASHUSDT,f,J1,-1.259321,,-0.888482,0.005377,0.006100
v1,2026-06-17,ARBUSDT,f,J1,-1.204836,,-0.911822,0.006800,0.007564
v1,2026-06-17,ZECUSDT,f,J1,-1.159179,,-0.931381,0.008739,0.008825
v1,2026-06-17,ARBUSDT,f,J1,-1.154209,,-0.933510,0.009019,0.007622
v1,2026-06-17,NEARUSDT,f,J1,1.531767,,1.709944,0.011327,0.012030
v1,2026-06-17,TAOUSDT,f,J1,-1.148043,,-0.936152,0.009392,0.009657
v1,2026-06-18,PROMUSDT,f,J1,1.102497,,1.261440,0.012676,0.011243
v1,2026-06-18,NEARUSDT,f,J1,0.277082,,0.417244,0.014303,0.015972
v1,2026-06-19,UNIUSDT,f,J1,-1.145198,,-0.937371,0.009574,0.010591
v1,2026-06-19,ARBUSDT,f,J1,-1.259335,,-0.888476,0.005377,0.007364
v1,2026-06-19,ZECUSDT,f,J1,0.787816,,0.954911,0.012031,0.009194
v1,2026-06-20,NEARUSDT,f,J1,-1.191391,,-0.917582,0.007276,0.006218
v1,2026-06-20,TAOUSDT,f,J1,-1.200789,,-0.913556,0.006937,0.006557
v1,2026-06-20,UNIUSDT,f,J1,-1.195159,,-0.915968,0.007136,0.006540
v1,2026-06-20,DASHUSDT,f,J1,0.776082,,0.983997,0.009659,0.007442
v1,2026-06-20,ZECUSDT,f,J1,-1.149286,,-0.935619,0.009314,0.007530
v1,2026-06-20,TAOUSDT,f,J1,1.212511,,1.481898,0.007461,0.007169
v1,2026-06-20,PROMUSDT,f,J1,0.589506,,0.693536,0.019343,0.017105
v1,2026-06-21,PROMUSDT,f,J1,1.406583,,1.642065,0.008548,0.008791
v1,2026-06-21,NEARUSDT,f,J1,1.798053,,2.152548,0.005673,0.006905
v1,2026-06-21,TAOUSDT,f,J1,1.300734,,1.563522,0.007652,0.007607
v1,2026-06-21,TAOUSDT,f,J1,-1.225886,,-0.902805,0.006169,0.007184
v1,2026-06-21,SAHARAUSDT,f,J1,-1.174307,,-0.924901,0.007985,0.006634
v1,2026-06-21,SAHARAUSDT,f,J1,1.090317,,1.373284,0.007098,0.006502
v1,2026-06-21,TAOUSDT,f,J1,-1.157892,,-0.931933,0.008810,0.008172
v1,2026-06-22,ARBUSDT,f,J1,-1.226151,,-0.902691,0.006162,0.006743
v1,2026-06-22,ZECUSDT,f,J1,-1.184158,,-0.920681,0.007560,0.007736
v1,2026-06-22,SUIUSDT,f,J1,-1.173634,,-0.925189,0.008015,0.007420
v1,2026-06-22,UNIUSDT,f,J1,-1.147833,,-0.936242,0.009405,0.008158
v1,2026-06-22,SUIUSDT,f,J1,1.263968,,1.578186,0.006393,0.006354
v1,2026-06-22,ZECUSDT,f,J1,1.699117,,2.011704,0.006436,0.007505
v1,2026-06-23,DASHUSDT,f,J1,-1.119976,,-0.948175,0.011571,0.009544
v1,2026-06-24,DASHUSDT,f,J1,-1.168311,,-0.927469,0.008267,0.007116
v1,2026-06-24,SAHARAUSDT,f,J1,1.444632,,1.574182,0.015619,0.015839
v1,2026-06-24,SAHARAUSDT,f,J1,-1.067551,,-0.970634,0.020419,0.025745
v1,2026-06-24,ZECUSDT,f,J1,2.682754,,3.037607,0.005681,0.008907
v1,2026-06-24,TAOUSDT,f,J1,-1.681259,,-0.707729,0.002052,0.006743
v1,2026-06-24,PROMUSDT,f,J1,1.223955,,1.414770,0.010553,0.009960
v1,2026-06-24,SAHARAUSDT,f,J1,-1.049719,,-0.978273,0.027598,0.026268
v1,2026-06-24,PROMUSDT,f,J1,-1.110300,,-0.952321,0.012576,0.011064
v1,2026-06-24,PROMUSDT,f,J1,1.662732,,1.845289,0.011061,0.012333
v1,2026-06-25,PROMUSDT,f,J1,-1.165495,,-0.928676,0.008407,0.007812
v1,2026-06-25,ZECUSDT,f,J1,-1.161720,,-0.930293,0.008602,0.007454
v1,2026-06-25,ZECUSDT,f,J1,-1.188358,,-0.918882,0.007392,0.006797
v1,2026-06-25,DASHUSDT,f,J1,-1.179661,,-0.922607,0.007748,0.007441
v1,2026-06-25,UNIUSDT,f,J1,-1.187667,,-0.919177,0.007419,0.006824
v1,2026-06-26,ZECUSDT,f,J1,-1.101087,,-0.956267,0.013711,0.010808
v1,2026-06-26,DASHUSDT,f,J1,-1.086702,,-0.962430,0.015960,0.013309
v1,2026-06-26,ZECUSDT,f,J1,-1.152519,,-0.934234,0.009118,0.008814
v1,2026-06-26,SOLUSDT,t,J1,0.850400,,1.106552,0.007837,0.006373
v1,2026-06-26,NEARUSDT,f,J1,0.480991,,0.713540,0.008622,0.011897
v1,2026-06-26,UNIUSDT,f,J1,-1.159165,,-0.931387,0.008740,0.008479
v1,2026-06-26,ARBUSDT,f,J1,1.519503,,1.792464,0.007371,0.007989
v1,2026-06-26,TAOUSDT,f,J1,-0.324859,,-0.092659,0.008605,0.007451
v1,2026-06-26,SOLUSDT,t,J1,-1.148725,,-0.935860,0.009349,0.008892
v1,2026-06-26,SUIUSDT,f,J1,0.966040,,1.235107,0.007463,0.006439
v1,2026-06-26,SOLUSDT,t,J1,0.326565,,0.593080,0.007516,0.008027
v1,2026-06-26,DASHUSDT,f,J1,-1.162617,,-0.929909,0.008555,0.007381
v1,2026-06-27,ZECUSDT,f,J1,-1.173262,,-0.925348,0.008033,0.007912
v1,2026-06-27,ZECUSDT,f,J1,-1.180418,,-0.922283,0.007716,0.007264
v1,2026-06-27,ZECUSDT,f,J1,-1.145795,,-0.937115,0.009535,0.006910
v1,2026-06-27,NEARUSDT,f,J1,0.483013,,0.690498,0.009666,0.006317
v1,2026-06-27,NEARUSDT,f,J1,1.146593,,1.313488,0.012071,0.010943
v1,2026-06-27,UNIUSDT,f,J1,-1.195934,,-0.915636,0.007108,0.006512
v1,2026-06-28,NEARUSDT,f,J1,-1.160332,,-0.930888,0.008676,0.008606
v1,2026-06-28,NEARUSDT,f,J1,-1.156403,,-0.932570,0.008893,0.008298
v1,2026-06-28,NEARUSDT,f,J1,0.989607,,1.172746,0.010984,0.009322
v1,2026-06-29,DASHUSDT,f,J1,0.993668,,1.270376,0.007257,0.006356
v1,2026-06-29,NEARUSDT,f,J1,1.698368,,2.037384,0.005932,0.006959
v1,2026-06-29,ARBUSDT,f,J1,-1.181073,,-0.922002,0.007688,0.008939
v1,2026-06-29,LINKUSDT,f,J1,-1.245666,,-0.894331,0.005675,0.006445
v1,2026-06-29,DASHUSDT,f,J1,-1.203549,,-0.912374,0.006843,0.007768
v1,2026-06-29,NEARUSDT,f,J1,0.957495,,1.113377,0.012915,0.010702
v1,2026-06-29,LINKUSDT,f,J1,0.808838,,1.039999,0.008686,0.006860
v1,2026-06-29,XRPUSDT,t,J1,0.791807,,1.028279,0.008489,0.006660
v1,2026-06-29,SOLUSDT,t,J1,-1.206251,,-0.911216,0.006754,0.006290
v1,2026-06-30,NEARUSDT,f,J1,1.307838,,1.556962,0.008074,0.008018
v1,2026-06-30,ZECUSDT,f,J1,-1.169138,,-0.927115,0.008227,0.007558
v1,2026-06-30,ZECUSDT,f,J1,-1.243227,,-0.895376,0.005731,0.007954
v1,2026-07-01,SUIUSDT,f,J1,-1.211470,,-0.908980,0.006588,0.006135
v1,2026-07-01,SOLUSDT,t,J1,0.993752,,1.277686,0.007071,0.006208
v1,2026-07-01,ZECUSDT,f,J1,-1.162462,,-0.929975,0.008563,0.008764
v1,2026-07-01,ARBUSDT,f,J1,1.194767,,1.512111,0.006329,0.006121
v1,2026-07-01,ZECUSDT,f,J1,1.253167,,1.501523,0.008097,0.007864
v1,2026-07-01,SAHARAUSDT,f,J1,-1.191968,,-0.917335,0.007254,0.006658
v1,2026-07-01,TAOUSDT,f,J1,1.588666,,1.923823,0.005998,0.006770
v1,2026-07-01,SAHARAUSDT,f,J1,-1.253571,,-0.890945,0.005499,0.006825
v1,2026-07-01,SOLUSDT,t,J1,1.064641,,1.365312,0.006678,0.006082
v1,2026-07-01,ARBUSDT,f,J1,0.903090,,1.150410,0.008120,0.006754
v1,2026-07-01,SAHARAUSDT,f,J1,0.666037,,0.882178,0.009286,0.006768
v1,2026-07-02,TAOUSDT,f,J1,1.288176,,1.586151,0.006744,0.006736
v1,2026-07-02,SAHARAUSDT,f,J1,0.714209,,0.917560,0.009874,0.007352
v1,2026-07-02,PROMUSDT,f,J1,-1.232003,,-0.900184,0.006007,0.006310
v1,2026-07-02,DASHUSDT,f,J1,1.082378,,1.370819,0.006963,0.006367
v1,2026-07-02,SAHARAUSDT,f,J1,0.434069,,0.606798,0.011613,0.007256
v1,2026-07-02,ARBUSDT,f,J1,-1.142713,,-0.938435,0.009740,0.008124
v1,2026-07-02,SOLUSDT,t,J1,0.211233,,0.402394,0.010478,0.008654
v1,2026-07-02,NEARUSDT,f,J1,1.463082,,1.714292,0.008011,0.008454
v1,2026-07-02,SUIUSDT,f,J1,-0.502084,,-0.261196,0.008289,0.007290
v1,2026-07-02,ZECUSDT,f,J1,-1.116282,,-0.949758,0.011935,0.010416
v1,2026-07-02,TAOUSDT,f,J1,1.169687,,1.380704,0.009535,0.008846
v1,2026-07-02,TAOUSDT,f,J1,-1.185554,,-0.920083,0.007503,0.007615
v1,2026-07-02,ZECUSDT,f,J1,-1.133661,,-0.942313,0.010395,0.008386
v1,2026-07-02,UNIUSDT,f,J1,-1.127919,,-0.944773,0.010858,0.010264
v1,2026-07-02,NEARUSDT,f,J1,1.683353,,2.056923,0.005380,0.006333
v1,2026-07-02,UNIUSDT,f,J1,1.361596,,1.571244,0.009606,0.009640
v1,2026-07-03,TAOUSDT,f,J1,-0.635581,,-0.397970,0.008398,0.006557
v1,2026-07-03,NEARUSDT,f,J1,-1.134821,,-0.941816,0.010306,0.010202
v1,2026-07-03,ZECUSDT,f,J1,1.397710,,1.616275,0.009213,0.009400
v1,2026-07-03,UNIUSDT,f,J1,0.573589,,0.797661,0.008952,0.006214
v1,2026-07-04,NEARUSDT,f,J1,-1.151928,,-0.934488,0.009153,0.007574
