signal_id,versao,coorte,symbol,dia_br,bar_utc,hora_utc,sinal,motivo,r_exf,r_net,r_c1,n_c2,r_c2,risco_pct
0052a854-0520-5eb8-8f25-e31aeb69fb48,v1,replay,DOGEUSDT,2026-09-03,2026-09-03T20:45:00Z,20,-1,stop,-1.171735,-1.171735,-1.171735,20,-0.375298,0.008104
0915dc0f-0aad-5fea-afe2-0c013ba21630,v1,prospective,ALGOUSDT,2026-09-08,2026-09-08T20:00:00Z,20,-1,target,0.926070,0.926070,0.926070,20,-0.155060,0.010691
0ceb1bd6-507d-54d8-b845-b63d3672b4f5,v1,prospective,SOLVUSDT,2026-09-08,2026-09-09T00:45:00Z,0,1,target,0.274634,0.274634,0.000000,15,-0.229971,0.024779
125487be-27a7-56c5-b114-66a4e0f28be0,v1,prospective,PONSUSDT,2026-09-08,2026-09-09T00:45:00Z,0,-1,stop,-1.044667,-1.044667,-1.044667,6,-0.729507,0.030652
13f59b2a-33f4-5e41-89dd-732e6e8a188f,v1,prospective,BTRUSDT,2026-09-08,2026-09-08T19:15:00Z,19,-1,target,1.429772,1.413322,1.429772,19,0.057094,0.020288
200930aa-296a-5f5a-b6df-9688619b729e,v1,prospective,BOMEUSDT,2026-09-08,2026-09-08T19:00:00Z,19,-1,stop,-1.203387,-1.210658,-1.203387,20,-0.814090,0.006849
26d2e13f-d3a9-5b8c-bddc-ca1658d8f814,v1,replay,DOGEUSDT,2026-08-27,2026-08-27T13:15:00Z,13,1,stop,-1.169599,-1.169599,0.000000,20,-0.126694,0.008205
26eac060-ef21-55c9-ac7b-41b44648d020,v1,prospective,AIOUSDT,2026-09-08,2026-09-08T18:45:00Z,18,-1,target,1.924625,1.924625,1.924625,5,-0.788498,0.023056
2d8496e0-416b-5705-ae46-6bdeb58424ca,v1,replay,DOGEUSDT,2026-09-06,2026-09-06T09:45:00Z,9,-1,stop,-1.166806,-1.166806,-1.166806,20,0.232982,0.008342
2f2d079b-299d-52b1-bd2e-1ecb4e01f64b,v1,prospective,RIVERUSDT,2026-09-08,2026-09-08T18:15:00Z,18,-1,stop,-1.140437,-1.140437,-1.140437,20,-0.652684,0.009897
3972d3a6-26d1-5429-8d9f-cb7b32771022,v1,replay,SOLUSDT,2026-08-21,2026-08-21T11:45:00Z,11,-1,target,1.064981,1.064981,1.064981,20,-0.283499,0.010499
3cca3503-5d4b-5706-a2d1-9b47db58ca06,v1,prospective,XRPUSDT,2026-09-08,2026-09-08T20:45:00Z,20,-1,expired,0.076373,0.075422,0.126415,20,-0.538408,0.007050
3e87f436-e136-53a3-8267-1e33ae89d4b9,v1,replay,XRPUSDT,2026-08-21,2026-08-21T20:00:00Z,20,-1,target,1.688355,1.688355,1.688355,20,-0.427440,0.010657
3fcf2f0f-49c3-562e-9cdd-2648665f0d3f,v1,replay,DOGEUSDT,2026-09-05,2026-09-05T23:00:00Z,23,1,stop,-1.184616,-1.184616,0.000000,20,-0.233352,0.007541
4232604c-1282-5779-b8de-c14ae2bd8aab,v1,prospective,MIRAUSDT,2026-09-08,2026-09-08T19:15:00Z,19,-1,target,0.917607,0.912249,0.917607,3,0.917607,0.009300
427ee838-43fa-5185-b266-fd60a55d292a,v1,prospective,NEARUSDT,2026-09-08,2026-09-08T20:15:00Z,20,1,stop,-1.158944,-1.158944,0.000000,20,-0.366172,0.008752
4289ffe3-3bf1-5e03-bb63-805898507260,v1,replay,DOGEUSDT,2026-08-27,2026-08-27T18:45:00Z,18,1,target,1.328238,1.328238,0.000000,20,-0.345026,0.007048
4c0aedad-f70a-56c3-9eae-c1abbc45e2fc,v1,prospective,PROMUSDT,2026-09-08,2026-09-08T17:45:00Z,17,-1,stop,-1.100330,-1.100330,-1.100330,20,-0.086059,0.013814
51294339-c8d5-5beb-8854-4f6011dbcb7d,v1,prospective,GRASSUSDT,2026-09-08,2026-09-08T20:45:00Z,20,1,expired,-0.102144,-0.105782,0.000000,2,-0.016543,0.013698
53bc73e9-0dab-5657-81b7-77bd4fea984c,v1,prospective,BULLAUSDT,2026-09-08,2026-09-08T18:30:00Z,18,-1,target,1.416072,1.416072,1.416072,19,0.369197,0.018934
56ff6f8a-82b9-5ca3-9a12-3cd8c1428411,v1,prospective,EPICUSDT,2026-09-08,2026-09-08T18:15:00Z,18,-1,target,1.519797,1.519797,-1.089347,19,-0.048979,0.015493
580a6a4a-0611-5cda-8c5b-add7ee6e8634,v1,replay,XRPUSDT,2026-08-22,2026-08-22T10:30:00Z,10,1,expired,0.122939,0.122939,0.000000,20,0.031133,0.026760
5c2adb89-f668-57ca-9157-1ac4e446b697,v1,replay,DOGEUSDT,2026-08-22,2026-08-22T05:30:00Z,5,1,expired,0.927279,0.922482,0.000000,20,0.162609,0.021611
5d203595-82c1-5b30-9c3b-2b0b9edc5eb2,v1,prospective,VETUSDT,2026-09-08,2026-09-08T23:00:00Z,23,1,target,1.339206,1.339206,0.000000,19,0.388716,0.010236
629efd61-78f6-54a0-97f5-cd346eae17d5,v1,prospective,ZILUSDT,2026-09-08,2026-09-09T01:30:00Z,1,-1,expired,0.814248,0.814015,0.814248,3,-0.757881,0.021142
6483bec5-e0ce-5982-869a-14c6dd4f21d2,v1,prospective,LITUSDT,2026-09-08,2026-09-08T21:30:00Z,21,-1,target,1.412237,1.408780,1.412237,19,-0.175236,0.014694
6535bf9b-5531-5106-9a68-e3aeb7a889e1,v1,replay,SOLUSDT,2026-08-23,2026-08-24T00:30:00Z,0,-1,target,1.380014,1.380014,1.380014,20,-0.609178,0.006608
657346a6-0b84-5085-b9e7-0c22856d0480,v1,replay,DOGEUSDT,2026-08-22,2026-08-22T10:30:00Z,10,1,expired,0.845709,0.845709,0.000000,20,0.005099,0.019481
66c9457b-4a3e-5f2d-a5e4-a9bf7a515982,v1,prospective,ETHFIUSDT,2026-09-08,2026-09-08T21:15:00Z,21,1,expired,-0.285806,-0.289905,0.000000,20,-0.455785,0.012207
6a63be2e-d8a5-5089-aa57-6e971223f603,v1,prospective,ETCUSDT,2026-09-08,2026-09-08T20:00:00Z,20,1,target,1.092651,1.092651,0.000000,19,-0.329744,0.012942
6a9184fd-e142-5ce2-8a65-8d95e1ac9817,v1,prospective,KAITOUSDT,2026-09-08,2026-09-08T18:45:00Z,18,-1,stop,-1.110043,-1.110043,-1.110043,20,-0.401414,0.012606
6c103848-3f39-5584-843b-b1b1a0f3e78f,v1,replay,XRPUSDT,2026-08-21,2026-08-21T18:00:00Z,18,1,stop,-1.097821,-1.097821,0.000000,20,-0.219368,0.014165
77a6d98b-3894-52b3-a982-d2ef94041f0a,v1,prospective,COTIUSDT,2026-09-08,2026-09-08T20:30:00Z,20,-1,target,1.188329,1.188329,1.188329,20,0.324453,0.013567
