versao,dia,mercado,original,janela,barra,rotulo,r_exf,r_net,r_bruto,risco_pct
mean_reversion v10,2026-06-12,ARBUSDT,f,J1,2026-06-12T21:00:00Z,UNKNOWN,0.144467,,0.236894,0.021681
mean_reversion v10,2026-06-13,PROMUSDT,f,J1,2026-06-13T13:45:00Z,UNKNOWN,-0.367741,,-0.257270,0.018051
mean_reversion v10,2026-06-13,ZECUSDT,f,J1,2026-06-13T16:45:00Z,UNKNOWN,-0.023348,,0.068343,0.021816
mean_reversion v10,2026-06-13,ARBUSDT,f,J1,2026-06-13T16:45:00Z,UNKNOWN,-0.488244,,-0.370652,0.016944
mean_reversion v10,2026-06-13,DASHUSDT,f,J1,2026-06-13T16:45:00Z,UNKNOWN,-0.203376,,-0.084592,0.016815
mean_reversion v10,2026-06-13,SUIUSDT,f,J1,2026-06-13T16:45:00Z,UNKNOWN,-0.559833,,-0.434316,0.015870
mean_reversion v10,2026-06-13,TAOUSDT,f,J1,2026-06-13T19:00:00Z,UNKNOWN,0.662710,,0.713226,0.040134
mean_reversion v10,2026-06-13,NEARUSDT,f,J1,2026-06-13T20:15:00Z,UNKNOWN,0.309886,,0.387842,0.025768
mean_reversion v10,2026-06-13,SUIUSDT,f,J1,2026-06-13T21:30:00Z,UNKNOWN,0.123803,,0.272952,0.013426
mean_reversion v10,2026-06-14,NEARUSDT,f,J1,2026-06-14T05:00:00Z,UNKNOWN,-0.195113,,-0.127629,0.029563
mean_reversion v10,2026-06-14,SAHARAUSDT,f,J1,2026-06-14T06:45:00Z,UNKNOWN,0.051621,,0.132431,0.024775
mean_reversion v10,2026-06-14,DASHUSDT,f,J1,2026-06-14T07:00:00Z,UNKNOWN,0.014089,,0.127795,0.017599
mean_reversion v10,2026-06-14,TAOUSDT,f,J1,2026-06-14T08:00:00Z,UNKNOWN,-0.013356,,0.032163,0.043942
mean_reversion v10,2026-06-15,TAOUSDT,f,J1,2026-06-15T09:30:00Z,UNKNOWN,0.530364,,0.572045,0.048622
mean_reversion v10,2026-06-15,SOLUSDT,t,J1,2026-06-15T09:45:00Z,UNKNOWN,1.333457,,1.485338,0.013290
mean_reversion v10,2026-06-15,SUIUSDT,f,J1,2026-06-15T10:00:00Z,UNKNOWN,1.258447,,1.367110,0.018629
mean_reversion v10,2026-06-15,SAHARAUSDT,f,J1,2026-06-15T11:45:00Z,UNKNOWN,1.323608,,1.400538,0.026464
mean_reversion v10,2026-06-15,DASHUSDT,f,J1,2026-06-15T17:15:00Z,UNKNOWN,-0.665156,,-0.599399,0.030122
mean_reversion v10,2026-06-15,ZECUSDT,f,J1,2026-06-15T17:30:00Z,UNKNOWN,-0.449408,,-0.397676,0.038342
mean_reversion v10,2026-06-15,DOGEUSDT,t,J1,2026-06-15T17:30:00Z,UNKNOWN,-0.755892,,-0.620899,0.014739
mean_reversion v10,2026-06-15,SUIUSDT,f,J1,2026-06-15T17:45:00Z,UNKNOWN,-0.755870,,-0.671856,0.023603
mean_reversion v10,2026-06-15,ARBUSDT,f,J1,2026-06-15T19:45:00Z,UNKNOWN,-1.078706,,-0.965855,0.017562
mean_reversion v10,2026-06-15,UNIUSDT,f,J1,2026-06-15T19:45:00Z,UNKNOWN,1.445421,,1.548760,0.019636
mean_reversion v10,2026-06-15,PROMUSDT,f,J1,2026-06-15T20:00:00Z,UNKNOWN,1.182237,,1.268992,0.023381
mean_reversion v10,2026-06-15,LINKUSDT,f,J1,2026-06-15T20:15:00Z,UNKNOWN,-1.074201,,-0.967785,0.018614
mean_reversion v10,2026-06-15,SAHARAUSDT,f,J1,2026-06-15T20:45:00Z,UNKNOWN,-0.435242,,-0.370641,0.030764
mean_reversion v10,2026-06-15,SOLUSDT,t,J1,2026-06-15T21:00:00Z,UNKNOWN,-1.081077,,-0.964839,0.017054
mean_reversion v10,2026-06-15,ETHUSDT,t,J1,2026-06-15T21:15:00Z,UNKNOWN,-1.095980,,-0.958455,0.014434
mean_reversion v10,2026-06-15,NEARUSDT,f,J1,2026-06-15T21:15:00Z,UNKNOWN,-1.040239,,-0.982334,0.033942
mean_reversion v10,2026-06-15,XRPUSDT,t,J1,2026-06-15T21:45:00Z,UNKNOWN,-0.928929,,-0.823602,0.018830
mean_reversion v10,2026-06-15,ETHUSDT,t,J1,2026-06-15T22:45:00Z,UNKNOWN,-1.103174,,-0.955373,0.013437
mean_reversion v10,2026-06-15,LINKUSDT,f,J1,2026-06-15T22:45:00Z,UNKNOWN,-1.088784,,-0.961538,0.015590
mean_reversion v10,2026-06-15,ZECUSDT,f,J1,2026-06-15T22:45:00Z,UNKNOWN,-0.128622,,-0.066593,0.032189
mean_reversion v10,2026-06-15,SOLUSDT,t,J1,2026-06-15T23:15:00Z,UNKNOWN,-0.753492,,-0.637839,0.017188
mean_reversion v10,2026-06-16,PROMUSDT,f,J1,2026-06-16T04:30:00Z,UNKNOWN,0.841681,,0.919646,0.025943
mean_reversion v10,2026-06-16,PROMUSDT,f,J1,2026-06-16T11:30:00Z,UNKNOWN,-1.044539,,-0.980492,0.030737
mean_reversion v10,2026-06-16,TAOUSDT,f,J1,2026-06-16T13:30:00Z,UNKNOWN,-1.047809,,-0.979091,0.028678
mean_reversion v10,2026-06-16,SOLUSDT,t,J1,2026-06-16T13:45:00Z,UNKNOWN,-1.088218,,-0.961780,0.015689
