versao,dia,mercado,janela,barra,r_exf,r_net,r_bruto,risco_pct,atr_pct,saida
mean_reversion v1,2026-06-12,ARBUSDT,J1,2026-06-12T21:00:00Z,0.406888,,0.667208,0.007698,0.00662771,expired
mean_reversion v1,2026-06-13,PROMUSDT,J1,2026-06-13T13:45:00Z,-1.201047,,-0.913445,0.006928,0.00633205,stop
mean_reversion v1,2026-06-13,ZECUSDT,J1,2026-06-13T16:45:00Z,-1.148604,,-0.935912,0.009356,0.00784002,stop
mean_reversion v1,2026-06-13,TAOUSDT,J1,2026-06-13T19:00:00Z,-1.074374,,-0.967711,0.018571,0.02108043,stop
mean_reversion v1,2026-06-13,NEARUSDT,J1,2026-06-13T20:15:00Z,1.558290,,1.738837,0.011178,0.01199660,target
mean_reversion v1,2026-06-13,TAOUSDT,J1,2026-06-13T20:15:00Z,1.409992,,1.521479,0.018176,0.01809431,target
mean_reversion v1,2026-06-14,NEARUSDT,J1,2026-06-14T05:00:00Z,-1.136639,,-0.941037,0.010170,0.00864026,stop
mean_reversion v1,2026-06-14,SAHARAUSDT,J1,2026-06-14T06:45:00Z,-1.150739,,-0.934997,0.009225,0.00993048,stop
mean_reversion v1,2026-06-14,DASHUSDT,J1,2026-06-14T07:00:00Z,1.485212,,1.785711,0.006691,0.00721242,target
mean_reversion v1,2026-06-14,TAOUSDT,J1,2026-06-14T08:00:00Z,-1.110451,,-0.952256,0.012559,0.01446096,stop
mean_reversion v1,2026-06-15,TAOUSDT,J1,2026-06-15T09:30:00Z,1.754481,,1.850028,0.021333,0.02401354,target
mean_reversion v1,2026-06-15,SAHARAUSDT,J1,2026-06-15T11:45:00Z,1.043967,,1.241506,0.010183,0.00890131,target
mean_reversion v1,2026-06-15,DASHUSDT,J1,2026-06-15T17:15:00Z,-1.177171,,-0.923674,0.007856,0.00877431,stop
mean_reversion v1,2026-06-15,ZECUSDT,J1,2026-06-15T17:30:00Z,-1.111008,,-0.952017,0.012497,0.01184828,stop
mean_reversion v1,2026-06-15,SUIUSDT,J1,2026-06-15T17:45:00Z,-1.164060,,-0.929290,0.008480,0.00739704,stop
