versao,dia,mercado,janela,barra,rotulo,r_exf,r_net,atr_pct,risco_pct
mean_reversion v10,2026-06-14,NEARUSDT,J1,2026-06-14T05:00:00Z,UNKNOWN,-0.195113,,0.01870891610781727775551500166,0.029563
mean_reversion v10,2026-06-14,SAHARAUSDT,J1,2026-06-14T06:45:00Z,UNKNOWN,0.051621,,0.01692454946929113889228398651,0.024775
mean_reversion v10,2026-06-14,DASHUSDT,J1,2026-06-14T07:00:00Z,UNKNOWN,0.014089,,0.0120759079032107837293608635,0.017599
mean_reversion v10,2026-06-14,TAOUSDT,J1,2026-06-14T08:00:00Z,UNKNOWN,-0.013356,,0.03052230692693375240705818503,0.043942
mean_reversion v10,2026-06-15,TAOUSDT,J1,2026-06-15T09:30:00Z,UNKNOWN,0.530364,,0.03368598316778356762110520083,0.048622
mean_reversion v10,2026-06-15,SOLUSDT,J1,2026-06-15T09:45:00Z,UNKNOWN,1.333457,,0.008614630148623780018218282996,0.013290
mean_reversion v10,2026-06-15,SUIUSDT,J1,2026-06-15T10:00:00Z,UNKNOWN,1.258447,,0.0116134835117320649404765537,0.018629
mean_reversion v10,2026-06-15,SAHARAUSDT,J1,2026-06-15T11:45:00Z,UNKNOWN,1.323608,,0.0165609755164188416282199019,0.026464
mean_reversion v10,2026-06-15,DASHUSDT,J1,2026-06-15T17:15:00Z,UNKNOWN,-0.665156,,0.02063792614717561081875017551,0.030122
mean_reversion v10,2026-06-15,DOGEUSDT,J1,2026-06-15T17:30:00Z,UNKNOWN,-0.755892,,0.009381580970304652237674621642,0.014739
mean_reversion v10,2026-06-15,ZECUSDT,J1,2026-06-15T17:30:00Z,UNKNOWN,-0.449408,,0.02499391378548119669156138122,0.038342
mean_reversion v10,2026-06-15,SUIUSDT,J1,2026-06-15T17:45:00Z,UNKNOWN,-0.755870,,0.01492298430060995572169578671,0.023603
mean_reversion v10,2026-06-15,ARBUSDT,J1,2026-06-15T19:45:00Z,UNKNOWN,-1.078706,,0.01273813391734650777882763733,0.017562
mean_reversion v10,2026-06-15,UNIUSDT,J1,2026-06-15T19:45:00Z,UNKNOWN,1.445421,,0.01314060355675500099587471923,0.019636
mean_reversion v10,2026-06-15,PROMUSDT,J1,2026-06-15T20:00:00Z,UNKNOWN,1.182237,,0.01402096675497684704830820831,0.023381
mean_reversion v10,2026-06-15,LINKUSDT,J1,2026-06-15T20:15:00Z,UNKNOWN,-1.074201,,0.01217659950949680188812362766,0.018614
mean_reversion v10,2026-06-15,SAHARAUSDT,J1,2026-06-15T20:45:00Z,UNKNOWN,-0.435242,,0.02032381525592496577177143309,0.030764
mean_reversion v10,2026-06-15,SOLUSDT,J1,2026-06-15T21:00:00Z,UNKNOWN,-1.081077,,0.01132640380404820430171006158,0.017054
mean_reversion v10,2026-06-15,NEARUSDT,J1,2026-06-15T21:15:00Z,UNKNOWN,-1.040239,,0.021675718935526845664602516,0.033942
mean_reversion v10,2026-06-15,ETHUSDT,J1,2026-06-15T21:15:00Z,UNKNOWN,-1.095980,,0.009393204565579367171546759611,0.014434
mean_reversion v10,2026-06-15,XRPUSDT,J1,2026-06-15T21:45:00Z,UNKNOWN,-0.928929,,0.01297935155214369995111572192,0.018830
mean_reversion v10,2026-06-15,LINKUSDT,J1,2026-06-15T22:45:00Z,UNKNOWN,-1.088784,,0.01054508704622322402331562251,0.015590
mean_reversion v10,2026-06-15,ETHUSDT,J1,2026-06-15T22:45:00Z,UNKNOWN,-1.103174,,0.00918790433766401008721500908,0.013437
mean_reversion v10,2026-06-15,ZECUSDT,J1,2026-06-15T22:45:00Z,UNKNOWN,-0.128622,,0.02211216317043764263163810004,0.032189
mean_reversion v10,2026-06-15,SOLUSDT,J1,2026-06-15T23:15:00Z,UNKNOWN,-0.753492,,0.01108045766880173466498250299,0.017188
mean_reversion v10,2026-06-16,PROMUSDT,J1,2026-06-16T04:30:00Z,UNKNOWN,0.841681,,0.01775492715010308679366217086,0.025943
mean_reversion v10,2026-06-16,PROMUSDT,J1,2026-06-16T11:30:00Z,UNKNOWN,-1.044539,,0.02003346715122953283101350803,0.030737
mean_reversion v10,2026-06-16,TAOUSDT,J1,2026-06-16T13:30:00Z,UNKNOWN,-1.047809,,0.01811151014607803330359903152,0.028678
mean_reversion v10,2026-06-16,SUIUSDT,J1,2026-06-16T13:45:00Z,UNKNOWN,-1.074129,,0.01223561139006758762523810126,0.018631
mean_reversion v10,2026-06-16,DOGEUSDT,J1,2026-06-16T13:45:00Z,UNKNOWN,-1.104126,,0.008857900604837112185669863649,0.013315
mean_reversion v10,2026-06-16,ARBUSDT,J1,2026-06-16T13:45:00Z,UNKNOWN,-1.077978,,0.01196731190108082761351502108,0.017723
mean_reversion v10,2026-06-16,LINKUSDT,J1,2026-06-16T13:45:00Z,UNKNOWN,-1.087220,,0.01070240189932616943087034098,0.015867
mean_reversion v10,2026-06-16,SOLUSDT,J1,2026-06-16T13:45:00Z,UNKNOWN,-1.088218,,0.01050578892804150335624474968,0.015689
mean_reversion v10,2026-06-16,UNIUSDT,J1,2026-06-16T14:45:00Z,UNKNOWN,1.330638,,0.02631640257835164072210687288,0.042276
mean_reversion v10,2026-06-16,ETHUSDT,J1,2026-06-16T14:45:00Z,UNKNOWN,0.259489,,0.01072351844687610061561418953,0.018826
mean_reversion v10,2026-06-17,ETHUSDT,J1,2026-06-17T00:00:00Z,UNKNOWN,-0.120311,,0.009209807948041457395488029509,0.014994
mean_reversion v10,2026-06-17,PROMUSDT,J1,2026-06-17T05:30:00Z,UNKNOWN,0.628087,,0.01407287964308829232341285255,0.021807
mean_reversion v10,2026-06-17,DASHUSDT,J1,2026-06-17T05:30:00Z,UNKNOWN,-1.080547,,0.01186613598736276769835828861,0.017165
mean_reversion v10,2026-06-17,LINKUSDT,J1,2026-06-17T07:00:00Z,UNKNOWN,-1.088396,,0.01028172631480352590249284242,0.015658
mean_reversion v10,2026-06-17,SUIUSDT,J1,2026-06-17T07:45:00Z,UNKNOWN,-1.074697,,0.01257991354854250012338131849,0.018492
mean_reversion v10,2026-06-17,ARBUSDT,J1,2026-06-17T07:45:00Z,UNKNOWN,-1.069060,,0.01385043892544660830292879882,0.019980
mean_reversion v10,2026-06-17,ZECUSDT,J1,2026-06-17T08:00:00Z,UNKNOWN,-1.050367,,0.01822353121883746306789560955,0.027250
mean_reversion v10,2026-06-17,TAOUSDT,J1,2026-06-17T18:30:00Z,UNKNOWN,-1.056967,,0.01611352463633017454191701683,0.024147
mean_reversion v10,2026-06-17,NEARUSDT,J1,2026-06-17T18:30:00Z,UNKNOWN,-1.049235,,0.01859849494028994759137878432,0.027865
mean_reversion v10,2026-06-18,PROMUSDT,J1,2026-06-18T05:30:00Z,UNKNOWN,0.262346,,0.01980466712956145505461149117,0.031214
mean_reversion v10,2026-06-18,NEARUSDT,J1,2026-06-18T17:45:00Z,UNKNOWN,0.116541,,0.02332315508193323285866509939,0.034007
mean_reversion v10,2026-06-19,LINKUSDT,J1,2026-06-19T03:30:00Z,UNKNOWN,-0.364595,,0.0102291688313659500729507994,0.014840
mean_reversion v10,2026-06-19,UNIUSDT,J1,2026-06-19T03:30:00Z,UNKNOWN,-0.210739,,0.02218325575239754237378114153,0.032618
mean_reversion v10,2026-06-19,ARBUSDT,J1,2026-06-19T04:00:00Z,UNKNOWN,-1.066273,,0.01517607485150111866658382175,0.020807
mean_reversion v10,2026-06-19,SOLUSDT,J1,2026-06-19T19:30:00Z,UNKNOWN,0.443310,,0.009734723613028200558034233417,0.014793
mean_reversion v10,2026-06-19,ZECUSDT,J1,2026-06-19T19:45:00Z,UNKNOWN,1.211548,,0.01783552343924880389421336419,0.029796
mean_reversion v10,2026-06-20,NEARUSDT,J1,2026-06-20T07:30:00Z,UNKNOWN,-0.630195,,0.01412822686935945527596699399,0.022313
mean_reversion v10,2026-06-20,TAOUSDT,J1,2026-06-20T11:30:00Z,UNKNOWN,0.556114,,0.01333003964959985985130959416,0.020382
mean_reversion v10,2026-06-20,ARBUSDT,J1,2026-06-20T11:45:00Z,UNKNOWN,-1.085785,,0.01072583026455047071913737726,0.016129
mean_reversion v10,2026-06-20,SOLUSDT,J1,2026-06-20T13:45:00Z,UNKNOWN,1.223950,,0.008871925702736049639332659362,0.014386
mean_reversion v10,2026-06-20,UNIUSDT,J1,2026-06-20T13:45:00Z,UNKNOWN,-0.053929,,0.01177598733766696408411465495,0.018501
mean_reversion v10,2026-06-20,DASHUSDT,J1,2026-06-20T13:45:00Z,UNKNOWN,-0.080114,,0.01496143765192179311176533238,0.024949
mean_reversion v10,2026-06-20,ZECUSDT,J1,2026-06-20T13:45:00Z,UNKNOWN,1.255920,,0.01481850660509824612578405432,0.024280
mean_reversion v10,2026-06-20,PROMUSDT,J1,2026-06-20T18:15:00Z,UNKNOWN,0.308769,,0.02313497017574611018134522276,0.036929
mean_reversion v10,2026-06-21,SAHARAUSDT,J1,2026-06-21T00:45:00Z,UNKNOWN,1.434280,,0.01008901590470372374471409236,0.015080
mean_reversion v10,2026-06-21,PROMUSDT,J1,2026-06-21T01:00:00Z,UNKNOWN,0.598406,,0.02051664298316132844472420273,0.030537
mean_reversion v10,2026-06-21,ARBUSDT,J1,2026-06-21T03:00:00Z,UNKNOWN,-0.465662,,0.009578650141728376272910383287,0.014018
mean_reversion v10,2026-06-21,NEARUSDT,J1,2026-06-21T03:00:00Z,UNKNOWN,1.281896,,0.01363612206932161412137876318,0.019239
mean_reversion v10,2026-06-21,SOLUSDT,J1,2026-06-21T06:00:00Z,LOW_VOLATILITY,0.659324,,0.008688745923689123974370305078,0.014569
mean_reversion v10,2026-06-21,TAOUSDT,J1,2026-06-21T08:45:00Z,LOW_VOLATILITY,-0.306333,,0.01414709046454627519447842995,0.021401
mean_reversion v10,2026-06-21,SAHARAUSDT,J1,2026-06-21T11:45:00Z,LOW_VOLATILITY,0.052230,,0.01231473841708810084728545992,0.019877
mean_reversion v10,2026-06-21,SOLUSDT,J1,2026-06-21T12:30:00Z,LOW_VOLATILITY,0.766133,,0.009298346725907583401285065221,0.014702
mean_reversion v10,2026-06-21,TAOUSDT,J1,2026-06-21T21:30:00Z,LOW_VOLATILITY,0.413520,,0.01386668809865892418119575153,0.021689
mean_reversion v10,2026-06-22,SOLUSDT,J1,2026-06-22T09:45:00Z,SIDEWAYS,0.696259,,0.01021404990762686399553839227,0.015805
mean_reversion v10,2026-06-22,LINKUSDT,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.476068,,0.009972544397481466790687712881,0.014206
mean_reversion v10,2026-06-22,ARBUSDT,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.519156,,0.0128078582289328341464254592,0.018659
mean_reversion v10,2026-06-22,ZECUSDT,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.140706,,0.01486994908866984056943057896,0.022084
mean_reversion v10,2026-06-22,ETHUSDT,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.306055,,0.008810619801654948503926766069,0.012888
mean_reversion v10,2026-06-22,XRPUSDT,J1,2026-06-22T16:15:00Z,HIGH_VOLATILITY,-0.478554,,0.009460806049053813288073042305,0.014439
mean_reversion v10,2026-06-22,SUIUSDT,J1,2026-06-22T16:30:00Z,HIGH_VOLATILITY,0.246911,,0.01362606258368621611414963376,0.021100
mean_reversion v10,2026-06-22,UNIUSDT,J1,2026-06-22T17:00:00Z,HIGH_VOLATILITY,-0.566852,,0.01466366546633240322089197185,0.023225
mean_reversion v10,2026-06-23,DASHUSDT,J1,2026-06-23T06:45:00Z,SIDEWAYS,-1.067403,,0.0120209076060197619953429647,0.020463
mean_reversion v10,2026-06-24,PROMUSDT,J1,2026-06-24T01:30:00Z,BTC_BEAR,-0.005048,,0.01192791649418360801653980023,0.018515
mean_reversion v10,2026-06-24,SUIUSDT,J1,2026-06-24T02:45:00Z,BTC_BEAR,0.067623,,0.01350363774029624385928919067,0.020932
mean_reversion v10,2026-06-24,TAOUSDT,J1,2026-06-24T02:45:00Z,BTC_BEAR,1.289651,,0.01212181444317564850800819855,0.019310
mean_reversion v10,2026-06-24,NEARUSDT,J1,2026-06-24T02:45:00Z,BTC_BEAR,-0.103005,,0.01210264717370084825004889225,0.019405
mean_reversion v10,2026-06-24,UNIUSDT,J1,2026-06-24T03:30:00Z,BTC_BEAR,-0.133473,,0.01188144229352937562562839566,0.020125
