tag,mint,set,entry_brt,hour_brt,day_brt,reason,hold_s,pnl_sol,pnl_pct,mfe,mae,mark300,mfe_to_exit,source,n_trades,age_s,progress_pct,buys_1m,sells_1m,snipers,unique_buyers_1m,net_sol_flow_1m,mcap_delta_60s,dev_share,creator_net_seller,holders_rising,progress_rising,participation_pct,real_sol,mcap_sol,creator_prior_mints_1h,symbol_dup_24h,gross_curve_sol,pf_fee_sol,creator_fee_sol,net_fee_sol,ata_rent_sol,exit_slip_sol
TAXCOIN,7s4dKmpvQxNy5CwDpsy9SKw3JVoFGRYNd6F8mr4GAxi8,operator/5,2026-09-16T21:31:28-03:00,21,2026-09-16,creator_dump,48,-0.0097638120,-18.54,10.3,-27.3,5.6,-7.8,tape+photos,119,52,23.2145,44,14,37,39,28.642005149,,0.080186,False,False,,0.08271498827230443779936076315,6.213865509,40.7407286015,0,2,-0.005727975,0.000879925,0.000277872,0.000018,0,-0.000009
Catbyte,63NPcW9qYCxeSA41Yo7bg9WGZXVwVaAY71Et5huwpump,operator/5,2026-09-17T03:08:15-03:00,3,2026-09-17,creator_dump,52,-0.0036079840,-7.00,85.0,-17.2,-17.2,-5.0,tape+photos,33,173,14.4873,10,3,57,10,5.614546627,-78.5049400818,0,False,True,False,0.8016786685704895345112343603,3.597694586,35.0669486233,0,0,-0.000852227,0.000930176,0.000293741,0.000018,0.00151384,-0.000009
RAMEN,CCLstvwa27Yj4XjSdFthism4NQqHUSFzn54unF6epump,operator/5,2026-09-17T03:28:29-03:00,3,2026-09-17,trailing,396,-0.0073637790,-14.29,27.1,-26.8,24.6,34.2,tape+photos,19,210,24.5189,30,15,24,25,2.5176486289,7.2869153199,0.015707,False,False,True,0.3493408373011569446450890433,6.640302302,41.7058635983,1,0,-0.004655564,0.000894044,0.000282331,0.000018,0.00151384,-0.000009
DOPEY,2hhJXPy3ceaKJc9YfWxT8xbWuP4tVzqFsqYbgJB9pump,operator/5,2026-09-17T05:59:33-03:00,5,2026-09-17,time_stop,1800,-0.0180986740,-35.13,-2.8,-31.7,-31.7,-2.8,tape+photos,24,209,35.7439,21,12,58,19,4.6282993257,10.6392094997,0,False,False,True,0.3036418163659330724077323099,10.771855539,51.6416339236,1,0,-0.015526343,0.000790772,0.000249719,0.000018,0.00151384,-0.000009
PlanB,Dy9YAbcLWB9K35QARmAiVuooidsE5Swk9FJpJ8QBpump,operator/5,2026-09-17T06:01:00-03:00,6,2026-09-17,creator_dump,514,-0.0060870680,-11.81,31.2,-7.8,10.1,31.2,tape+photos,64,54,14.0284,26,14,24,26,4.3575490276,,0,False,False,,0.1883106389975589660503653333,3.470566077,34.8020749349,1,0,-0.003362691,0.000906327,0.00028621,0.000018,0.00151384,-0.000009
soly,GdZ5hSdzKxEDArfu3Ye64S7LDMYGfKKFrmyhChwhpump,operator/5,2026-09-17T17:38:38-03:00,17,2026-09-17,creator_dump,86,-0.0039031460,-7.58,-4.4,-8.7,-8.7,-4.4,tape+photos,5,41,31.4235,38,13,35,38,9.012367326,,0,False,False,,0.2726957153507815827597503096,9.07596649,47.4349535527,0,0,-0.001151125,0.000927337,0.000292844,0.000018,0.00151384,-0.000009
PS,6zdT1MxCcYFFrA9Fx2TpP6Sq53jTHbsH4THoxLqUpump,operator/5,2026-09-17T18:00:03-03:00,18,2026-09-17,creator_dump,117,0.0339219950,65.84,117.5,-5.4,117.5,70.8,tape+photos,205,56,33.9581,15,0,77,14,18.8458518004,,0,False,True,,0.2653103745564780388529537723,10.053338507,49.8375247861,0,2,0.037152815,0.001291224,0.000407756,0.000018,0.00151384,-0.000009
COVER,rYJYP8jVj11qzMnTWTERiK2iPTGNLW4u7r3rdSPpump,operator/5,2026-09-17T19:47:20-03:00,19,2026-09-17,creator_dump,45,-0.0041426650,-8.04,-5.3,-10.7,-10.7,-5.3,tape+photos,8,55,5.2702,47,8,89,38,42.681134546,,0,False,True,,0.1102171492578656194788477043,1.216004938,30.2714805769,0,0,-0.001393676,0.000925032,0.000292117,0.000018,0.00151384,-0.000009
===,M3kpWCVAtgbnBHFXmsdzSHyN66Sdu8d213K6Mcafood,operator/5,2026-09-17T19:48:21-03:00,19,2026-09-17,time_stop,1804,-0.0125501770,-24.34,-5.4,-23.9,-10.6,-5.4,photos,0,188,36.6095,30,14,47,23,3.476889635,-0.2206841539,0,False,False,False,0.267706793852320033176989485,11.129499299,52.5515906828,0,0,-0.009906881,0.000844706,0.00026675,0.000018,0.00151384,-0.000009
HALFIN,8DqtPVgJU15esLoE5kiUd7XS2ShK1cgRmEG5eG2jSJUK,operator/5,2026-09-18T03:40:40-03:00,3,2026-09-18,creator_dump,33,-0.0026218540,-5.10,4.7,-23.1,-0.0,4.7,tape+photos,35,56,34.0277,147,78,28,134,19.9508667415,,0,False,False,,0.05067714552236706603213150374,10.080862956,49.9060444342,1,1,0.000143561,0.000937516,0.000296059,0.000018,0.00151384,-0.000009
Punch,4c3rRxkpwfwXe5ME2CbCupG89VcR9sDBJXrH1evBpump,operator/5,2026-09-18T05:18:12-03:00,5,2026-09-18,time_stop,1804,-0.0029429550,-5.71,-4.2,-5.7,-5.7,-4.2,tape+photos,8,42,7.0608,49,3,40,49,50.508528224,,0,False,False,,0.09831169635690979650578490106,1.651886516,31.1227685124,0,2,-0.000204501,0.00093633,0.000295684,0.000018,0.00148844,-0.000009
YOU,ADxEynfQ1yFBJ1VfHfVk4SFfm49cfqeyrBdqJ5o5SFnX,operator/5,2026-09-18T13:11:59-03:00,13,2026-09-18,trailing,43,-0.0394797610,-76.57,27.5,-76.6,-76.6,27.5,tape+photos,34,75,75.9521,10,3,7,10,6.8548460485,109.2059248653,0,False,False,True,0.4334975428236123973947618304,38.398525357,145.33576475,0,0,-0.037105166,0.000585773,0.000184982,0.00009,0.00151384,-0.000045
