corte                                  n     PnL/op     total  alvo %  dias verdes
(todos)                             3171  -0.003691   -11.704   36.2%      0/8    
idade>=p67                          1057  -0.001882    -1.989   42.6%      2/8    
mcap<=p33                           1057  -0.002594    -2.742   41.6%      0/8    
buys>=p67                           1060  -0.002808    -2.977   41.7%      1/8    
top10>=p67                          1058  -0.004282    -4.531   39.9%      1/8    
snipers<=p33                        1112  -0.003531    -3.926   25.9%      1/8    
idade>=p67 & mcap<=p33               572  -0.002328    -1.331   41.8%      1/8    
idade>=p67 & buys>=p67               868  -0.002061    -1.789   43.0%      2/8    
idade>=p67 & top10>=p67              110  -0.000285    -0.031   43.6%      4/8    
idade>=p67 & snipers<=p33            387  -0.000523    -0.202   42.4%      4/8    
mcap<=p33 & buys>=p67                584  -0.003304    -1.929   39.7%      2/8    
mcap<=p33 & top10>=p67               281  -0.004885    -1.373   42.3%      0/7    
mcap<=p33 & snipers<=p33             246  -0.002053    -0.505   40.7%      3/8    
buys>=p67 & top10>=p67                39   0.001630     0.064   48.7%      4/8    
buys>=p67 & snipers<=p33             276  -0.001181    -0.326   42.8%      3/8    
top10>=p67 & snipers<=p33            317  -0.004456    -1.412   24.0%      1/8    
idade>=p67 & mcap<=p33 & buys>=p67   488  -0.003197    -1.560   41.2%      1/8    
