mint,symbol,creator,created_at,completed_at,migrated_at,migrated_pool,pool_created_at,total_supply,first_seen_source,mayhem_enabled,has_twitter
122CSQbxWKtQhZGLoTWw4mdreroCzDEE2SWEyT2ppump,Samsung,HkVMXTJSagYJM5VtSCy2D5DwWFcPTUg8oqregRyZuahX,2026-09-18 05:36:20.00442+00,2026-09-18 05:36:19+00,2026-09-18 05:36:20.08029+00,pump-amm,2026-09-18 05:36:20.08029+00,1000000000.0000000000,pumpportal_ws,f,t
12HshCzsz3c4Giyd72u1qqVbnMJtiUCCdXUAkXhypump,STX,5mdW2j4KmGpBcKEH3aS9q1HqJwAFLGv2xLdZavniCZDy,2026-09-20 23:38:02.75774+00,2026-09-21 13:29:46.3033+00,2026-09-21 13:29:46.3033+00,pump-amm,2026-09-21 13:29:46.3033+00,1000000000.0000000000,pumpportal_ws,t,t
12b11sx4qvGLdN4DtP96hCRycMaNeqHxsJ4shxeEpump,GSTOCK,8eEQ6s6gNykb9sFhS5aihsxMenTTqZkm25EqNNFaDvwf,2026-09-18 08:25:28.654496+00,2026-09-18 08:25:28+00,2026-09-18 08:25:28.759717+00,pump-amm,2026-09-18 08:25:28.759717+00,1000000000.0000000000,pumpportal_ws,f,f
12md1csdgvTo7EnnQWf7wuDr2GUThK2aeWYCese6pump,WOFI,8SyoQCZM5S8jcinHQUNAx9i7TaaviekkM56yYbJoAZTA,2026-09-16 11:57:42.912243+00,2026-09-16 11:57:42+00,2026-09-16 11:57:42.98358+00,pump-amm,2026-09-16 11:57:42.98358+00,1000000000.0000000000,pumpportal_ws,f,f
12nkGLrAmXn5jLQaYu4WYCQAMMNmbJLTV7vNeKA7pump,WSOS,4xiweqHLmN1fpGBfe4KkBwLyUfWzZxrXAfiezxxea1Sk,2026-09-18 03:17:31.794249+00,2026-09-18 03:17:31+00,2026-09-18 03:17:31.888813+00,pump-amm,2026-09-18 03:17:31.888813+00,1000000000.0000000000,pumpportal_ws,f,f
12tvq63a5BixRHshM4VrjGMjGaYiwMY1rBP4uoi3pump,TED,4bsQBApnsn5EdFz6MTYfnJ574mdMq55bXJZCrXbqKQv9,2026-09-21 17:34:32.058+00,2026-09-21 19:43:27.936967+00,2026-09-21 19:43:27.936967+00,pump-amm,2026-09-21 19:43:27.936967+00,1000000000.0000000000,trenches_ws,,t
131Wa1Zwh6D3WHj7BAcQmxH3SqdB8eKQhCcZ5w7tpump,SPR,9Fp2oKoTy4fXKqjY9eTWApvV2NQPpAqRiWDhExqwjg7z,2026-09-18 03:59:11.32346+00,2026-09-18 03:59:10+00,2026-09-18 03:59:11.414014+00,pump-amm,2026-09-18 03:59:11.414014+00,1000000000.0000000000,pumpportal_ws,f,f
132QNWHoBZEK1QG9eZjDhNW89FC5sgHBgZzP16ZDpump,Intel,DAH7qq2kVQHZ5bCL11BNfzbp9bjXrj1mPw1UXyrAtrZf,2026-09-18 22:18:03.392587+00,2026-09-18 22:18:02+00,2026-09-18 22:18:03.459529+00,pump-amm,2026-09-18 22:18:03.459529+00,1000000000.0000000000,pumpportal_ws,f,t
136j4dDXJRG2qQyQcdPrmLoA9Hxrm9q8Zb6bdDy4pump,Caton,ENmQQb18idiCHBtrTykytFXmxCUSetBJxrKDCqw7Akdm,2026-09-20 08:37:00.310325+00,2026-09-20 08:37:00+00,2026-09-20 08:37:00.556915+00,pump-amm,2026-09-20 08:37:00.556915+00,1000000000.0000000000,pumpportal_ws,f,t
13Bxc37jw8QHvsZzDM9tiSBHp27M4Qx6qjy9wpNXHLf1,STARBUCKS,Cj6ZkRJXFmvKuFFnqoLfV6SBC1RG9BUKcQW7XCMdn8tY,2026-09-20 03:08:09.671717+00,2026-09-20 03:08:09+00,2026-09-20 03:08:09.741151+00,pump-amm,2026-09-20 03:08:09.741151+00,1000000000.0000000000,pumpportal_ws,f,t
13CYkpZPGEMvFDTW99nfob2BuXCvbp3EQ3xudL5pump,KIBA,9ddw69N1Y6jQRkknzMSk1Nuzj2fMDfG8tdfJcxFsPF1z,2026-09-21 02:37:35.881343+00,2026-09-21 02:37:35+00,2026-09-21 02:37:35.964588+00,pump-amm,2026-09-21 02:37:35.964588+00,1000000000.0000000000,pumpportal_ws,f,f
13DreBBoiudqSRhihQpS2p9MS7kTzx8mP4wQMbbFpump,HERMES,69qkMiK3CSmZvqf587H38iTp42c7zrLYarv6NmhpZJG4,2026-09-16 21:19:32.055206+00,2026-09-16 21:19:31+00,2026-09-16 21:19:32.127981+00,pump-amm,2026-09-16 21:19:32.127981+00,1000000000.0000000000,pumpportal_ws,f,t
13EYwcVbiJ9N91zBJ2U41hvoLMbgFWfaoPxvHQrFpump,fomocoin,6RPHScDXh2VogyxeRxJKb4xPCWGWgczYYvWfy6bCbkBt,2026-09-20 16:13:02.332895+00,2026-09-20 16:13:01+00,2026-09-20 16:13:02.408192+00,pump-amm,2026-09-20 16:13:02.408192+00,,pumpportal_ws,f,f
13GgD2jD1x8qqCpfgV2xXFJrvVYGmgqPcBgEqrcqpump,Cali,8cohaRstGjBn7YvxzfKa47W3HTRWTzovoMjTd95YjR2k,2026-09-19 19:31:50.679522+00,2026-09-19 19:31:50+00,2026-09-19 19:31:50.754432+00,pump-amm,2026-09-19 19:31:50.754432+00,,pumpportal_ws,f,f
13HSG8h1nhNMFceTLAwLCyFR4QKJRg3Gj5FyUPTBpump,Joker,GK78SeSNhDDVQAAapsWfv97T3s5vKP67eWmz3ZAyZ9qE,2026-09-20 22:22:38.708479+00,2026-09-20 22:22:38.794603+00,2026-09-20 22:22:38.794603+00,pump-amm,2026-09-20 22:22:38.794603+00,,pumpportal_ws,f,f
13JxdD21ufLZEuamFDRppFG1nr1irYGRugg4jBKApump,WOTF,ACVnfETZpaZ1J3XK1gNox8ujGAR4jCQuGryh7LmwB1XY,2026-09-19 10:08:31.066247+00,2026-09-19 10:08:30+00,2026-09-19 10:08:31.154344+00,pump-amm,2026-09-19 10:08:31.154344+00,1000000000.0000000000,pumpportal_ws,f,f
13MBmvNvRkoojpBoKzdqNyKLEmXske2P7SMhY98Spump,Claude,69bkWH7UeJNKG7DL8GuitqWiVmKdkwrjgLxqGt6ZfDW4,2026-09-19 02:35:31.427512+00,2026-09-19 02:35:31+00,2026-09-19 02:35:31.494854+00,pump-amm,2026-09-19 02:35:31.494854+00,1000000000.0000000000,pumpportal_ws,f,f
13MxrpxYECHvsxUXw3c5v5VDk7L4ctdaXEMB9mpbpump,NTDA,64H6K8QHCwQa8ZgDJmYercfXzxgDA584CU2o3KpYsNim,2026-09-19 13:58:40.220378+00,2026-09-19 13:58:39+00,2026-09-19 13:58:40.290891+00,pump-amm,2026-09-19 13:58:40.290891+00,1000000000.0000000000,pumpportal_ws,f,f
13PMgkseXxNiCnyTgptKQmqHtRuqjuhE6vhECPG4pump,POT,BJ8cak7psdxLA5G1ixaG6Xfi8fjmEfSqXXKWQYCca8bK,2026-09-16 02:27:33.343138+00,2026-09-16 02:27:32+00,2026-09-16 02:27:33.417139+00,pump-amm,2026-09-16 02:27:33.417139+00,1000000000.0000000000,pumpportal_ws,f,f
13UZWy1cGGrMgjXkKhZtfL8VafyfgSDJzb63hxotpump,fomocoin,EqjLyJvU32xcMVTDMisETmScTLFySXu2fgTSe17PYEjx,2026-09-17 13:05:49.246216+00,2026-09-17 13:05:48+00,2026-09-17 13:05:49.322476+00,pump-amm,2026-09-17 13:05:49.322476+00,1000000000.0000000000,pumpportal_ws,f,f
13Vnpr3GhnrvDikGJ29Ch4azh6SQcEXxQ2jrUDMapump,WANG,GweYW7PhpMMTgTAov4p1kktFoZyAX3To6mmFHP9q9Eqt,2026-09-17 22:59:11.578703+00,2026-09-17 22:59:11+00,2026-09-17 22:59:11.674699+00,pump-amm,2026-09-17 22:59:11.674699+00,1000000000.0000000000,pumpportal_ws,f,t
13VpLJx4g3PJKQcqMZokQovCmMnjm2QbQFh9gwVGpump,PUMUCKLE,2UA1KVZAEvsSpLorBPcVQ1189zuENuT54vKnjhQ8Xjab,2026-09-20 09:47:06.068335+00,2026-09-20 09:51:06.255165+00,2026-09-20 09:51:06.255165+00,pump-amm,2026-09-20 09:51:06.255165+00,1000000000.0000000000,pumpportal_ws,t,t
13gfsXzkuB79Jd5A6Bt1LtthF53StA6LxCtYTTQhpump,IKUN,5HUighRfvxdet9nZoGih13nxpmx7urPd9X3X31w6voKn,2026-09-20 23:18:04.969796+00,2026-09-20 23:18:04+00,2026-09-20 23:18:05.069196+00,pump-amm,2026-09-20 23:18:05.069196+00,1000000000.0000000000,pumpportal_ws,f,t
