h=1: painel 923988 pontos, 921914 elegiveis
h=5: painel 184748 pontos, 182674 elegiveis
h=15: painel 61546 pontos, 59472 elegiveis
h=60: painel 15353 pontos, 13341 elegiveis
h=240: painel 3782 pontos, 2022 elegiveis

   h preditor              n  entr%    liq@0.14%           IC95 (bp)      p   Holm      long     delta     @0.54%    em SOL   atraso1
   1 P1_mom_prev      413256  44.8%     -14.03bp [  -14.19,  -13.85]  0.000  0.000   -13.92    -0.10    -54.03     +nan   -14.12
   1 P2_revert_z       36198   3.9%     -13.41bp [  -13.75,  -13.10]  0.000  0.000   -13.92    +0.51    -53.41     +nan   -13.23
   1 P3_vol_surge     122733  13.3%     -13.59bp [  -13.87,  -13.34]  0.000  0.000   -13.92    +0.34    -53.59     +nan   -13.88
   1 P4_taker_imb     394143  42.8%     -13.99bp [  -14.15,  -13.82]  0.000  0.000   -13.92    -0.07    -53.99     +nan   -14.08
   1 P6_breakout20     52368   5.7%     -13.36bp [  -13.70,  -12.94]  0.000  0.000   -13.92    +0.57    -53.36     +nan   -14.00
   5 P1_mom_prev       86905  47.6%     -13.48bp [  -14.19,  -12.76]  0.000  0.000   -13.63    +0.14    -53.48     +nan   -13.84
   5 P2_revert_z        6943   3.8%     -14.84bp [  -17.82,  -12.96]  0.000  0.000   -13.63    -1.21    -54.84     +nan   -12.96
   5 P3_vol_surge      20419  11.2%     -13.54bp [  -15.28,  -11.98]  0.000  0.000   -13.63    +0.09    -53.54     +nan   -12.38
   5 P4_taker_imb      65479  35.8%     -13.44bp [  -13.98,  -12.88]  0.000  0.000   -13.63    +0.19    -53.44     +nan   -13.95
   5 P6_breakout20     10024   5.5%     -13.44bp [  -15.09,  -12.12]  0.000  0.000   -13.63    +0.19    -53.44     +nan   -13.43
  15 P1_mom_prev       29129  49.0%     -12.02bp [  -13.70,  -10.11]  0.000  0.000   -12.85    +0.83    -52.02     +nan   -14.58
  15 P2_revert_z        2382   4.0%     -10.97bp [  -14.87,   -7.14]  0.000  0.000   -12.85    +1.88    -50.97     +nan    -7.05
  15 P3_vol_surge       6823  11.5%      -9.21bp [  -12.56,   -5.91]  0.000  0.000   -12.85    +3.63    -49.21     +nan    -8.92
  15 P4_taker_imb      17107  28.8%     -13.15bp [  -14.78,  -11.17]  0.000  0.000   -12.85    -0.30    -53.15     +nan   -14.22
  15 P6_breakout20      3246   5.5%     -13.79bp [  -18.71,   -9.85]  0.000  0.000   -12.85    -0.95    -53.79     +nan   -17.04
  60 P1_mom_prev        6618  49.6%     -11.78bp [  -21.94,   -2.02]  0.020  0.122    -9.65    -2.13    -51.78     +nan   -12.83
  60 P2_revert_z         483   3.6%     +26.48bp [   +6.78,  +44.65]  0.003  0.029    -9.65   +36.13    -13.52     +nan   -20.54
  60 P3_vol_surge       1519  11.4%      -7.07bp [  -12.63,   -1.88]  0.008  0.061    -9.65    +2.59    -47.07     +nan   -18.33
  60 P4_taker_imb       2163  16.2%     -15.88bp [  -23.53,   -9.75]  0.000  0.002    -9.65    -6.22    -55.88     +nan   -15.11
  60 P6_breakout20       785   5.9%     -17.48bp [  -33.07,   -5.25]  0.013  0.088    -9.65    -7.83    -57.48     +nan    -5.97
 240 P1_mom_prev         990  49.0%      +6.21bp [  -51.09,  +50.89]  0.822  1.000    +5.87    +0.34    -33.79     +nan    +9.27
 240 P2_revert_z          58   2.9%      +3.89bp [  -86.94,  +55.25]  0.900  1.000    +5.87    -1.98    -36.11     +nan   -43.26
 240 P3_vol_surge        259  12.8%      +2.67bp [  -88.72,  +38.08]  0.918  1.000    +5.87    -3.20    -37.33     +nan   +12.97
 240 P4_taker_imb         94   4.6%      -4.03bp [  -45.00,  +38.72]  0.844  1.000    +5.87    -9.90    -44.03     +nan   +25.53
 240 P6_breakout20       144   7.1%      -9.28bp [  -77.08,  +50.57]  0.722  1.000    +5.87   -15.15    -49.28     +nan   -14.13

CONFIRMAM (regra congelada, Holm < 0,05): 1 -> [(60, 'P2_revert_z')]
EVIDENCIA CONTRA vantagem util (IC sup < +10 bp): 19/25
