h=1: painel 2378230 pontos, 2377193 elegiveis
h=5: painel 475616 pontos, 474579 elegiveis
h=15: painel 158521 pontos, 157484 elegiveis
h=60: painel 39612 pontos, 38608 elegiveis
h=240: painel 9878 pontos, 8896 elegiveis

   h preditor              n  entr%    liq@0.14%           IC95 (bp)      p   Holm      long     delta     @0.54%    em SOL   atraso1
   1 P1_mom_prev     1071977  45.1%     -14.19bp [  -14.27,  -14.10]  0.000  0.000   -13.95    -0.24    -54.19   -14.25   -14.01
   1 P2_revert_z       94535   4.0%     -13.34bp [  -13.57,  -13.13]  0.000  0.000   -13.95    +0.61    -53.34   -13.45   -13.83
   1 P3_vol_surge     284838  12.0%     -13.79bp [  -13.91,  -13.66]  0.000  0.000   -13.95    +0.16    -53.79   -13.90   -13.79
   1 P4_taker_imb    1006883  42.4%     -14.09bp [  -14.15,  -14.02]  0.000  0.000   -13.95    -0.14    -54.09   -14.12   -13.99
   1 P6_breakout20    127475   5.4%     -14.16bp [  -14.38,  -13.91]  0.000  0.000   -13.95    -0.20    -54.16   -14.13   -13.93
   5 P1_mom_prev      225144  47.4%     -14.01bp [  -14.29,  -13.71]  0.000  0.000   -13.77    -0.25    -54.01   -14.12   -13.89
   5 P2_revert_z       17797   3.8%     -12.59bp [  -13.85,  -11.50]  0.000  0.000   -13.77    +1.18    -52.59   -13.26   -13.58
   5 P3_vol_surge      54346  11.5%     -12.94bp [  -13.66,  -12.17]  0.000  0.000   -13.77    +0.83    -52.94   -13.75   -12.98
   5 P4_taker_imb     166614  35.1%     -13.72bp [  -13.95,  -13.46]  0.000  0.000   -13.77    +0.04    -53.72   -13.85   -13.96
   5 P6_breakout20     23129   4.9%     -13.98bp [  -14.78,  -13.17]  0.000  0.000   -13.77    -0.22    -53.98   -14.15   -13.53
  15 P1_mom_prev       76456  48.5%     -13.41bp [  -14.38,  -12.25]  0.000  0.000   -13.30    -0.11    -53.41   -14.05   -13.71
  15 P2_revert_z        6034   3.8%     -13.48bp [  -16.19,  -10.65]  0.000  0.000   -13.30    -0.17    -53.48   -15.40   -11.47
  15 P3_vol_surge      18618  11.8%     -11.12bp [  -13.01,   -9.26]  0.000  0.000   -13.30    +2.19    -51.12   -13.54   -11.62
  15 P4_taker_imb      44159  28.0%     -13.46bp [  -14.24,  -12.47]  0.000  0.000   -13.30    -0.16    -53.46   -14.19   -13.66
  15 P6_breakout20      7255   4.6%     -11.97bp [  -15.18,   -8.34]  0.000  0.000   -13.30    +1.34    -51.97   -14.37   -14.50
  60 P1_mom_prev       19126  49.5%     -12.37bp [  -15.93,   -8.09]  0.000  0.000   -11.22    -1.15    -52.37   -14.36   -11.89
  60 P2_revert_z        1473   3.8%      -0.85bp [   -9.46,   +8.30]  0.853  1.000   -11.22   +10.38    -40.85    -8.06   -20.20
  60 P3_vol_surge       5063  13.1%      -6.57bp [  -14.04,   +0.94]  0.085  0.680   -11.22    +4.66    -46.57   -13.74    -8.07
  60 P4_taker_imb       5976  15.5%     -12.07bp [  -15.67,   -7.91]  0.000  0.000   -11.22    -0.85    -52.07   -15.42   -10.03
  60 P6_breakout20      1784   4.6%      -4.51bp [  -16.12,   +6.06]  0.442  1.000   -11.22    +6.71    -44.51   -12.32   -11.83
 240 P1_mom_prev        4432  49.8%      -2.60bp [  -20.62,  +18.98]  0.800  1.000    -1.66    -0.93    -42.60    -7.38    -1.40
 240 P2_revert_z         287   3.2%     -13.24bp [  -43.92,  +17.85]  0.397  1.000    -1.66   -11.58    -53.24    -7.67    -2.83
 240 P3_vol_surge       1335  15.0%     +27.58bp [  -12.67,  +72.71]  0.254  1.000    -1.66   +29.25    -12.42    -0.71   +23.52
 240 P4_taker_imb        373   4.2%      +1.55bp [  -21.57,  +27.56]  0.895  1.000    -1.66    +3.21    -38.45    +3.77    +2.56
 240 P6_breakout20       468   5.3%     +14.77bp [  -52.82,  +67.20]  0.665  1.000    -1.66   +16.43    -25.23    +8.47   +18.29

CONFIRMAM (regra congelada, Holm < 0,05): 0 -> []
EVIDENCIA CONTRA vantagem util (IC sup < +10 bp): 20/25
