bet_id,subject,t,mint,as_of,computed_at,tape_as_of,buys_60s,progress_delta_60s
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,28PmtZBJtYgaW52gMziV1y8VjxJPptzFpr1pTyxwpump,2026-09-12 22:21:14.701731+00,2026-09-12 22:21:14.738104+00,2026-09-12 22:21:14.701731+00,0,0.000000
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,28PmtZBJtYgaW52gMziV1y8VjxJPptzFpr1pTyxwpump,2026-09-12 22:21:30.34823+00,2026-09-12 22:21:30.378241+00,2026-09-12 22:20:57+00,0,0.000000
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,28PmtZBJtYgaW52gMziV1y8VjxJPptzFpr1pTyxwpump,2026-09-12 22:21:45.981189+00,2026-09-12 22:21:46.007371+00,2026-09-12 22:20:57+00,0,0.000000
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,28PmtZBJtYgaW52gMziV1y8VjxJPptzFpr1pTyxwpump,2026-09-12 22:22:01.668942+00,2026-09-12 22:22:01.694474+00,2026-09-12 22:21:57+00,0,0.000000
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,28PmtZBJtYgaW52gMziV1y8VjxJPptzFpr1pTyxwpump,2026-09-12 22:22:17.450963+00,2026-09-12 22:22:17.486822+00,2026-09-12 22:21:57+00,0,0.000000
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,28PmtZBJtYgaW52gMziV1y8VjxJPptzFpr1pTyxwpump,2026-09-12 22:22:56.175751+00,2026-09-12 22:22:56.223317+00,2026-09-12 22:22:56.175751+00,0,0.000000
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,2LWYoV53Kjtf13CKDdSWJqQonqUHnaJHV4DfWTWLpump,2026-09-12 22:23:27.373731+00,2026-09-12 22:23:27.392993+00,,,
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,2LWYoV53Kjtf13CKDdSWJqQonqUHnaJHV4DfWTWLpump,2026-09-12 22:23:42.900944+00,2026-09-12 22:23:42.927161+00,,,
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,2LWYoV53Kjtf13CKDdSWJqQonqUHnaJHV4DfWTWLpump,2026-09-12 22:23:58.424061+00,2026-09-12 22:23:58.443992+00,2026-09-12 22:23:57+00,1,
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,2LWYoV53Kjtf13CKDdSWJqQonqUHnaJHV4DfWTWLpump,2026-09-12 22:24:13.924006+00,2026-09-12 22:24:13.944631+00,2026-09-12 22:23:57+00,1,
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,2LWYoV53Kjtf13CKDdSWJqQonqUHnaJHV4DfWTWLpump,2026-09-12 22:24:29.419255+00,2026-09-12 22:24:29.443635+00,2026-09-12 22:23:57+00,1,
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,2PyTg19KPY7hiqWxdZpcjzK84ygejPiyCQm7bpaQNd7h,2026-09-12 22:21:14.701731+00,2026-09-12 22:21:14.738104+00,2026-09-12 22:21:14.701731+00,0,0.000000
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,2PyTg19KPY7hiqWxdZpcjzK84ygejPiyCQm7bpaQNd7h,2026-09-12 22:21:30.34823+00,2026-09-12 22:21:30.378241+00,2026-09-12 22:21:30.34823+00,0,0.000000
01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,2026-09-12 22:23:31.770146+00,2PyTg19KPY7hiqWxdZpcjzK84ygejPiyCQm7bpaQNd7h,2026-09-12 22:21:45.981189+00,2026-09-12 22:21:46.007371+00,2026-09-12 22:20:57+00,0,0.000000
