lane,bet_id,mint,symbol,creator,rule_set,rs_kind,decided_at,features_end_time,quote_observed_at,quote_real_sol,quote_source,token_created_at,init_vsol,entry_at,exit_at,exit_reason,size_sol,pnl_sol,r_multiple,entry_vsol_after,entry_sol_amount,entry_block_time
paper,01a09572-20bf-7ecd-9eb7-5abcd0db1242,L99NzXLkwu9r3rDjtzcmLrQtevxPnbKYJLa1K5qpump,DOJO,DmH2DZW7PrZKFyDC7wtSPZfpyakfktXpWMno8GygwcW,meme_paper_v0/1,research_only,2026-09-12 11:45:59.578472+00,2026-09-12 11:44:00+00,2026-09-12T11:43:14.561106+00:00,1.098901101,pumpfun_rest,2026-09-12 11:43:02.600954+00,34.9382716030,2026-09-12 11:47:50.745429+00,2026-09-12 11:50:01.03174+00,creator_dump,0.05,-0.0018775510,-0.0375510204,,,
paper,01a095bf-f119-7021-8ff1-3f99a315a8dc,EdEbJEGV4fKUKoPPXfQq7EYfDNiJVx5pbHhUvptbpump,LESBIAN,5YoQjS2eg841YXxJ2QAYoyisJdCg7eSVKRjnJiTxg1DZ,meme_paper_v0/1,research_only,2026-09-12 13:11:59.032946+00,2026-09-12 13:10:00+00,2026-09-12T13:09:47.625481+00:00,7.206913037,pumpfun_rest,2026-09-12 13:09:26.018382+00,36.9642222358,2026-09-12 13:12:05.838648+00,2026-09-12 13:17:33.616158+00,trailing,0.05,-0.0184879480,-0.3697589601,,,
paper,01a095bf-f10e-788c-8e6b-f7268db68985,9DsfDFuVhr7LQn1put4EGx9g4HycidDXoq2cPeRzpump,DICK,HEDmgZUdaGSSfmS8V8Ze7YrYtHgL7Cu9JkPUxRuB3dSE,meme_paper_v0/1,research_only,2026-09-12 13:11:59.032946+00,2026-09-12 13:10:00+00,2026-09-12T13:09:47.196861+00:00,2.48307611,pumpfun_rest,2026-09-12 13:09:24.128257+00,33.0000000000,2026-09-12 13:12:05.720986+00,2026-09-12 13:14:08.270393+00,creator_dump,0.05,-0.0018775510,-0.0375510204,,,
paper,01a095c0-fe68-7bd3-b8b5-04a03f9d4cd5,5v7yY3N2xAfQoofn6ByGgBFJy3yRvyJHCY48HHaupump,RISE,HF1WGFKpCBSKs1YmJ3yddWvRuoM7bZHnP282UQjg4q7H,meme_paper_v0/1,research_only,2026-09-12 13:13:03.408454+00,2026-09-12 13:12:00+00,2026-09-12T13:12:02.349892+00:00,9.439289481,pumpfun_rest,2026-09-12 13:11:29.474483+00,39.2307692290,2026-09-12 13:13:08.564008+00,2026-09-12 13:19:23.1474+00,trailing,0.05,-0.0232501620,-0.4650032398,,,
paper,01a095d1-012f-7563-b4eb-ff7992bf2c34,EeDAXRzMdAXmEy3hfALM2v6t8fsWep1zeqNMjGVerNqV,SENDO,8bALmZfqRQjTz9HbYzDNxYfjoYTF16DEfitzskjCdRKh,meme_paper_v0/1,research_only,2026-09-12 13:30:37.427135+00,2026-09-12 13:29:00+00,2026-09-12T13:28:48.866117+00:00,1.135655447,pumpfun_rest,2026-09-12 13:28:00.956261+00,30.0000000000,2026-09-12 13:31:09.364828+00,2026-09-12 13:53:24.076574+00,rug_no_snapshot,0.05,-0.0500000000,-1.0000000000,,,
paper,01a095d7-a94e-74c9-9b66-ee3cebb2575b,5ndU2kzB58assZwEEJU5CipFsPccnhAKcAbwexAUpump,PAD,5YoQjS2eg841YXxJ2QAYoyisJdCg7eSVKRjnJiTxg1DZ,meme_paper_v0/1,research_only,2026-09-12 13:35:45.67502+00,2026-09-12 13:34:00+00,2026-09-12T13:34:00.200334+00:00,6.705881537,pumpfun_rest,2026-09-12 13:33:09.42242+00,36.6685377468,2026-09-12 13:37:54.886247+00,2026-09-12 14:00:25.953577+00,rug_no_snapshot,0.05,-0.0500000000,-1.0000000000,,,
paper,01a095e3-0c13-756b-adf5-b7e17f8c6136,ERqsYydN8FDXyeWJS42FGyAGueExA6KU4J1crMWnpump,TRADERS,6gAgy3F1tLxeBWb8UhGEnmXYVRoaz3w1Lzv6APyhfoHk,meme_paper_v0/1,research_only,2026-09-12 13:50:19.833243+00,2026-09-12 13:49:00+00,2026-09-12T13:48:30.128142+00:00,8.295814836,pumpfun_rest,2026-09-12 13:48:14.141085+00,32.9629629610,2026-09-12 13:50:47.04265+00,2026-09-12 13:52:31.990295+00,creator_dump,0.05,-0.0018762037,-0.0375240750,,,
paper,01a095e5-dc41-7888-aa5e-d2de69c60074,GE1UVcqGVdZQYopA1YwN2dHvJTZB11nfJh4pf5Xjpump,24/7,H11xWuTQQMpL4txqsqQ68moSQsHRR5jyN54MpbJunSM2,meme_paper_v0/1,research_only,2026-09-12 13:51:19.904591+00,2026-09-12 13:50:00+00,2026-09-12T13:49:37.724950+00:00,4.514482559,pumpfun_rest,2026-09-12 13:49:08.54263+00,30.0009876530,2026-09-12 13:53:47.480686+00,2026-09-12 14:15:32.898828+00,rug_no_snapshot,0.05,-0.0500000000,-1.0000000000,,,
paper,01a095e7-b215-7aa1-8990-73441cef9e6a,9TTXHpsw21SoRz4kpXbtCr3EaoFmrqgpRWt7XjFmpump,VALHALLA,FLoCnmazUkTQY9hdPPFMWd1FDJTTmUYzcZqaZ4PmeXPY,meme_paper_v0/1,research_only,2026-09-12 13:55:24.480357+00,2026-09-12 13:54:00+00,2026-09-12T13:53:41.161179+00:00,3.151946032,pumpfun_rest,2026-09-12 13:52:52.402612+00,30.0000012302,2026-09-12 13:56:04.759255+00,2026-09-12 14:17:33.023723+00,rug_no_snapshot,0.05,-0.0500000000,-1.0000000000,,,
paper,01a095e7-b226-7b51-ba9f-9473f19685f9,9TTXHpsw21SoRz4kpXbtCr3EaoFmrqgpRWt7XjFmpump,VALHALLA,FLoCnmazUkTQY9hdPPFMWd1FDJTTmUYzcZqaZ4PmeXPY,operator/1,operator,2026-09-12 13:55:46.657515+00,2026-09-12 13:54:00+00,2026-09-12T13:53:41.161179+00:00,3.151946032,pumpfun_rest,2026-09-12 13:52:52.402612+00,30.0000012302,2026-09-12 13:56:04.759255+00,2026-09-12 14:17:33.023723+00,rug_no_snapshot,0.05,-0.0500000000,-1.0000000000,,,
