lane,bet_id,mint,symbol,rule_set,rs_kind,decided_at,dia,hora,exit_reason,size_sol,pnl_sol,ret,r_multiple,pct,pct_bruto,pct_estoque,top_wallet,top_is_creator,curve_sol,top_net_sol,n_trades,n_wallets,blocked_by_guard,blocked_sol,last_block_time,last_received_at,cov_obs,cov_obs_err,cov_retro,cov_retro_err,nasce,atraso_nascimento,quote_lag_s,quote_real_sol,stale_s,pct_quote,elegivel
paper,01a09572-20bf-7ecd-9eb7-5abcd0db1242,L99NzXLkwu9r3rDjtzcmLrQtevxPnbKYJLa1K5qpump,DOJO,meme_paper_v0/1,research_only,2026-09-12T11:45:59.578472+00:00,2026-09-12,2026-09-12 11,creator_dump,0.05,-0.0018775510,-0.03755102,-0.0375510204,0.6666666666666666,1646090534.6666667,,DmH2DZW7PrZKFyDC7wtSPZfpyakfktXpWMno8GygwcW,True,3E-9,2E-9,5,2,1,0.1975,2026-09-12T11:43:13+00:00,2026-09-12T11:43:15.065979+00:00,False,0.99999999727,False,0.8202749976132747,True,-1.600954,165.017366,1.098901101,166.578472,1.8199999965238e-09,False
paper,01a095bf-f119-7021-8ff1-3f99a315a8dc,EdEbJEGV4fKUKoPPXfQq7EYfDNiJVx5pbHhUvptbpump,LESBIAN,meme_paper_v0/1,research_only,2026-09-12T13:11:59.032946+00:00,2026-09-12,2026-09-12 13,trailing,0.05,-0.0184879480,-0.36975896,-0.3697589601,0.9659623462363637,0.9659623462363637,0.9723751910598658,5YoQjS2eg841YXxJ2QAYoyisJdCg7eSVKRjnJiTxg1DZ,True,7.209620813,6.964222236,12,8,22,0.137108429,2026-09-12T13:09:31+00:00,2026-09-12T13:09:33.159772+00:00,True,0.0003757192554008058,True,0.0,True,-1.018382,131.407465,7.206913037,148.032946,0.9663252768898368,True
paper,01a095bf-f10e-788c-8e6b-f7268db68985,9DsfDFuVhr7LQn1put4EGx9g4HycidDXoq2cPeRzpump,DICK,meme_paper_v0/1,research_only,2026-09-12T13:11:59.032946+00:00,2026-09-12,2026-09-12 13,creator_dump,0.05,-0.0018775510,-0.03755102,-0.0375510204,0.35868429530122314,0.7173685906024463,0.37153117789201856,Charr4dCD5m66yvzYHV9RVmGbtsbrF5TKqrnh83vcFXb,False,4.181950589,1.5,10,7,7,4.31883947,2026-09-12T13:09:27+00:00,2026-09-12T13:09:33.023232+00:00,False,0.684181395873524,False,0.9917234772155252,True,-1.128257,131.836085,2.48307611,152.032946,0.6040894171383252,False
paper,01a095c0-fe68-7bd3-b8b5-04a03f9d4cd5,5v7yY3N2xAfQoofn6ByGgBFJy3yRvyJHCY48HHaupump,RISE,meme_paper_v0/1,research_only,2026-09-12T13:13:03.408454+00:00,2026-09-12,2026-09-12 13,trailing,0.05,-0.0232501620,-0.46500324,-0.4650032398,0.9676114637503116,0.9676114637503116,0.9752322964065171,HF1WGFKpCBSKs1YmJ3yddWvRuoM7bZHnP282UQjg4q7H,True,9.539747694,9.23076923,19,10,19,1.0991452,2026-09-12T13:11:40+00:00,2026-09-12T13:11:40.910631+00:00,True,0.010642560883656409,True,0.0,True,-1.474483,61.058562,9.439289481,83.408454,0.9779093276649983,True
paper,01a095d1-012f-7563-b4eb-ff7992bf2c34,EeDAXRzMdAXmEy3hfALM2v6t8fsWep1zeqNMjGVerNqV,SENDO,meme_paper_v0/1,research_only,2026-09-12T13:30:37.427135+00:00,2026-09-12,2026-09-12 13,rug_no_snapshot,0.05,-0.0500000000,-1.0,-1.0000000000,0.17039024356655216,0.17039024356655216,0.16802091361042798,9KRbgdP73pq1wXndY9yVjimUsF4rxmu39pdKpaDF5mJ7,False,6.04007113,1.029169191,25,20,18,5.196532523,2026-09-12T13:28:24+00:00,2026-09-12T13:28:27.119776+00:00,False,4.318577167005831,True,0.006563897544534033,True,-0.956261,108.561018,1.135655447,133.427135,0.9062336589136265,True
paper,01a095d7-a94e-74c9-9b66-ee3cebb2575b,5ndU2kzB58assZwEEJU5CipFsPccnhAKcAbwexAUpump,PAD,meme_paper_v0/1,research_only,2026-09-12T13:35:45.675020+00:00,2026-09-12,2026-09-12 13,rug_no_snapshot,0.05,-0.0500000000,-1.0,-1.0000000000,0.9710481358921392,0.9710481358921392,0.9763133211042939,5YoQjS2eg841YXxJ2QAYoyisJdCg7eSVKRjnJiTxg1DZ,True,6.867360639,6.668537747,17,9,4,0.199722389,2026-09-12T13:34:19+00:00,2026-09-12T13:34:26.550011+00:00,True,0.0,True,0.0,True,-1.42242,105.474686,6.705881537,86.67502,0.9944311885329388,True
paper,01a095e3-0c13-756b-adf5-b7e17f8c6136,ERqsYydN8FDXyeWJS42FGyAGueExA6KU4J1crMWnpump,TRADERS,meme_paper_v0/1,research_only,2026-09-12T13:50:19.833243+00:00,2026-09-12,2026-09-12 13,creator_dump,0.05,-0.0018762037,-0.037524074,-0.0375240750,0.41310381832010695,1.239311455796856,0.4096591470393095,C3zCUv1QyMLKmavQ4Q3a54zyfTBBfKjXcodp3AxkKiwi,False,2.390813825,0.98765432,101,43,4,2.131376791,2026-09-12T13:49:25+00:00,2026-09-12T13:49:36.057960+00:00,False,0.04703119364560514,False,0.04703119364560514,True,-1.141085,109.705101,8.295814836,54.833243,0.11905452803913089,False
paper,01a095e5-dc41-7888-aa5e-d2de69c60074,GE1UVcqGVdZQYopA1YwN2dHvJTZB11nfJh4pf5Xjpump,24/7,meme_paper_v0/1,research_only,2026-09-12T13:51:19.904591+00:00,2026-09-12,2026-09-12 13,rug_no_snapshot,0.05,-0.0500000000,-1.0,-1.0000000000,0.21133630721376323,0.21133630721376323,0.21307461552832174,A5mMDT1LzQRS9J8Pimv85yBoAjBDmy59Na7G8dWxoN2U,False,4.514482559,0.954074073,23,16,11,7.498925158,2026-09-12T13:49:30+00:00,2026-09-12T13:49:35.873520+00:00,True,0.0,True,0.0,True,-0.54263,102.179641,4.514482559,109.904591,0.21133630721376323,True
paper,01a095e7-b215-7aa1-8990-73441cef9e6a,9TTXHpsw21SoRz4kpXbtCr3EaoFmrqgpRWt7XjFmpump,VALHALLA,meme_paper_v0/1,research_only,2026-09-12T13:55:24.480357+00:00,2026-09-12,2026-09-12 13,rug_no_snapshot,0.05,-0.0500000000,-1.0,-1.0000000000,0.6266949433606293,0.9284369533266171,0.6030428564451078,Gxe9y6YffqSFR6mpRdiPAGLZNA5HJ5hipCA5dvsoNFFo,False,3.151946032,1.97530864,42,20,8,3.178003065,2026-09-12T13:53:38+00:00,2026-09-12T13:53:41.560484+00:00,True,0.0,True,0.0,True,-1.402612,103.319178,3.151946032,106.480357,0.6266949433606293,True
paper,01a095e7-b226-7b51-ba9f-9473f19685f9,9TTXHpsw21SoRz4kpXbtCr3EaoFmrqgpRWt7XjFmpump,VALHALLA,operator/1,operator,2026-09-12T13:55:46.657515+00:00,2026-09-12,2026-09-12 13,rug_no_snapshot,0.05,-0.0500000000,-1.0,-1.0000000000,0.6266949433606293,0.9284369533266171,0.6030428564451078,Gxe9y6YffqSFR6mpRdiPAGLZNA5HJ5hipCA5dvsoNFFo,False,3.151946032,1.97530864,42,20,8,3.178003065,2026-09-12T13:53:38+00:00,2026-09-12T13:53:41.560484+00:00,True,0.0,True,0.0,True,-1.402612,125.496336,3.151946032,128.657515,0.6266949433606293,True
