lane,bet_id,mint,symbol,rule_set,proposal_id,gate,series,decided_at,features_end_time,entry_at,exit_at,exit_reason,size_sol,pnl_sol,flow_json,progress_pct
paper,01a09726-4cd0-7594-92ab-e8f50139ed48,9DhRda7qutcDPu9Ba7S6MUDvD7CP7ZNFXWUfmbiapump,LATE,flow_v2/1,01a09726-0e2f-7869-84a3-fb2bcb8bc6b3,fluxo_e_holders/1,meme_features_15s_v1,2026-09-12 19:44:06.672199+00,2026-09-12 19:43:58.401963+00,2026-09-12 19:44:10.436778+00,2026-09-12 19:45:46+00,line_broken,0.05,-0.0128425940,"{""buys_1m"": 74, ""feature"": ""flow"", ""snipers"": 2, ""sells_1m"": 26, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""16.7516756317"", ""net_sol_flow_1m"": ""9.621932058"", ""progress_rising"": true, ""unique_buyers_1m"": 65, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",73.4041
paper,01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,Z-SHEEP,flow_v2/2,01a097b7-fc63-7826-afd5-e31fda1ea576,fluxo_e_holders/2,meme_features_15s_v1,2026-09-12 22:23:31.770146+00,2026-09-12 22:23:27.373731+00,2026-09-12 22:23:44+00,2026-09-12 22:25:20+00,line_broken,0.05,-0.0125105647,"{""buys_1m"": 44, ""feature"": ""flow"", ""snipers"": 7, ""sells_1m"": 9, ""dev_share"": ""0.048689"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""11.4520443651"", ""net_sol_flow_1m"": ""4.4022288309"", ""progress_rising"": true, ""unique_buyers_1m"": 21, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",30.2389
paper,01a097bd-e30d-7f54-bea2-7790c17f57b3,ABTD8dTkHNQJfV4GEScoEuzVoYPzNjnQiXtb38sGpump,CZECHEDGE,flow_v2/2,01a097bd-6830-7358-9f17-d03db2364bff,fluxo_e_holders/2,meme_features_15s_v1,2026-09-12 22:29:27.091648+00,2026-09-12 22:29:12.336175+00,2026-09-12 22:29:32+00,2026-09-12 22:29:57+00,line_broken,0.05,0.0005288155,"{""buys_1m"": 23, ""feature"": ""flow"", ""snipers"": 6, ""sells_1m"": 11, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""5.2019274347"", ""net_sol_flow_1m"": ""2.7868314826"", ""progress_rising"": true, ""unique_buyers_1m"": 22, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",41.7245
paper,01a097df-6a28-78b4-a04b-bd35f4ee2de9,DkTfR7FxrPNpq2qg6RHiVZ67GZoDNe9FEgP1SPDCpump,Gobble,flow_v2/2,01a097df-2c32-7534-88e4-d4bec7e71fe1,fluxo_e_holders/2,meme_features_15s_v1,2026-09-12 23:06:19.903582+00,2026-09-12 23:06:11.319819+00,2026-09-12 23:06:21+00,2026-09-12 23:08:38.849243+00,line_broken,0.05,-0.0024800020,"{""buys_1m"": 12, ""feature"": ""flow"", ""snipers"": 1, ""sells_1m"": 2, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""83.5676639465"", ""net_sol_flow_1m"": ""9.6639237991"", ""progress_rising"": true, ""unique_buyers_1m"": 12, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",69.2349
paper,01a097e3-9f72-77ea-b514-54264e733b8c,5uH3sH6ByLyx6GjgUti2hmgGdRGjsWjGbYFUhbbMpump,DUVE,flow_v2/2,01a097e3-1c93-76d6-9801-15c11a85f169,fluxo_e_holders/2,meme_features_15s_v1,2026-09-12 23:10:38.036438+00,2026-09-12 23:10:30.2544+00,2026-09-12 23:10:50+00,2026-09-12 23:12:10+00,creator_dump,0.05,-0.0086150227,"{""buys_1m"": 295, ""feature"": ""flow"", ""snipers"": 2, ""sells_1m"": 16, ""dev_share"": ""0.000267"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""17.6433820406"", ""net_sol_flow_1m"": ""8.8470948319"", ""progress_rising"": true, ""unique_buyers_1m"": 31, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",29.3592
paper,01a09811-d12b-7e90-8dfd-dbc4633393a9,EfnMaaj5n1SXUPxH5jFcYkzv4DbWKYXo8WzSAwsepump,jewdog,flow_v2/2,01a09811-928c-7f63-b133-8b3ff1080da7,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 00:01:22.805976+00,2026-09-13 00:01:06.7254+00,2026-09-13 00:01:24+00,2026-09-13 00:02:38.786989+00,line_broken,0.05,-0.0248993958,"{""buys_1m"": 80, ""feature"": ""flow"", ""snipers"": 1, ""sells_1m"": 37, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""43.5698591163"", ""net_sol_flow_1m"": ""17.2995577242"", ""progress_rising"": true, ""unique_buyers_1m"": 72, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",53.5835
paper,01a09847-2f5e-7f54-83dc-99fbe8854c53,EHQDj7ySsP3S8A5ywHKyA3ywTnGh2AYxzJEEPonvpump,MCS,flow_v2/2,01a09846-b087-76c0-852d-bf8188165426,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 00:59:23.560965+00,2026-09-13 00:59:09.42573+00,2026-09-13 00:59:29+00,2026-09-13 01:00:17.156427+00,max_loss,0.05,-0.0265731163,"{""buys_1m"": 75, ""feature"": ""flow"", ""snipers"": 6, ""sells_1m"": 33, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""97.2813644157"", ""net_sol_flow_1m"": ""32.4984826977"", ""progress_rising"": true, ""unique_buyers_1m"": 74, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",72.4743
paper,01a0984f-f504-777c-813d-b745693fde01,8rE46UpMzBLBiJhi6jYUUEmUvoLo5k16mNphwcDipump,KOL,flow_v2/2,01a0984f-b6a7-78c4-8672-dcf59be6bbad,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 01:09:13.464225+00,2026-09-13 01:09:12.801196+00,2026-09-13 01:09:17+00,2026-09-13 01:09:48+00,max_loss,0.05,-0.0275712554,"{""buys_1m"": 51, ""feature"": ""flow"", ""snipers"": 8, ""sells_1m"": 30, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": true, ""mcap_delta_60s"": ""21.4773184661"", ""net_sol_flow_1m"": ""4.2940496922"", ""progress_rising"": true, ""unique_buyers_1m"": 43, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",44.7625
paper,01a09860-2dde-78b5-878b-c38488c8b5b8,5d6EeGuYHufXNtN9x8p192EV2X4aHfpZ1Tj8Ujsapump,Yes,flow_v2/2,01a0985f-a88f-74e8-8ba6-d31eefb4effa,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 01:26:40.249661+00,2026-09-13 01:26:32.867923+00,2026-09-13 01:26:52+00,2026-09-13 01:27:33+00,line_broken,0.05,-0.0027123933,"{""buys_1m"": 26, ""feature"": ""flow"", ""snipers"": 7, ""sells_1m"": 9, ""dev_share"": ""0.035103"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""5.9014427018"", ""net_sol_flow_1m"": ""2.069579989"", ""progress_rising"": true, ""unique_buyers_1m"": 20, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",21.6433
paper,01a098c9-f1da-704c-b64c-d288ca042bf4,ERi6JniHwRkMiFnL1uGUuWAmWu9YcTu8m4c7vdrNpump,FLYCLOUD,flow_v2/2,01a098c9-77d7-7ee5-aecf-41648adc7802,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 03:22:12.957016+00,2026-09-13 03:22:00.879752+00,2026-09-13 03:22:22+00,2026-09-13 03:23:55+00,creator_dump,0.05,-0.0004395739,"{""buys_1m"": 28, ""feature"": ""flow"", ""snipers"": 1, ""sells_1m"": 9, ""dev_share"": ""0"", ""tape_reason"": null, ""holders_reason"": null, ""holders_rising"": false, ""mcap_delta_60s"": ""9.8938424148"", ""net_sol_flow_1m"": ""2.9635776653"", ""progress_rising"": true, ""unique_buyers_1m"": 20, ""max_sells_to_buys"": ""0.6"", ""min_unique_buyers"": 10}",20.1056
