pop,bet_id,mint,symbol,rule_set,gate,series,proposed_at,features_end_time,decided_at,quote_json,entry_at,exit_at,exit_reason,spent_lamports,received_lamports,high_water_sol,pnl_sol,params,entry_json
paper,01a09726-4cd0-7594-92ab-e8f50139ed48,9DhRda7qutcDPu9Ba7S6MUDvD7CP7ZNFXWUfmbiapump,LATE,flow_v2/1,fluxo_e_holders/1,meme_features_15s_v1,2026-09-12 19:44:06.672199+00,2026-09-12 19:43:58.401963+00,2026-09-12 19:44:06.672199+00,"{""reason"": null, ""source"": ""solana_rpc"", ""tokens"": ""367498.0225042438400514856813"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""complete"": false, ""cost_sol"": ""0.05"", ""mcap_sol"": ""133.6150231142"", ""size_sol"": ""0.05"", ""observed_at"": ""2026-09-12T19:43:46+00:00"", ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""real_sol_reserves"": ""35.582525251"", ""curve_progress_pct"": ""73.4041"", ""price_sol_per_token"": ""0.0000001336150231142025943013602308"", ""real_token_reserves"": ""210931971.753249"", ""virtual_sol_reserves"": ""65.582525251"", ""virtual_token_reserves"": ""490831971.753249""}",2026-09-12 19:44:10.436778+00,2026-09-12 19:45:46+00,line_broken,,,1.1205884568,-0.0128425940,"{""size_sol"": ""0.05"", ""target_x"": ""3"", ""max_hold_s"": 1800, ""max_loss_pct"": ""50"", ""trailing_pct"": ""35"", ""trailing_arm_x"": ""1.5"", ""exit_on_line_break"": true, ""line_break_snapshots"": 2}","{""leg"": ""single"", ""tokens"": ""344156.258313049293207633887"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""sol_usd"": {""as_of"": ""2026-09-12T19:43:35.097000+00:00"", ""stale"": false, ""source"": ""pumpfun_rest:/sol-price"", ""price_usd"": ""101.31318425681683"", ""observed_at"": ""2026-09-12T19:43:35.701538+00:00""}, ""snapshot"": {""source"": ""pumpfun_rest"", ""complete"": false, ""mcap_sol"": ""142.6806654303"", ""observed_at"": ""2026-09-12T19:44:10.436778+00:00"", ""real_sol_reserves"": ""37.770868726"", ""real_token_reserves"": ""195082847.336791"", ""virtual_sol_reserves"": ""67.770868726"", ""virtual_token_reserves"": ""474982847.336791""}, ""sol_spent"": ""0.05"", ""decided_at"": ""2026-09-12T19:44:06.672199+00:00"", ""parent_bet_id"": null, ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""sol_usd_reason"": null, ""sol_usd_source"": ""pumpfun_rest:/sol-price"", ""priority_fee_sol"": ""0"", ""average_price_sol"": ""0.0000001452828440345237260215603528"", ""participation_pct"": null, ""decision_to_fill_s"": 3, ""fill_delay_snapshots"": 1, ""participation_reason"": ""curve_volume_1m_unknown"", ""marginal_price_after_sol"": ""0.0000001428876533875459363275803338"", ""marginal_price_before_sol"": ""0.0000001426806654303169731286277719""}"
paper,01a097b8-7fd3-759d-b180-be42ce73ac6e,Hdyq7DiuPP6xgj29Btfxg4gD3HaRnYHWifaEHvxEpump,Z-SHEEP,flow_v2/2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-12 22:23:31.770146+00,2026-09-12 22:23:27.373731+00,2026-09-12 22:23:31.770146+00,"{""reason"": null, ""source"": ""solana_rpc"", ""tokens"": ""1058364.142548689940972781242"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""complete"": false, ""cost_sol"": ""0.05"", ""mcap_sol"": ""46.371211602"", ""size_sol"": ""0.05"", ""observed_at"": ""2026-09-12T22:23:15+00:00"", ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""real_sol_reserves"": ""8.635337493"", ""curve_progress_pct"": ""30.2389"", ""price_sol_per_token"": ""0.00000004637121160197372323580794806"", ""real_token_reserves"": ""553275070.442963"", ""virtual_sol_reserves"": ""38.635337493"", ""virtual_token_reserves"": ""833175070.442963""}",2026-09-12 22:23:44+00,2026-09-12 22:25:20+00,line_broken,,,0.9656019656,-0.0125105647,"{""size_sol"": ""0.05"", ""target_x"": ""3"", ""max_hold_s"": 1800, ""max_loss_pct"": ""50"", ""trailing_pct"": ""35"", ""trailing_arm_x"": ""1.5"", ""exit_on_line_break"": true, ""line_break_snapshots"": 2}","{""leg"": ""single"", ""tokens"": ""963599.7723564964585637860051"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""sol_usd"": {""as_of"": ""2026-09-12T22:24:06.038000+00:00"", ""stale"": false, ""source"": ""pumpfun_rest:/sol-price"", ""price_usd"": ""102.22386017127546"", ""observed_at"": ""2026-09-12T22:24:06.099332+00:00""}, ""snapshot"": {""source"": ""solana_rpc"", ""complete"": false, ""mcap_sol"": ""50.9345138604"", ""observed_at"": ""2026-09-12T22:23:44+00:00"", ""real_sol_reserves"": ""10.491752289"", ""real_token_reserves"": ""515076710.683076"", ""virtual_sol_reserves"": ""40.491752289"", ""virtual_token_reserves"": ""794976710.683076""}, ""sol_spent"": ""0.05"", ""decided_at"": ""2026-09-12T22:23:31.770146+00:00"", ""parent_bet_id"": null, ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""sol_usd_reason"": null, ""sol_usd_source"": ""pumpfun_rest:/sol-price"", ""priority_fee_sol"": ""0"", ""average_price_sol"": ""0.00000005188876277723095998268953663"", ""participation_pct"": null, ""decision_to_fill_s"": 12, ""fill_delay_snapshots"": 1, ""participation_reason"": ""curve_volume_1m_unknown"", ""marginal_price_after_sol"": ""0.0000000510582152625166814745138989"", ""marginal_price_before_sol"": ""0.00000005093451386042222043244289679""}"
paper,01a097bd-e30d-7f54-bea2-7790c17f57b3,ABTD8dTkHNQJfV4GEScoEuzVoYPzNjnQiXtb38sGpump,CZECHEDGE,flow_v2/2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-12 22:29:27.091648+00,2026-09-12 22:29:12.336175+00,2026-09-12 22:29:27.091648+00,"{""reason"": null, ""source"": ""solana_rpc"", ""tokens"": ""839706.3243874715519696872733"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""complete"": false, ""cost_sol"": ""0.05"", ""mcap_sol"": ""58.4542989743"", ""size_sol"": ""0.05"", ""observed_at"": ""2026-09-12T22:29:00+00:00"", ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""real_sol_reserves"": ""13.377919363"", ""curve_progress_pct"": ""41.7245"", ""price_sol_per_token"": ""0.00000005845429897426414944744785437"", ""real_token_reserves"": ""462182620.511763"", ""virtual_sol_reserves"": ""43.377919363"", ""virtual_token_reserves"": ""742082620.511763""}",2026-09-12 22:29:32+00,2026-09-12 22:29:57+00,line_broken,,,0.9656019656,0.0005288155,"{""size_sol"": ""0.05"", ""target_x"": ""3"", ""max_hold_s"": 1800, ""max_loss_pct"": ""50"", ""trailing_pct"": ""35"", ""trailing_arm_x"": ""1.5"", ""exit_on_line_break"": true, ""line_break_snapshots"": 2}","{""leg"": ""single"", ""tokens"": ""770646.8877368489020379351403"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""sol_usd"": {""as_of"": ""2026-09-12T22:29:58.313000+00:00"", ""stale"": false, ""source"": ""pumpfun_rest:/sol-price"", ""price_usd"": ""101.86704328695627"", ""observed_at"": ""2026-09-12T22:29:59.181552+00:00""}, ""snapshot"": {""source"": ""solana_rpc"", ""complete"": false, ""mcap_sol"": ""63.6955519174"", ""observed_at"": ""2026-09-12T22:29:32+00:00"", ""real_sol_reserves"": ""15.280899079"", ""real_token_reserves"": ""430995780.253096"", ""virtual_sol_reserves"": ""45.280899079"", ""virtual_token_reserves"": ""710895780.253096""}, ""sol_spent"": ""0.05"", ""decided_at"": ""2026-09-12T22:29:27.091648+00:00"", ""parent_bet_id"": null, ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""sol_usd_reason"": null, ""sol_usd_source"": ""pumpfun_rest:/sol-price"", ""priority_fee_sol"": ""0"", ""average_price_sol"": ""0.00000006488055787370335821151895831"", ""participation_pct"": null, ""decision_to_fill_s"": 4, ""fill_delay_snapshots"": 1, ""participation_reason"": ""curve_volume_1m_unknown"", ""marginal_price_after_sol"": ""0.00000006383387518382307233673741158"", ""marginal_price_before_sol"": ""0.0000000636955519174398680379051331""}"
paper,01a097df-6a28-78b4-a04b-bd35f4ee2de9,DkTfR7FxrPNpq2qg6RHiVZ67GZoDNe9FEgP1SPDCpump,Gobble,flow_v2/2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-12 23:06:19.903582+00,2026-09-12 23:06:11.319819+00,2026-09-12 23:06:19.903582+00,"{""reason"": null, ""source"": ""solana_rpc"", ""tokens"": ""418660.0402048825930610425491"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""complete"": false, ""cost_sol"": ""0.05"", ""mcap_sol"": ""117.2807896766"", ""size_sol"": ""0.05"", ""observed_at"": ""2026-09-12T23:05:59+00:00"", ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""real_sol_reserves"": ""31.443214619"", ""curve_progress_pct"": ""69.2349"", ""price_sol_per_token"": ""0.0000001172807896766393301123086598"", ""real_token_reserves"": ""243998370.640308"", ""virtual_sol_reserves"": ""61.443214619"", ""virtual_token_reserves"": ""523898370.640308""}",2026-09-12 23:06:21+00,2026-09-12 23:08:38.849243+00,line_broken,,,1.3949060272,-0.0024800020,"{""size_sol"": ""0.05"", ""target_x"": ""3"", ""max_hold_s"": 1800, ""max_loss_pct"": ""50"", ""trailing_pct"": ""35"", ""trailing_arm_x"": ""1.5"", ""exit_on_line_break"": true, ""line_break_snapshots"": 2}","{""leg"": ""single"", ""tokens"": ""337112.2037919420371673205751"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""sol_usd"": {""as_of"": ""2026-09-12T23:06:35.698000+00:00"", ""stale"": false, ""source"": ""pumpfun_rest:/sol-price"", ""price_usd"": ""101.68018407424346"", ""observed_at"": ""2026-09-12T23:06:36.456260+00:00""}, ""snapshot"": {""source"": ""solana_rpc"", ""complete"": false, ""mcap_sol"": ""145.6631042265"", ""observed_at"": ""2026-09-12T23:06:21+00:00"", ""real_sol_reserves"": ""38.475508979"", ""real_token_reserves"": ""190195082.365694"", ""virtual_sol_reserves"": ""68.475508979"", ""virtual_token_reserves"": ""470095082.365694""}, ""sol_spent"": ""0.05"", ""decided_at"": ""2026-09-12T23:06:19.903582+00:00"", ""parent_bet_id"": null, ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""sol_usd_reason"": null, ""sol_usd_source"": ""pumpfun_rest:/sol-price"", ""priority_fee_sol"": ""0"", ""average_price_sol"": ""0.0000001483185700119561958277361662"", ""participation_pct"": null, ""decision_to_fill_s"": 1, ""fill_delay_snapshots"": 1, ""participation_reason"": ""curve_volume_1m_unknown"", ""marginal_price_after_sol"": ""0.0000001458722435396317655053883026"", ""marginal_price_before_sol"": ""0.0000001456631042265017287779106713""}"
paper,01a097e3-9f72-77ea-b514-54264e733b8c,5uH3sH6ByLyx6GjgUti2hmgGdRGjsWjGbYFUhbbMpump,DUVE,flow_v2/2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-12 23:10:38.036438+00,2026-09-12 23:10:30.2544+00,2026-09-12 23:10:38.036438+00,"{""reason"": null, ""source"": ""solana_rpc"", ""tokens"": ""1076152.806575270802192526095"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""complete"": false, ""cost_sol"": ""0.05"", ""mcap_sol"": ""45.6042164698"", ""size_sol"": ""0.05"", ""observed_at"": ""2026-09-12T23:10:18+00:00"", ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""real_sol_reserves"": ""8.314484615"", ""curve_progress_pct"": ""29.3592"", ""price_sol_per_token"": ""0.00000004560421646983346767863036358"", ""real_token_reserves"": ""560252239.877742"", ""virtual_sol_reserves"": ""38.314484615"", ""virtual_token_reserves"": ""840152239.877742""}",2026-09-12 23:10:50+00,2026-09-12 23:12:10+00,creator_dump,,,0.9656019656,-0.0086150227,"{""size_sol"": ""0.05"", ""target_x"": ""3"", ""max_hold_s"": 1800, ""max_loss_pct"": ""50"", ""trailing_pct"": ""35"", ""trailing_arm_x"": ""1.5"", ""exit_on_line_break"": true, ""line_break_snapshots"": 2}","{""leg"": ""single"", ""tokens"": ""1466134.371645992256192159501"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""sol_usd"": {""as_of"": ""2026-09-12T23:11:12.113000+00:00"", ""stale"": false, ""source"": ""pumpfun_rest:/sol-price"", ""price_usd"": ""102.10990439365482"", ""observed_at"": ""2026-09-12T23:11:12.242465+00:00""}, ""snapshot"": {""source"": ""solana_rpc"", ""complete"": false, ""mcap_sol"": ""33.4666381292"", ""observed_at"": ""2026-09-12T23:10:50+00:00"", ""real_sol_reserves"": ""2.822112735"", ""real_token_reserves"": ""700841256.658897"", ""virtual_sol_reserves"": ""32.822112735"", ""virtual_token_reserves"": ""980741256.658897""}, ""sol_spent"": ""0.05"", ""decided_at"": ""2026-09-12T23:10:38.036438+00:00"", ""parent_bet_id"": null, ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""sol_usd_reason"": null, ""sol_usd_source"": ""pumpfun_rest:/sol-price"", ""priority_fee_sol"": ""0"", ""average_price_sol"": ""0.00000003410328614277438642836534767"", ""participation_pct"": null, ""decision_to_fill_s"": 11, ""fill_delay_snapshots"": 1, ""participation_reason"": ""curve_volume_1m_unknown"", ""marginal_price_after_sol"": ""0.00000003356692316186289947938150271"", ""marginal_price_before_sol"": ""0.00000003346663812922022374530472718""}"
paper,01a09811-d12b-7e90-8dfd-dbc4633393a9,EfnMaaj5n1SXUPxH5jFcYkzv4DbWKYXo8WzSAwsepump,jewdog,flow_v2/2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 00:01:22.805976+00,2026-09-13 00:01:06.7254+00,2026-09-13 00:01:22.805976+00,"{""reason"": null, ""source"": ""solana_rpc"", ""tokens"": ""640434.2868897980154577424117"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""complete"": false, ""cost_sol"": ""0.05"", ""mcap_sol"": ""76.6534303847"", ""size_sol"": ""0.05"", ""observed_at"": ""2026-09-13T00:00:55+00:00"", ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""real_sol_reserves"": ""19.673674413"", ""curve_progress_pct"": ""53.5835"", ""price_sol_per_token"": ""0.00000007665343038466275349155951615"", ""real_token_reserves"": ""368129372.772063"", ""virtual_sol_reserves"": ""49.673674413"", ""virtual_token_reserves"": ""648029372.772063""}",2026-09-13 00:01:24+00,2026-09-13 00:02:38.786989+00,line_broken,,,1.0043838787,-0.0248993958,"{""size_sol"": ""0.05"", ""target_x"": ""3"", ""max_hold_s"": 1800, ""max_loss_pct"": ""50"", ""trailing_pct"": ""35"", ""trailing_arm_x"": ""1.5"", ""exit_on_line_break"": true, ""line_break_snapshots"": 2}","{""leg"": ""single"", ""tokens"": ""593534.5302942031876139454432"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""sol_usd"": {""as_of"": ""2026-09-13T00:01:39.139000+00:00"", ""stale"": false, ""source"": ""pumpfun_rest:/sol-price"", ""price_usd"": ""101.72420936069362"", ""observed_at"": ""2026-09-13T00:01:39.627780+00:00""}, ""snapshot"": {""source"": ""solana_rpc"", ""complete"": false, ""mcap_sol"": ""82.7134625975"", ""observed_at"": ""2026-09-13T00:01:24+00:00"", ""real_sol_reserves"": ""21.599867916"", ""real_token_reserves"": ""343938808.043982"", ""virtual_sol_reserves"": ""51.599867916"", ""virtual_token_reserves"": ""623838808.043982""}, ""sol_spent"": ""0.05"", ""decided_at"": ""2026-09-13T00:01:22.805976+00:00"", ""parent_bet_id"": null, ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""sol_usd_reason"": null, ""sol_usd_source"": ""pumpfun_rest:/sol-price"", ""priority_fee_sol"": ""0"", ""average_price_sol"": ""0.00000008424109710216185856018870364"", ""participation_pct"": null, ""decision_to_fill_s"": 1, ""fill_delay_snapshots"": 1, ""participation_reason"": ""curve_volume_1m_unknown"", ""marginal_price_after_sol"": ""0.00000008287107846635876117298516503"", ""marginal_price_before_sol"": ""0.00000008271346259747613599575518006""}"
paper,01a09847-2f5e-7f54-83dc-99fbe8854c53,EHQDj7ySsP3S8A5ywHKyA3ywTnGh2AYxzJEEPonvpump,MCS,flow_v2/2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 00:59:23.560965+00,2026-09-13 00:59:09.42573+00,2026-09-13 00:59:23.560965+00,"{""reason"": null, ""source"": ""solana_rpc"", ""tokens"": ""378619.362707446946283718299"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""complete"": false, ""cost_sol"": ""0.05"", ""mcap_sol"": ""129.6888359548"", ""size_sol"": ""0.05"", ""observed_at"": ""2026-09-13T00:58:57+00:00"", ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""real_sol_reserves"": ""34.61179176"", ""curve_progress_pct"": ""72.4743"", ""price_sol_per_token"": ""0.0000001296888359548351112172755156"", ""real_token_reserves"": ""218306274.150702"", ""virtual_sol_reserves"": ""64.61179176"", ""virtual_token_reserves"": ""498206274.150702""}",2026-09-13 00:59:29+00,2026-09-13 01:00:17.156427+00,max_loss,,,0.9780930795,-0.0265731163,"{""size_sol"": ""0.05"", ""target_x"": ""3"", ""max_hold_s"": 1800, ""max_loss_pct"": ""50"", ""trailing_pct"": ""35"", ""trailing_arm_x"": ""1.5"", ""exit_on_line_break"": true, ""line_break_snapshots"": 2}","{""leg"": ""single"", ""tokens"": ""316865.989724132983809478514"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""sol_usd"": {""as_of"": ""2026-09-13T00:59:55.956000+00:00"", ""stale"": false, ""source"": ""pumpfun_rest:/sol-price"", ""price_usd"": ""102.20843226615881"", ""observed_at"": ""2026-09-13T00:59:57.150650+00:00""}, ""snapshot"": {""source"": ""solana_rpc"", ""complete"": false, ""mcap_sol"": ""154.9736666915"", ""observed_at"": ""2026-09-13T00:59:29+00:00"", ""real_sol_reserves"": ""40.630038495"", ""real_token_reserves"": ""175855096.99735"", ""virtual_sol_reserves"": ""70.630038495"", ""virtual_token_reserves"": ""455755096.99735""}, ""sol_spent"": ""0.05"", ""decided_at"": ""2026-09-13T00:59:23.560965+00:00"", ""parent_bet_id"": null, ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""sol_usd_reason"": null, ""sol_usd_source"": ""pumpfun_rest:/sol-price"", ""priority_fee_sol"": ""0"", ""average_price_sol"": ""0.0000001577954139020427847169867491"", ""participation_pct"": null, ""decision_to_fill_s"": 5, ""fill_delay_snapshots"": 1, ""participation_reason"": ""curve_volume_1m_unknown"", ""marginal_price_after_sol"": ""0.0000001551893840527335869064063611"", ""marginal_price_before_sol"": ""0.000000154973666691457057290425347""}"
paper,01a0984f-f504-777c-813d-b745693fde01,8rE46UpMzBLBiJhi6jYUUEmUvoLo5k16mNphwcDipump,KOL,flow_v2/2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 01:09:13.464225+00,2026-09-13 01:09:12.801196+00,2026-09-13 01:09:13.464225+00,"{""reason"": null, ""source"": ""solana_rpc"", ""tokens"": ""786093.8056986789279694214773"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""complete"": false, ""cost_sol"": ""0.05"", ""mcap_sol"": ""62.4432447558"", ""size_sol"": ""0.05"", ""observed_at"": ""2026-09-13T01:09:01+00:00"", ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""real_sol_reserves"": ""14.833559444"", ""curve_progress_pct"": ""44.7625"", ""price_sol_per_token"": ""0.00000006244324475578471282833078398"", ""real_token_reserves"": ""438088945.31096"", ""virtual_sol_reserves"": ""44.833559444"", ""virtual_token_reserves"": ""717988945.31096""}",2026-09-13 01:09:17+00,2026-09-13 01:09:48+00,max_loss,,,0.9656019656,-0.0275712554,"{""size_sol"": ""0.05"", ""target_x"": ""3"", ""max_hold_s"": 1800, ""max_loss_pct"": ""50"", ""trailing_pct"": ""35"", ""trailing_arm_x"": ""1.5"", ""exit_on_line_break"": true, ""line_break_snapshots"": 2}","{""leg"": ""single"", ""tokens"": ""689123.5547763900212511902403"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""sol_usd"": {""as_of"": ""2026-09-13T01:09:15.182000+00:00"", ""stale"": false, ""source"": ""pumpfun_rest:/sol-price"", ""price_usd"": ""102.2351643552074"", ""observed_at"": ""2026-09-13T01:09:16.234833+00:00""}, ""snapshot"": {""source"": ""solana_rpc"", ""complete"": false, ""mcap_sol"": ""71.2349380244"", ""observed_at"": ""2026-09-13T01:09:17+00:00"", ""real_sol_reserves"": ""17.885829427"", ""real_token_reserves"": ""392323922.067131"", ""virtual_sol_reserves"": ""47.885829427"", ""virtual_token_reserves"": ""672223922.067131""}, ""sol_spent"": ""0.05"", ""decided_at"": ""2026-09-13T01:09:13.464225+00:00"", ""parent_bet_id"": null, ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""sol_usd_reason"": null, ""sol_usd_source"": ""pumpfun_rest:/sol-price"", ""priority_fee_sol"": ""0"", ""average_price_sol"": ""0.00000007255592941707562127237461876"", ""participation_pct"": null, ""decision_to_fill_s"": 3, ""fill_delay_snapshots"": 1, ""participation_reason"": ""curve_volume_1m_unknown"", ""marginal_price_after_sol"": ""0.00000007138121446919799804756175645"", ""marginal_price_before_sol"": ""0.00000007123493802444288404166777741""}"
paper,01a09860-2dde-78b5-878b-c38488c8b5b8,5d6EeGuYHufXNtN9x8p192EV2X4aHfpZ1Tj8Ujsapump,Yes,flow_v2/2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 01:26:40.249661+00,2026-09-13 01:26:32.867923+00,2026-09-13 01:26:40.249661+00,"{""reason"": null, ""source"": ""solana_rpc"", ""tokens"": ""1238515.195511260184527610632"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""complete"": false, ""cost_sol"": ""0.05"", ""mcap_sol"": ""39.6220630698"", ""size_sol"": ""0.05"", ""observed_at"": ""2026-09-13T01:26:21+00:00"", ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""real_sol_reserves"": ""5.713221803"", ""curve_progress_pct"": ""21.6433"", ""price_sol_per_token"": ""0.00000003962206306981583029634219069"", ""real_token_reserves"": ""621446851.62839"", ""virtual_sol_reserves"": ""35.713221803"", ""virtual_token_reserves"": ""901346851.62839""}",2026-09-13 01:26:52+00,2026-09-13 01:27:33+00,line_broken,,,0.9656019656,-0.0027123933,"{""size_sol"": ""0.05"", ""target_x"": ""3"", ""max_hold_s"": 1800, ""max_loss_pct"": ""50"", ""trailing_pct"": ""35"", ""trailing_arm_x"": ""1.5"", ""exit_on_line_break"": true, ""line_break_snapshots"": 2}","{""leg"": ""single"", ""tokens"": ""1141429.248936570842914474521"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""sol_usd"": {""as_of"": ""2026-09-13T01:27:13.862000+00:00"", ""stale"": false, ""source"": ""pumpfun_rest:/sol-price"", ""price_usd"": ""102.28903040185804"", ""observed_at"": ""2026-09-13T01:27:15.165775+00:00""}, ""snapshot"": {""source"": ""solana_rpc"", ""complete"": false, ""mcap_sol"": ""42.9945403479"", ""observed_at"": ""2026-09-13T01:26:52+00:00"", ""real_sol_reserves"": ""7.202073271"", ""real_token_reserves"": ""585374357.394363"", ""virtual_sol_reserves"": ""37.202073271"", ""virtual_token_reserves"": ""865274357.394363""}, ""sol_spent"": ""0.05"", ""decided_at"": ""2026-09-13T01:26:40.249661+00:00"", ""parent_bet_id"": null, ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""sol_usd_reason"": null, ""sol_usd_source"": ""pumpfun_rest:/sol-price"", ""priority_fee_sol"": ""0"", ""average_price_sol"": ""0.00000004380472994413208443786372231"", ""participation_pct"": null, ""decision_to_fill_s"": 11, ""fill_delay_snapshots"": 1, ""participation_reason"": ""curve_volume_1m_unknown"", ""marginal_price_after_sol"": ""0.00000004310819794830336316617086649"", ""marginal_price_before_sol"": ""0.00000004299454034790556503777092478""}"
paper,01a098c9-f1da-704c-b64c-d288ca042bf4,ERi6JniHwRkMiFnL1uGUuWAmWu9YcTu8m4c7vdrNpump,FLYCLOUD,flow_v2/2,fluxo_e_holders/2,meme_features_15s_v1,2026-09-13 03:22:12.957016+00,2026-09-13 03:22:00.879752+00,2026-09-13 03:22:12.957016+00,"{""reason"": null, ""source"": ""solana_rpc"", ""tokens"": ""1272232.703567611191173659826"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""complete"": false, ""cost_sol"": ""0.05"", ""mcap_sol"": ""38.5712572443"", ""size_sol"": ""0.05"", ""observed_at"": ""2026-09-13T03:21:49+00:00"", ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""real_sol_reserves"": ""5.236469345"", ""curve_progress_pct"": ""20.1056"", ""price_sol_per_token"": ""0.00000003857125724433452091421354726"", ""real_token_reserves"": ""633642151.913538"", ""virtual_sol_reserves"": ""35.236469345"", ""virtual_token_reserves"": ""913542151.913538""}",2026-09-13 03:22:22+00,2026-09-13 03:23:55+00,creator_dump,,,1.1475195492,-0.0004395739,"{""size_sol"": ""0.05"", ""target_x"": ""3"", ""max_hold_s"": 1800, ""max_loss_pct"": ""50"", ""trailing_pct"": ""35"", ""trailing_arm_x"": ""1.5"", ""exit_on_line_break"": true, ""line_break_snapshots"": 2}","{""leg"": ""single"", ""tokens"": ""1474040.465599252325845767535"", ""fee_pct"": ""1.75"", ""fee_sol"": ""0.00085995085995085995085995086"", ""sol_usd"": {""as_of"": ""2026-09-13T03:22:45.986000+00:00"", ""stale"": false, ""source"": ""pumpfun_rest:/sol-price"", ""price_usd"": ""102.28788536326549"", ""observed_at"": ""2026-09-13T03:22:46.618243+00:00""}, ""snapshot"": {""source"": ""solana_rpc"", ""complete"": false, ""mcap_sol"": ""33.2870039574"", ""observed_at"": ""2026-09-13T03:22:22+00:00"", ""real_sol_reserves"": ""2.733906865"", ""real_token_reserves"": ""703483992.949601"", ""virtual_sol_reserves"": ""32.733906865"", ""virtual_token_reserves"": ""983383992.949601""}, ""sol_spent"": ""0.05"", ""decided_at"": ""2026-09-13T03:22:12.957016+00:00"", ""parent_bet_id"": null, ""curve_cost_sol"": ""0.04914004914004914004914004914"", ""sol_usd_reason"": null, ""sol_usd_source"": ""pumpfun_rest:/sol-price"", ""priority_fee_sol"": ""0"", ""average_price_sol"": ""0.0000000339203713648886420265527168"", ""participation_pct"": null, ""decision_to_fill_s"": 9, ""fill_delay_snapshots"": 1, ""participation_reason"": ""curve_volume_1m_unknown"", ""marginal_price_after_sol"": ""0.000000033387019686689837381401615"", ""marginal_price_before_sol"": ""0.00000003328700395744354129674266219""}"
